id,_name<jpn>,name<eng>
enemy00,スーツ姿の感染者,<PLEASE_TRANSLATE>
enemy01,片腕の感染者,<PLEASE_TRANSLATE>
enemy02,白目をむいた感染者,<PLEASE_TRANSLATE>
enemy03,焼けただれた感染者,<PLEASE_TRANSLATE>
enemy04,猫背の感染者,<PLEASE_TRANSLATE>
enemy05,老いた感染者,<PLEASE_TRANSLATE>
enemy06,巨体の感染者,<PLEASE_TRANSLATE>
enemy07,バールを持った感染者,<PLEASE_TRANSLATE>
enemy08,片腕が肥大化した感染者,<PLEASE_TRANSLATE>
enemy09,肩からパイプが飛び出した感染者,<PLEASE_TRANSLATE>
enemy10,全身を蔓に覆われた感染者,<PLEASE_TRANSLATE>
enemy11,硬い爪の伸びた感染者,<PLEASE_TRANSLATE>
enemy12,頭からCDが飛び出た感染者,<PLEASE_TRANSLATE>
enemy13,腕が木の根のようになった感染者,<PLEASE_TRANSLATE>
enemy14,両目から鱗粉の流れる感染者,<PLEASE_TRANSLATE>
enemy15,腹に大穴があいた感染者,<PLEASE_TRANSLATE>
enemy16,口から綿毛を吐く感染者,<PLEASE_TRANSLATE>
-,,
enemy50,右半身の腐った感染者,<PLEASE_TRANSLATE>
enemy51,緑の作業服の感染者,<PLEASE_TRANSLATE>
enemy52,ヘルメットを被った感染者,<PLEASE_TRANSLATE>
enemy53,四つん這いの感染者,<PLEASE_TRANSLATE>
enemy54,顎から上がない感染者,<PLEASE_TRANSLATE>
enemy55,口から砂を吐き続ける感染者,<PLEASE_TRANSLATE>
enemy56,胸から水晶の生えた感染者,<PLEASE_TRANSLATE>
enemy57,無数のケーブルが生えた感染者,<PLEASE_TRANSLATE>
enemy58,身体が葉で覆われた感染者,<PLEASE_TRANSLATE>
enemy59,全身から淡い光が漏れる感染者,<PLEASE_TRANSLATE>
-,,
enemyBoss00,両腕が岩のようになった感染者,<PLEASE_TRANSLATE>
enemyBoss01,巨大な花の生えた感染者,<PLEASE_TRANSLATE>
enemyBoss02,全身から針のような毛の生えた感染者,<PLEASE_TRANSLATE>
enemyBoss03,身体が青白く点滅している感染者,<PLEASE_TRANSLATE>
-,,
enemyBoss50,頭からアンテナの生えた感染者,<PLEASE_TRANSLATE>
enemyBoss51,腕が蔓に覆われた感染者,<PLEASE_TRANSLATE>
enemyBoss52,胸にタービンが埋まった感染者,<PLEASE_TRANSLATE>
enemyBoss53,身体中から長い指が生えた感染者,<PLEASE_TRANSLATE>
enemyBoss54,背中に肉の翼が生えた感染者,<PLEASE_TRANSLATE>
-,,
enemyBoss100,赤い服を着た感染者,<PLEASE_TRANSLATE>
enemyBoss101,ミナモ,<PLEASE_TRANSLATE>
-,,
