id,_natsuno<jpn>,natsuno<eng>,_kiko<jpn>,kiko<eng>,_shino<jpn>,shino<eng>,_akane<jpn>,akane<eng>,_minamo<jpn>,minamo<eng>,_itsuka<jpn>,itsuka<eng>,_hinase<jpn>,hinase<eng>,_meguru<jpn>,meguru<eng>
chat00,おはよ,Morning.,あ......おはよう、ございます......,Ah...... G-good morning......,おはよ！　なになに？,Morning! What's up?,んー？　おはよ,<PLEASE_TRANSLATE>,んー？　おはよ？,<PLEASE_TRANSLATE>,......おはよう,<PLEASE_TRANSLATE>,おはようございます！,<PLEASE_TRANSLATE>,お、おはようございます！,<PLEASE_TRANSLATE>
chat01,こんにちは。......なに？　いきなり,Hi... What? All of a sudden?,こ、こんにちは......？,H-hello......?,こんにちは！,Hi!,？？　こんにちは？,<PLEASE_TRANSLATE>,こんにちは。......え、いきなり？,<PLEASE_TRANSLATE>,......？<br>こんにちは。......なに？,<PLEASE_TRANSLATE>,はい、こんにちは,<PLEASE_TRANSLATE>,こ、こんにちは！　元気です！,<PLEASE_TRANSLATE>
chat02,おやすみ......って、寝ないでよ,"Good night... Wait, don't go to sleep.",ええ......？　こ、困ります......,Huh......? I-I can't......,おやすみ！　......寝ちゃうの？,Good night! ......Are you going to sleep?,えー？　寝ちゃうの？,<PLEASE_TRANSLATE>,おやすみ......え、寝るん？,<PLEASE_TRANSLATE>,......寝ないでよ,<PLEASE_TRANSLATE>,おやすみなさい。よい夢を,<PLEASE_TRANSLATE>,おやすみなさい！　......おやすみなさい？,<PLEASE_TRANSLATE>
chat03,うーん。まぁまぁかな,"Hmm. I'm doing okay, I guess.",は、はい......なんとか......,Y-yes...... Somehow......,それなりに！,Pretty good!,元気元気。そんなこと話してる場合じゃないけどね,<PLEASE_TRANSLATE>,うーん。ぼちぼち,<PLEASE_TRANSLATE>,......<br>......そこそこ,<PLEASE_TRANSLATE>,えぇ、まぁ。おかげさまで,<PLEASE_TRANSLATE>,はい！　元気です！,<PLEASE_TRANSLATE>
chat04,うーん......これといって、ないんだよね......,"Hmm... Nothing in particular, really...",えと......料理......とかでしょうか......,Um...... Cooking...... I guess......,写真！　......って言っても、へたっぴだけどね,Photography! ......Though I'm pretty bad at it,ん－。コーヒー淹れる、とか？　甘くしないと飲めないけど,<PLEASE_TRANSLATE>,まぁ......剣道<br>......って答えることにしとる,<PLEASE_TRANSLATE>,......音楽聴くのは、好き,<PLEASE_TRANSLATE>,読書......と、そう、バイク！　ですかね,<PLEASE_TRANSLATE>,絵、描くのとか......。あとバイオリン......？,<PLEASE_TRANSLATE>
chat05,......<br>......ありがと,......<br>......Thanks.,え、ええと......<br>ありがとうござい、ます......？,Um......<br>Th-thank you......?,てんきゅ！,Thankies!,えー？<br>いえーい！　あんがと！,<PLEASE_TRANSLATE>,え......<br>......ども,<PLEASE_TRANSLATE>,......<br>............<br>......ふぅん,<PLEASE_TRANSLATE>,え......？<br>ありがとうございます,<PLEASE_TRANSLATE>,......へへ。へへへ。うちもそう思う！,<PLEASE_TRANSLATE>
chat06,うん......でも、ちょっと待って......,Yeah... But wait a second...,えと......ちょっと待ってください......,Um...... Please wait a moment......,えー、ちょっと待ってよ......,"Hey, wait a sec......",うーん......ちょっと待ってー,<PLEASE_TRANSLATE>,んー......でも、もーちょっと待って......,<PLEASE_TRANSLATE>,うん......でも、もう少し......,<PLEASE_TRANSLATE>,はい......でも、もう少しだけ......,<PLEASE_TRANSLATE>,あ、あの......もうちょっと......,<PLEASE_TRANSLATE>
chat-natsuno00,うん？　なに？,Yeah? What is it?,わ、わたし、ナツノさんじゃないです......,I-I'm not Natsuno-san......,名前間違えるなんて、サイテー。......なんてね！,Getting my name wrong? You're the worst...... Just kidding!,アタシに言ってる？,<PLEASE_TRANSLATE>,え。うちに言っとる？,<PLEASE_TRANSLATE>,......それ、私に言ってる？,<PLEASE_TRANSLATE>,......あ、私に仰ってました？,<PLEASE_TRANSLATE>,え、ええと......？　うち、違う......かも......,<PLEASE_TRANSLATE>
chat-kiko00,......？　誰に言ってる？,......? Who are you talking to?,は、はい！　なんでしょう......？,Y-yes! What is it......?,名前間違えるなんて、サイテー。......なんてね！,Getting my name wrong? You're the worst...... Just kidding!,アタシに言ってる？,<PLEASE_TRANSLATE>,え。うちに言っとる？,<PLEASE_TRANSLATE>,......それ、私に言ってる？,<PLEASE_TRANSLATE>,......あ、私に仰ってました？,<PLEASE_TRANSLATE>,え、ええと......？　うち、違う......かも......,<PLEASE_TRANSLATE>
chat-shino00,......？　誰に言ってる？,......? Who are you talking to?,わ、わたし、シノさんじゃないです......,I-I'm not Shino-san......,なになに？　おもしろいことあった？,What's up? Did something interesting happen?,アタシに言ってる？,<PLEASE_TRANSLATE>,え。うちに言っとる？,<PLEASE_TRANSLATE>,......それ、私に言ってる？,<PLEASE_TRANSLATE>,......あ、私に仰ってました？,<PLEASE_TRANSLATE>,え、ええと......？　うち、違う......かも......,<PLEASE_TRANSLATE>
