id,_name<jpn>,name<eng>,_additionalDescription<jpn>,additionalDescription<eng>
heal00,包帯,<PLEASE_TRANSLATE>,-,-
-,,,,
cooking00,サンドイッチ,<PLEASE_TRANSLATE>,-,-
cooking01,ハンバーグ,<PLEASE_TRANSLATE>,-,-
cooking02,串焼き肉,<PLEASE_TRANSLATE>,-,-
cooking03,コンソメスープ,<PLEASE_TRANSLATE>,-,-
cooking04,おにぎり,<PLEASE_TRANSLATE>,-,-
cooking05,焼きおにぎり,<PLEASE_TRANSLATE>,-,-
cooking06,オムレツ,<PLEASE_TRANSLATE>,-,-
cooking07,たまごサンド,<PLEASE_TRANSLATE>,-,-
cooking08,肉煮込み,<PLEASE_TRANSLATE>,-,-
cooking09,玉ねぎスープ,<PLEASE_TRANSLATE>,-,-
cooking10,焼き魚,<PLEASE_TRANSLATE>,-,-
cooking11,白身魚のオーブン蒸し,<PLEASE_TRANSLATE>,-,-
cooking12,ホットサンド,<PLEASE_TRANSLATE>,-,-
cooking13,オニオンリング,<PLEASE_TRANSLATE>,-,-
cooking14,フライドポテト,<PLEASE_TRANSLATE>,-,-
cooking15,たまごかけごはん,<PLEASE_TRANSLATE>,-,-
cooking16,ハムエッグ,<PLEASE_TRANSLATE>,-,-
cooking17,魚のコンソメ煮,<PLEASE_TRANSLATE>,-,-
cooking18,ピザトースト,<PLEASE_TRANSLATE>,-,-
cooking19,肉巻きチーズ,<PLEASE_TRANSLATE>,-,-
cooking20,チーズサンド,<PLEASE_TRANSLATE>,-,-
cooking21,じゃがいものポタージュ,<PLEASE_TRANSLATE>,-,-
cooking22,じゃがチーズ焼き,<PLEASE_TRANSLATE>,-,-
cooking23,肉じゃが,<PLEASE_TRANSLATE>,-,-
cooking24,ポテトサラダ,<PLEASE_TRANSLATE>,-,-
-,,,,
hammer01,クギバット,<PLEASE_TRANSLATE>,-,-
hammer06,お手製の槍,<PLEASE_TRANSLATE>,-,-
hammer09,お手製スラッパー,<PLEASE_TRANSLATE>,-,-
-,,,,
gun00,ハンドガン（特徴なし）,<PLEASE_TRANSLATE>,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。,<PLEASE_TRANSLATE>
gun01,ショットガン（特徴なし）,<PLEASE_TRANSLATE>,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。,<PLEASE_TRANSLATE>
gun03,ライフル（特徴なし）,<PLEASE_TRANSLATE>,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。,<PLEASE_TRANSLATE>
gun04,サブマシンガン（特徴なし）,<PLEASE_TRANSLATE>,「初心者向けの」「壊れやすい」などの<red>特徴</red>がつかない道具がクラフトされます。<br>補正値は、材料の中から最大のものが引き継がれます。,<PLEASE_TRANSLATE>
-,,,,
ammo00,ハンドガンの弾,<PLEASE_TRANSLATE>,-,-
ammo01,ショットガンの弾,<PLEASE_TRANSLATE>,-,-
-,,,,
armor00,軍手,<PLEASE_TRANSLATE>,-,-
armor01,甲手,<PLEASE_TRANSLATE>,-,-
-,,,,
tool02,キーピック,<PLEASE_TRANSLATE>,-,-
tool03,釣り竿,<PLEASE_TRANSLATE>,-,-
dismantle00,分解キット,<PLEASE_TRANSLATE>,-,-
-,,,,
attack00,火炎瓶,<PLEASE_TRANSLATE>,-,-
attack01,手製爆弾,<PLEASE_TRANSLATE>,-,-
bell02,電子ブザー,<PLEASE_TRANSLATE>,-,-
trap00,くくり罠,<PLEASE_TRANSLATE>,-,-
trap01,まきびし,<PLEASE_TRANSLATE>,-,-
-,,,,
bag01,手づくりナップサック,<PLEASE_TRANSLATE>,-,-
-,,,,
memory-any00,頭の大きな木彫りの羊,<PLEASE_TRANSLATE>,-,-
memory-any01,三毛猫のぬいぐるみ,<PLEASE_TRANSLATE>,-,-
memory-any02,電子オルゴールの木箱,<PLEASE_TRANSLATE>,-,-
-,,,,
-,,,,
dismantle-gun00,ハンドガン,<PLEASE_TRANSLATE>,-,-
dismantle-gun01,ショットガン,<PLEASE_TRANSLATE>,-,-
dismantle-gun03,ライフル,<PLEASE_TRANSLATE>,-,-
dismantle-gun04,サブマシンガン,<PLEASE_TRANSLATE>,-,-
dismantle-cookingTool00,ダッチオーブン,<PLEASE_TRANSLATE>,-,-
dismantle-cookingTool01,スキレット,<PLEASE_TRANSLATE>,-,-
dismantle-cookingTool02,ホットサンドメーカー,<PLEASE_TRANSLATE>,-,-
dismantle-craft00,携帯工作台,<PLEASE_TRANSLATE>,-,-
dismantle-craft01,携帯調理器,<PLEASE_TRANSLATE>,-,-
-,,,,
