id,_name<jpn>,name<eng>,_bridge<jpn>,bridge<eng>
talk00,-,-,-,-
-,,,,
minamo00,道場,<PLEASE_TRANSLATE>,道場,<PLEASE_TRANSLATE>
-,,,,
firstApartmen00-00,狭い部屋,<PLEASE_TRANSLATE>,狭い部屋,<PLEASE_TRANSLATE>
firstApartmen00-01,廊下,<PLEASE_TRANSLATE>,廊下,<PLEASE_TRANSLATE>
firstApartmen00-02,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
-,,,,
endApartmen00-00,狭い部屋,<PLEASE_TRANSLATE>,狭い部屋,<PLEASE_TRANSLATE>
endApartmen00-01,廊下,<PLEASE_TRANSLATE>,廊下,<PLEASE_TRANSLATE>
endApartmen00-02,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
-,,,,
marble00,何もないところ,<PLEASE_TRANSLATE>,ここではないところ,<PLEASE_TRANSLATE>
marble01,何もないところ,<PLEASE_TRANSLATE>,ここではないところ,<PLEASE_TRANSLATE>
marble02,何もないところ,<PLEASE_TRANSLATE>,ここではないところ,<PLEASE_TRANSLATE>
-,,,,
apartment00,リビング,<PLEASE_TRANSLATE>,リビング,<PLEASE_TRANSLATE>
apartment01,子供部屋,<PLEASE_TRANSLATE>,子供部屋,<PLEASE_TRANSLATE>
apartment02,寝室,<PLEASE_TRANSLATE>,寝室,<PLEASE_TRANSLATE>
apartment03,書斎,<PLEASE_TRANSLATE>,書斎,<PLEASE_TRANSLATE>
apartment04,細い廊下,<PLEASE_TRANSLATE>,細い廊下,<PLEASE_TRANSLATE>
apartment05,外廊下,<PLEASE_TRANSLATE>,外廊下,<PLEASE_TRANSLATE>
apartment06,バスルーム,<PLEASE_TRANSLATE>,バスルーム,<PLEASE_TRANSLATE>
apartment07,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
-,,,,
hut00,小さな部屋,<PLEASE_TRANSLATE>,小さな部屋,<PLEASE_TRANSLATE>
hut01,屋根裏部屋,<PLEASE_TRANSLATE>,屋根裏部屋,<PLEASE_TRANSLATE>
hut02,作業部屋,<PLEASE_TRANSLATE>,作業部屋,<PLEASE_TRANSLATE>
hut03,物置,<PLEASE_TRANSLATE>,物置,<PLEASE_TRANSLATE>
-,,,,
shop01,食品売り場,<PLEASE_TRANSLATE>,食品売り場,<PLEASE_TRANSLATE>
shop02,雑貨売り場,<PLEASE_TRANSLATE>,雑貨売り場,<PLEASE_TRANSLATE>
shop03,書棚,<PLEASE_TRANSLATE>,書棚,<PLEASE_TRANSLATE>
shop04,バックヤード,<PLEASE_TRANSLATE>,バックヤード,<PLEASE_TRANSLATE>
shop05,スタッフ用の部屋,<PLEASE_TRANSLATE>,スタッフ用の部屋,<PLEASE_TRANSLATE>
shop06,搬入口,<PLEASE_TRANSLATE>,搬入口,<PLEASE_TRANSLATE>
-,,,,
office00,控室,<PLEASE_TRANSLATE>,控室,<PLEASE_TRANSLATE>
office01,誰もいない更衣室,<PLEASE_TRANSLATE>,誰もいない更衣室,<PLEASE_TRANSLATE>
office02,オフィス,<PLEASE_TRANSLATE>,オフィス,<PLEASE_TRANSLATE>
office03,事務室,<PLEASE_TRANSLATE>,事務室,<PLEASE_TRANSLATE>
office04,資料室,<PLEASE_TRANSLATE>,資料室,<PLEASE_TRANSLATE>
office05,会議室,<PLEASE_TRANSLATE>,会議室,<PLEASE_TRANSLATE>
office06,広い廊下,<PLEASE_TRANSLATE>,広い廊下,<PLEASE_TRANSLATE>
office08,短い廊下,<PLEASE_TRANSLATE>,短い廊下,<PLEASE_TRANSLATE>
office07,倉庫,<PLEASE_TRANSLATE>,倉庫,<PLEASE_TRANSLATE>
office09,機材置き場,<PLEASE_TRANSLATE>,機材置き場,<PLEASE_TRANSLATE>
-,,,,
palace00,広いホール,<PLEASE_TRANSLATE>,広いホール,<PLEASE_TRANSLATE>
palace01,暗い広間,<PLEASE_TRANSLATE>,暗い広間,<PLEASE_TRANSLATE>
palace02,長い廊下,<PLEASE_TRANSLATE>,長い廊下,<PLEASE_TRANSLATE>
palace03,薄暗い通路,<PLEASE_TRANSLATE>,薄暗い通路,<PLEASE_TRANSLATE>
palace04,書斎,<PLEASE_TRANSLATE>,書斎,<PLEASE_TRANSLATE>
palace05,寝室,<PLEASE_TRANSLATE>,寝室,<PLEASE_TRANSLATE>
palace06,応接間,<PLEASE_TRANSLATE>,応接間,<PLEASE_TRANSLATE>
palace07,アトリエ,<PLEASE_TRANSLATE>,アトリエ,<PLEASE_TRANSLATE>
palace08,地下倉庫,<PLEASE_TRANSLATE>,地下倉庫,<PLEASE_TRANSLATE>
palace09,キッチン,<PLEASE_TRANSLATE>,キッチン,<PLEASE_TRANSLATE>
-,,,,
village00,広い交差点,<PLEASE_TRANSLATE>,広い交差点,<PLEASE_TRANSLATE>
village01,小さな交差路,<PLEASE_TRANSLATE>,小さな交差路,<PLEASE_TRANSLATE>
village02,広場,<PLEASE_TRANSLATE>,広場,<PLEASE_TRANSLATE>
village03,細い路地,<PLEASE_TRANSLATE>,細い路地,<PLEASE_TRANSLATE>
