id,_text<jpn>,text<eng>
object_anywhere00,{0}も、{1}も、寝静まっている。<br>ここを去ってしまったら、もう二度と、誰かに見つけられることはないかもしれない。,<PLEASE_TRANSLATE>
object_anywhere01,{0}、{1}、{2}......みんな、もともとは持ち主がいただろう。<br>今となっては、使われていた頃の様子を想像することさえできない。,<PLEASE_TRANSLATE>
object_anywhere02,見渡せば、{0}や{1}が目に入った。<br>静かだけれど、人のいた跡はある。,<PLEASE_TRANSLATE>
object_anywhere03,ふと、薄暗闇の中に{0}があるのを見つけた。<br>静かに、ただ、そこにある。,<PLEASE_TRANSLATE>
object_anywhere04,物陰の向こうに{0}が隠れていた。<br>誰かがここを通っても、きっと気づくことはなかっただろう。,<PLEASE_TRANSLATE>
object_anywhere05,光がちらついているのが見えて、そこに{0}があるのがわかった。,<PLEASE_TRANSLATE>
object_anywhere06,一瞬、空気の流れさえ止まって見えた。<br>{0}が、その静けさの中に取り残されている。,<PLEASE_TRANSLATE>
-,,
secondary00,{0}が残されている。,<PLEASE_TRANSLATE>
secondary01,{0}と{1}が残されている。,<PLEASE_TRANSLATE>
secondary02,{0}と{1}、{2}が残されている。,<PLEASE_TRANSLATE>
secondary03,{0}、{1}、{2}と{3}が残されている。,<PLEASE_TRANSLATE>
secondary04,{0}、{1}、{2}、{3}や{4}が残されている。,<PLEASE_TRANSLATE>
secondary05,{0}や{1}、{2}、{3}、{4}に{5}が残されている。,<PLEASE_TRANSLATE>
-,,
bridge00,奥に{0}が見えた。,<PLEASE_TRANSLATE>
bridge01,向こうに{0}がある。,<PLEASE_TRANSLATE>
bridge02,目を凝らせば{0}が見える。,<PLEASE_TRANSLATE>
bridge03,少し先に{0}がある。,<PLEASE_TRANSLATE>
bridge04,すぐ先に{0}が見えた。,<PLEASE_TRANSLATE>
bridge05,少し行けば{0}と{1}がある。,<PLEASE_TRANSLATE>
bridge06,右手に{0}、左手に{1}が見えた。,<PLEASE_TRANSLATE>
bridge07,歩く先に{0}や{1}がある。,<PLEASE_TRANSLATE>
bridge08,行く先にあるのは{0}や{1}だった。,<PLEASE_TRANSLATE>
bridge09,奥に{0}と{1}、それから{2}が見えた。,<PLEASE_TRANSLATE>
bridge10,{0}、{1}、{2}が先に続いている。,<PLEASE_TRANSLATE>
-,,
object_room00,{0}、{1}、{2}......<br>主を失ったものたちが、ひっそりと、流れる時に身を沈めている。,<PLEASE_TRANSLATE>
object_room01,全部、部屋の持ち主が置いていったものだろうか。<br>{0}、{1}、{2}、みんな、どこか寂しげだった。,<PLEASE_TRANSLATE>
object_corridor00,最後にここを通ったのは誰だろう。<br>{0}にも、{1}にも、埃が積もっている。,<PLEASE_TRANSLATE>
object_corridor01,{0}や{1}が脇に寄せられている。,<PLEASE_TRANSLATE>
object_bath00,{0}が、水に跳ね返された光できらきら輝いている。<br>生きているみたいな揺らめきに、思わず身がすくむ。,<PLEASE_TRANSLATE>
object_bath01,{0}も、ずっとこんなところにあったのではカビも生える。,<PLEASE_TRANSLATE>
object_warehouse00,時が止まってしまったみたいだった。<br>{0}、{1}、{2}、ずっと昔からここにあったのだろうか。,<PLEASE_TRANSLATE>
