id,_chapter<jpn>,chapter<eng>,_title<jpn>,title<eng>
main0,プロローグ,<PLEASE_TRANSLATE>,知らない夏の少女,<PLEASE_TRANSLATE>
main1,エピソード 1,<PLEASE_TRANSLATE>,聞こえてくる声,<PLEASE_TRANSLATE>
main2,エピソード 2,<PLEASE_TRANSLATE>,語りかけるもの,<PLEASE_TRANSLATE>
main3,エピソード 3,<PLEASE_TRANSLATE>,原因,<PLEASE_TRANSLATE>
main4,エピソード 4,<PLEASE_TRANSLATE>,別れ,<PLEASE_TRANSLATE>
main5,エピソード 5,<PLEASE_TRANSLATE>,一年ぶりの夏,<PLEASE_TRANSLATE>
main6,エピソード 6,<PLEASE_TRANSLATE>,再会,<PLEASE_TRANSLATE>
main7,エピソード 7,<PLEASE_TRANSLATE>,謎の少女,<PLEASE_TRANSLATE>
main8,エピソード 8,<PLEASE_TRANSLATE>,コンピュータの中の世界,<PLEASE_TRANSLATE>
main9,エピソード 9,<PLEASE_TRANSLATE>,つくられた世界,<PLEASE_TRANSLATE>
main10,エピソード 10,<PLEASE_TRANSLATE>,物語,<PLEASE_TRANSLATE>
main11,エピソード 11,<PLEASE_TRANSLATE>,違和感,<PLEASE_TRANSLATE>
main12,エピソード 12,<PLEASE_TRANSLATE>,偶然,<PLEASE_TRANSLATE>
main13,エピソード 13,<PLEASE_TRANSLATE>,消えてしまったらいいのに,<PLEASE_TRANSLATE>
main14,エピソード 14,<PLEASE_TRANSLATE>,眠りの中,<PLEASE_TRANSLATE>
main15,エピソード 15,<PLEASE_TRANSLATE>,夢の中で,<PLEASE_TRANSLATE>
main16,エピソード 16,<PLEASE_TRANSLATE>,夏の彼方,<PLEASE_TRANSLATE>
-,,,,
kiko1,キャラクターエピソード,<PLEASE_TRANSLATE>,キコ,<PLEASE_TRANSLATE>
shino1,キャラクターエピソード,<PLEASE_TRANSLATE>,シノ,<PLEASE_TRANSLATE>
akane1,キャラクターエピソード,<PLEASE_TRANSLATE>,アカネ,<PLEASE_TRANSLATE>
minamo1,キャラクターエピソード,<PLEASE_TRANSLATE>,ミナモ,<PLEASE_TRANSLATE>
hinase1,キャラクターエピソード,<PLEASE_TRANSLATE>,ヒナセ,<PLEASE_TRANSLATE>
itsuka1,キャラクターエピソード,<PLEASE_TRANSLATE>,イツカ,<PLEASE_TRANSLATE>
meguru1,キャラクターエピソード,<PLEASE_TRANSLATE>,メグル,<PLEASE_TRANSLATE>
-,,,,
kiko2,キャラクターエピソード,<PLEASE_TRANSLATE>,キコ 2,<PLEASE_TRANSLATE>
shino2,キャラクターエピソード,<PLEASE_TRANSLATE>,シノ 2,<PLEASE_TRANSLATE>
akane2,キャラクターエピソード,<PLEASE_TRANSLATE>,アカネ 2,<PLEASE_TRANSLATE>
minamo2,キャラクターエピソード,<PLEASE_TRANSLATE>,ミナモ 2,<PLEASE_TRANSLATE>
hinase2,キャラクターエピソード,<PLEASE_TRANSLATE>,ヒナセ 2,<PLEASE_TRANSLATE>
itsuka2,キャラクターエピソード,<PLEASE_TRANSLATE>,イツカ 2,<PLEASE_TRANSLATE>
meguru2,キャラクターエピソード,<PLEASE_TRANSLATE>,メグル 2,<PLEASE_TRANSLATE>
-,,,,
