id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
akane2-1,scenario01,scenario01,,
akane2-1,,,,
akane2-1,environment00,environment00,,
akane2-1,2,2,,
akane2-1,natsuno,natsuno,......,......
akane2-1,natsuno,natsuno,............,............
akane2-1,natsuno,natsuno,......あ,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,......,......
akane2-1,natsuno,natsuno,......アカネさん？,<PLEASE_TRANSLATE>
akane2-1,akane,akane,ありゃ,<PLEASE_TRANSLATE>
akane2-1,akane,akane,ごめん、起こしちゃったかな,<PLEASE_TRANSLATE>
akane2-1,akane,akane,おはよ,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,ううん......,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,......,......
akane2-1,natsuno,natsuno,......帰ってきたんだ,<PLEASE_TRANSLATE>
akane2-1,akane,akane,......うん,<PLEASE_TRANSLATE>
akane2-1,akane,akane,そんなに遠くないうちに帰るって、約束したしね,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,......,......
akane2-1,akane,akane,......びっくりした？,<PLEASE_TRANSLATE>
akane2-1,akane,akane,朝起きたら、アカネさんが隣にいたドッキリ,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,......,......
akane2-1,natsuno,natsuno,......なんか,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,さすがにもう驚かないかも,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,眠いし,<PLEASE_TRANSLATE>
akane2-1,akane,akane,はっはっは,<PLEASE_TRANSLATE>
akane2-1,akane,akane,そっかそっか,<PLEASE_TRANSLATE>
akane2-1,akane,akane,じゃあ,<PLEASE_TRANSLATE>
akane2-1,akane,akane,もっとびっくりするもの、見せてあげよう,<PLEASE_TRANSLATE>
akane2-1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
akane2-1,akane,akane,ほら、見てよ、ナツノちゃん,<PLEASE_TRANSLATE>
akane2-1,akane,akane,左足......,<PLEASE_TRANSLATE>
akane2-1,akane,akane,こう......,<PLEASE_TRANSLATE>
