id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
chat-kiko-1,natsuno,natsuno,......キコってさ,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,......はい？,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,犬以外に何か飼ってたことあるの？,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,えっと......,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,インコとか,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,カメとか,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,金魚とか,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,ほかにも、お魚たくさん......,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,へぇ,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,いいな,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,うち、お父さんもお母さんも家空けがちだったから,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,生き物飼ったことなくて,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,まぁ家にいないのはわたしもなんだけど,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,そうなんですね......,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,なんかそのへんで捕まえて飼ってみよっかなー,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,え......,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,何がオススメ？,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,え......うーん......,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,......鳥とか？,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,鳥かぁ,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,スズメとか、捕まえられるかな,<PLEASE_TRANSLATE>
chat-kiko-1,natsuno,natsuno,今度付き合ってよ。スズメ捕まえるの,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,えー......,<PLEASE_TRANSLATE>
chat-kiko-1,kiko,kiko,......,......
chat-kiko-1,,,,
-,,,,
chat-shino-1,natsuno,natsuno,シノって,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,うん？,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,自撮りとか、めっちゃネットにアップしてそう,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,......,......
chat-shino-1,shino,shino,ばかにしてるやつだ,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,ひっどー,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,や、別に,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,わたしは、なんか恥ずかしくて,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,そういうのできなかったから,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,うらやましいっていうか,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,ほんとに～？,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,シノ、かわいいし,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,えー？,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,ナツノちゃんの方がかわいいじゃん,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,......いいよ、そういうの,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,はは,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,......ま、写真、ネットにいろいろ上げてたのは,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,あたってるけどね,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,......ネットに上げた写真は,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,二度と消すことができない、とか,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,学校で散々言われたけど,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,きっと、もう全部、消えちゃったんだろーなぁ,<PLEASE_TRANSLATE>
chat-shino-1,natsuno,natsuno,......そうかもね,<PLEASE_TRANSLATE>
chat-shino-1,shino,shino,......,......
chat-shino-1,,,,
-,,,,
chat-akane-1,natsuno,natsuno,......,......
chat-akane-1,natsuno,natsuno,......アカネさんってさ,<PLEASE_TRANSLATE>
chat-akane-1,akane,akane,......んー,<PLEASE_TRANSLATE>
chat-akane-1,akane,akane,......なにー？,<PLEASE_TRANSLATE>
chat-akane-1,akane,akane,そんな難しい顔してー,<PLEASE_TRANSLATE>
chat-akane-1,akane,akane,なになに？　どーしたの？,<PLEASE_TRANSLATE>
