id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
kiko1-1,scenario00,scenario00,,
kiko1-1,environment00,environment00,,
kiko1-1,natsuno,natsuno,......あれ,......Huh
kiko1-1,natsuno,natsuno,車のところに人がいる......,There's someone by that car......
kiko1-1,natsuno,natsuno,車上荒らし......？,A car thief......?
kiko1-1,natsuno,natsuno,......じゃ、なさそう,......Doesn't look like it
kiko1-1,natsuno,natsuno,女の子だ,It's a girl
kiko1-1,natsuno,natsuno,......,......
kiko1-1,natsuno,natsuno,ねぇ、何してるの？,"Hey, what are you doing?"
kiko1-1,survivor01,survivor01,right-left,right-left
kiko1-1,,,,
kiko1-1,少女,Young girl,わ！,Whoa!
kiko1-1,少女,Young girl,ごめんなさい！　違いますっ！,I'm sorry! I'm not!
kiko1-1,natsuno,natsuno,え？　わたしは別に──,Huh? I wasn't…..
kiko1-1,少女,Young girl,何も盗ってません！,I didn't steal anything!
kiko1-1,少女,Young girl,まだ！,Not yet!
kiko1-1,survivor00,survivor00,right-right,right-right
kiko1-1,natsuno,natsuno,......まだ何も言ってないのに,......I haven't even said anything yet
kiko1-1,1,1,,
kiko1-1,1,1,,
kiko1-1,,,,
kiko1-1,survivor00,survivor00,right-right,right-right
kiko1-1,survivor01,survivor01,right-left,right-left
kiko1-1,character01,character01,,
kiko1-1,1,1,,
kiko1-1,1,1,,
kiko1-1,natsuno,natsuno,......じゃあ、犬を探して、こんなところまで？,......So you came all the way out here looking for your dog?
kiko1-1,kiko,kiko,はい......逃げてる途中で、はぐれちゃって......,Yeah......I lost her while we were running away......
kiko1-1,kiko,kiko,たぶん、この辺りにいるはずなんです......,She should be around here somewhere......
kiko1-1,kiko,kiko,......だから、決して、盗もうとしてたわけでは......,"......So I wasn't trying to steal anything, I swear......"
kiko1-1,natsuno,natsuno,............,............
kiko1-1,natsuno,natsuno,......で、親はキャンプに？,......And your parents are at the camp?
kiko1-1,kiko,kiko,はい,Yes
kiko1-1,natsuno,natsuno,キャンプには他にも人がいるの？,Are there other people at the camp?
kiko1-1,kiko,kiko,はい。十五人くらいです、かね,"Yes. About fifteen people, I think"
kiko1-1,natsuno,natsuno,そういうところも、まだあるんだ......,There are still places like that......
kiko1-1,natsuno,natsuno,キャンプはどこに？,Where's the camp?
kiko1-1,kiko,kiko,北の方......です,North......
kiko1-1,natsuno,natsuno,そう......,I see......
kiko1-1,kiko,kiko,............,............
kiko1-1,kiko,kiko,......じゃあ、あたしはこれで......,"......Well, I should get going......"
kiko1-1,natsuno,natsuno,............,............
kiko1-1,natsuno,natsuno,......乗ってく？,......Want a ride?
kiko1-1,kiko,kiko,......へ？,......Huh?
kiko1-1,natsuno,natsuno,この辺りにいるんでしょ？　その犬,"Your dog should be around here somewhere, right?"
kiko1-1,kiko,kiko,......いいんですか？,......Are you sure?
kiko1-1,natsuno,natsuno,まぁ、一人旅も飽きてきたし......,"Well, I'm getting kind of tired of traveling alone......"
kiko1-1,natsuno,natsuno,......や。いろいろあって一人じゃないんだけど,"Well, not exactly alone anymore, after everything that's happened"
kiko1-1,natsuno,natsuno,とにかく、いいよ,"Anyway, it’s fine"
kiko1-1,natsuno,natsuno,しばらく同行しよ,Let's travel together for a while
kiko1-1,survivor01,survivor01,right-left,right-left
kiko1-1,kiko,kiko,......！,......!
kiko1-1,kiko,kiko,はい！,Yes!
kiko1-1,1,1,,
kiko1-1,kiko,kiko,,
kiko1-1,questSuccess,questSuccess,,
-,,,,
kiko1-2,scenario10,scenario10,,
kiko1-2,survivor01,survivor01,right-left,right-left
kiko1-2,character01,character01,,
kiko1-2,natsuno,natsuno,......テキトーに歩き回ってみてるけど,......I've just been wandering around without much of a plan
kiko1-2,natsuno,natsuno,何かないの？　手がかりとか,Isn't there anything? Any clues or something?
kiko1-2,kiko,kiko,......？,......?
kiko1-2,survivor00,survivor00,right-right,right-right
kiko1-2,natsuno,natsuno,......犬のこと、なんだけど......,......I'm talking about your dog......
kiko1-2,survivor01,survivor01,right-left,right-left
kiko1-2,kiko,kiko,......あ！,......Oh!
kiko1-2,survivor01,survivor01,right-left,right-left
kiko1-2,kiko,kiko,ああ......うーん......,Ah......Hmm......
kiko1-2,natsuno,natsuno,........,........
kiko1-2,kiko,kiko,このあたりではあるんですけど......,"She's around here somewhere, but......"
