id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
main4-1,scenario00,scenario00,,
main4-1,survivor03,survivor03,right-left,right-left
main4-1,character00,character00,,
main4-1,akane,akane,いやー,"Oh, man"
main4-1,akane,akane,まさか、ナツノちゃんまで迷子だとは思わなかったなー,"I never thought even you’d get lost, Natsuno"
main4-1,akane,akane,アタシが帰り道わかんなくなったって言ったとき、呆れてたけどさー,You looked so exasperated when I told you I’d lost my way home
main4-1,akane,akane,人のこと言えないじゃーん,"Guess you’re no better than me, huh"
main4-1,survivor00,survivor00,right-right,right-right
main4-1,natsuno,natsuno,......,......
main4-1,natsuno,natsuno,......わたしは、別に,......It’s not like that for me
main4-1,natsuno,natsuno,......わざとだし,......I did it on purpose
main4-1,survivor03,survivor03,right-left,right-left
main4-1,akane,akane,んー？,Hmm?
main4-1,survivor00,survivor00,right-right,right-right
main4-1,natsuno,natsuno,帰り道がわかんなくなったんじゃなくて,It’s not that I lost my way home
main4-1,natsuno,natsuno,もともと帰るつもり、なかったもん......,I never planned on going back in the first place......
main4-1,akane,akane,ふーん,Oh
main4-1,akane,akane,ま、どっちでもいいけどねー,"Well, whatever"
main4-1,akane,akane,帰り道、わかりそうにないし,Doesn’t look like we’re gonna find our way back anyway
main4-1,akane,akane,しばらくは、ナツノちゃんと二人旅だね,Looks like it’ll be just the two of us traveling together for a while
main4-1,akane,akane,ま、そーゆーのもいっか,"Well, I guess that’s fine too"
main4-1,natsuno,natsuno,......,......
main4-1,survivor03,survivor03,right-left,right-left
main4-1,akane,akane,......そんで,......Anyway
main4-1,akane,akane,なんで、一人でキャンプから出てきたわけ？,Why’d you leave the camp by yourself?
main4-1,akane,akane,アタシを探すため──,To look for me……
main4-1,akane,akane,じゃあ、なさそうだし？,"Doesn’t seem like it, though?"
main4-1,,,,
main4-1,natsuno,natsuno,......,......
main4-1,natsuno,natsuno,............,............
main4-1,scenario02,scenario02,,
main4-1,survivor00,survivor00,right-right,right-right
main4-1,natsuno,natsuno,宇宙人が......私たちに何か伝えようとしてるんだって、言ってたよね,"You said the aliens...... were trying to tell us something, right"
main4-1,akane,akane,......,......
main4-1,akane,akane,......うん,......Yeah
main4-1,akane,akane,言ったね、そんなこと,I did say that
main4-1,natsuno,natsuno,......何を伝えたいんだと思う？,......What do you think they’re trying to tell us?
main4-1,akane,akane,......さー,......Who knows
main4-1,akane,akane,そんなのわかってたら、こんなことにならないし,"If I knew that, things wouldn’t have gotten this bad"
main4-1,akane,akane,ま、アタシの想像だと,"Well, if you ask me"
main4-1,akane,akane,わかりっこない,There’s no way we could know
main4-1,natsuno,natsuno,......,......
main4-1,akane,akane,アタシたちには想像も理解もできない──,Something we can’t even imagine or understand
main4-1,akane,akane,説明されたってわかんないような、何か,Something we wouldn’t understand even if they explained it to us
main4-1,natsuno,natsuno,......,......
main4-1,akane,akane,ナツノちゃんは,"What about you, Natsuno?"
main4-1,akane,akane,どう、思ってるわけ？,What do you think?
main4-1,natsuno,natsuno,......,......
main4-1,survivor00,survivor00,right-right,right-right
main4-1,natsuno,natsuno,......もし,......If
