id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
meguru1-1,scenario16,scenario16,,
meguru1-1,environment00,environment00,,
meguru1-1,natsuno,natsuno,......あれ,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,あの後ろ姿......,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,......,......
meguru1-1,natsuno,natsuno,ちょっと、近くまで行ってみるね,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,お取込み中みたいだから......こっそり,<PLEASE_TRANSLATE>
meguru1-1,2,2,,
meguru1-1,1,1,,
meguru1-1,,,,
meguru1-1,1,1,,
meguru1-1,1,1,,
meguru1-1,1,1,,
meguru1-1,natsuno,natsuno,......,......
meguru1-1,natsuno,natsuno,............,............
meguru1-1,natsuno,natsuno,........................,........................
meguru1-1,???,???,......,......
meguru1-1,1,1,,
meguru1-1,survivor04,survivor04,right-left,right-left
meguru1-1,meguru,meguru,......え,<PLEASE_TRANSLATE>
meguru1-1,character04,character04,,
meguru1-1,survivor04,survivor04,right-left,right-left
meguru1-1,meguru,meguru,うわああああああ,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,ナナナナナツノちゃん！？,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,なななんで！？,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,いつから！？,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,ホウァイ！？,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,ニンジャ！？,<PLEASE_TRANSLATE>
meguru1-1,survivor00,survivor00,right-right,right-right
meguru1-1,natsuno,natsuno,......,......
meguru1-1,natsuno,natsuno,......忍者ではない、かな,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,こんにちは,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,ハ、ハロー！！,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,......,......
meguru1-1,natsuno,natsuno,......,......
meguru1-1,meguru,meguru,............,............
meguru1-1,meguru,meguru,......ずっと見てた......ってこと？,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,その......,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,......描いてるとこ,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,まぁ......,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,ちょっとだけ、だけど,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,......,......
meguru1-1,meguru,meguru,............,............
meguru1-1,meguru,meguru,........................,........................
meguru1-1,meguru,meguru,......よし,<PLEASE_TRANSLATE>
meguru1-1,survivor04,survivor04,right-left,right-left
meguru1-1,meguru,meguru,死のう,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,......,......
meguru1-1,2,2,,
meguru1-1,1,1,,
meguru1-1,,,,
meguru1-1,1,1,,
meguru1-1,1,1,,
meguru1-1,meguru,meguru,来世はスフィンクスにしてほしいんすけど......,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,だめっすか......,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,うーん,<PLEASE_TRANSLATE>
meguru1-1,natsuno,natsuno,スフィンクスはちょっと......,<PLEASE_TRANSLATE>
meguru1-1,meguru,meguru,だめか......,<PLEASE_TRANSLATE>
