id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
minamo1-1,scenario25,scenario25,,
minamo1-1,environment00,environment00,,
minamo1-1,natsuno,natsuno,......あ,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......ね,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,あそこ、人がいる,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,女の子......みたい,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,あんなところで寝そべって......,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,昼寝......してるのかな,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......なんか,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,のどかだね,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......あ,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,こっち見た,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......え,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,なんか逃げようとしてる......？,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......ねぇ！,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,ちょっと！,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,待ってよ......！,<PLEASE_TRANSLATE>
minamo1-1,2,2,,
minamo1-1,1,1,,
minamo1-1,,,,
minamo1-1,,,,
minamo1-1,1,1,,
minamo1-1,1,1,,
minamo1-1,character05,character05,,
minamo1-1,natsuno,natsuno,......,......
minamo1-1,???,???,......,......
minamo1-1,natsuno,natsuno,............,............
minamo1-1,???,???,............,............
minamo1-1,natsuno,natsuno,......なんで、逃げたの？,<PLEASE_TRANSLATE>
minamo1-1,1,1,,
minamo1-1,survivor05,survivor05,right-left,right-left
minamo1-1,2,2,,
minamo1-1,???,???,......,......
minamo1-1,???,???,......感染者だと思って,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......そっか,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,ごめん、びっくりさせちゃった,<PLEASE_TRANSLATE>
minamo1-1,???,???,......,......
minamo1-1,???,???,......あー,<PLEASE_TRANSLATE>
minamo1-1,???,???,えー,<PLEASE_TRANSLATE>
minamo1-1,???,???,めっちゃいい人じゃん......,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
minamo1-1,survivor05,survivor05,right-left,right-left
minamo1-1,???,???,うぅ......,<PLEASE_TRANSLATE>
minamo1-1,???,???,......うそです,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,え......,<PLEASE_TRANSLATE>
minamo1-1,???,???,ナツノさんだって......遠目にわかったから,<PLEASE_TRANSLATE>
minamo1-1,???,???,思わず......逃げました,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......え？,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,なんで......？,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......っていうか,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,なんで、名前,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,知ってるの......？,<PLEASE_TRANSLATE>
minamo1-1,2,2,,
minamo1-1,1,1,,
minamo1-1,,,,
minamo1-1,survivor05,survivor05,right-left,right-left
minamo1-1,1,1,,
minamo1-1,1,1,,
minamo1-1,1,1,,
minamo1-1,natsuno,natsuno,じゃあ......ほんとに,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,あのとき、スマホ拾ってくれた......ミナモさん、なんだ,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,......そーだね,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,あのときの、ミナモさんです,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,スマホの向こうのきみも、お久しぶり,<PLEASE_TRANSLATE>
minamo1-1,survivor00,survivor00,right-right,right-right
minamo1-1,natsuno,natsuno,......,......
minamo1-1,natsuno,natsuno,......あのときは,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,ありがとう,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,......,......
minamo1-1,survivor05,survivor05,right-left,right-left
minamo1-1,minamo,minamo,......ふーん,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,ありがた迷惑っていうか,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,余計なお世話にならんかったんなら,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,よかったよ,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,......うん,<PLEASE_TRANSLATE>
minamo1-1,survivor00,survivor00,right-right,right-right
minamo1-1,natsuno,natsuno,でも,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,なんで、直接、渡してくれなかったの？,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,わたしの顔知ってるってことは,<PLEASE_TRANSLATE>
minamo1-1,natsuno,natsuno,すぐそこまで、来てたんでしょ？,<PLEASE_TRANSLATE>
minamo1-1,minamo,minamo,......,......
