id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
repeat1-1,scenario12,scenario12,,
repeat1-1,survivor00,survivor00,right-right,right-right
repeat1-1,environment01,environment01,,
repeat1-1,natsuno,natsuno,......,......
repeat1-1,natsuno,natsuno,......あれ,......Oh
repeat1-1,natsuno,natsuno,ねぇ......,Hey...
repeat1-1,natsuno,natsuno,あそこにいるの......,There's someone over there......
repeat1-1,natsuno,natsuno,おばあちゃんだ......,It's an old lady......
repeat1-1,natsuno,natsuno,黒いフード被ってる......,She's wearing a black hood......
repeat1-1,natsuno,natsuno,あんなとこで、一人で何してるんだろ......,I wonder what she's doing all alone in a place like that......
repeat1-1,natsuno,natsuno,大丈夫かな,I wonder if she's okay
repeat1-1,natsuno,natsuno,......ちょっと声かけてみる,......I'll try talking to her
repeat1-1,1,1,,
repeat1-1,,,,
repeat1-1,1,1,,
repeat1-1,1,1,,
repeat1-1,hasItem,hasItem,hasItem,hasItem
repeat1-1,noItems,noItems,,
repeat1-1,natsuno,natsuno,......よくわかんないけど,"......I don't really get it, but"
repeat1-1,natsuno,natsuno,話してたら、おばあちゃん、一人で歩いて行っちゃった,"While I was talking to her, the old lady just walked away by herself"
repeat1-1,natsuno,natsuno,......なんだったんだろ,......What was that all about?
repeat1-1,nextLocation,nextLocation,,
repeat1-1,hasItem,hasItem,,
repeat1-1,natsuno,natsuno,......なんか、よくわかんないんだけどさ,"......I don't really get it, but"
repeat1-1,natsuno,natsuno,あのおばあちゃん、,That old lady...
repeat1-1,confirmItemExchange00,confirmItemExchange00,,
repeat1-1,natsuno,natsuno,......じゃ、もう一回話してくる,"......Okay, I'll go talk to her again."
repeat1-1,1,1,,
repeat1-1,,,,
repeat1-1,1,1,,
repeat1-1,1,1,,
repeat1-1,natsuno,natsuno,おばあちゃん、一人で歩いて行っちゃった,The old lady just walked away by herself.
repeat1-1,natsuno,natsuno,......なんだったんだろ,......What was that all about?
repeat1-1,nextLocation,nextLocation,,
-,,,,
repeat2-1,scenario13,scenario13,,
repeat2-1,,,,
repeat2-1,environment02,environment02,,
repeat2-1,natsuno,natsuno,......,......
repeat2-1,survivor00,survivor00,right-right,right-right
repeat2-1,natsuno,natsuno,......ね,......Yeah
repeat2-1,natsuno,natsuno,......あそこ、誰か座り込んでる,......There's someone sitting over there
repeat2-1,natsuno,natsuno,......,......
repeat2-1,natsuno,natsuno,まだ、生きてるかな......,Is she still alive......?
repeat2-1,natsuno,natsuno,......どうしよ,......What should I do?
repeat2-1,natsuno,natsuno,<button>見てみる</button>べき......かな。<button>やめとく</button>？,Should I <button>take a look</button>......? Or should I <button>leave her alone</button>?
repeat2-1,look,look,look,look
repeat2-1,look,look,,
repeat2-1,natsuno,natsuno,......わかった,......Okay
repeat2-1,natsuno,natsuno,見てみる......,I'll take a look......
repeat2-1,natsuno,natsuno,ねぇ、あなた......,"Hey, you......"
repeat2-1,natsuno,natsuno,......,......
repeat2-1,survivorCount,survivorCount,1,1
repeat2-1,itemGetOrBattlte,itemGetOrBattlte,,
repeat2-1,random,random,0.7,0.7
repeat2-1,itemGet,itemGet,,
repeat2-1,natsuno,natsuno,......この人,......This person
repeat2-1,natsuno,natsuno,もう......,Already......
repeat2-1,natsuno,natsuno,......,......
repeat2-1,survivor00,survivor00,right-right,right-right
repeat2-1,natsuno,natsuno,......あ,......Ah
repeat2-1,natsuno,natsuno,この人の、持ち物だったのかな,I wonder if these were this person's belongings
repeat2-1,natsuno,natsuno,......,......
repeat2-1,itemGetIdBox00,itemGetIdBox00,,
repeat2-1,survivor00,survivor00,right-right,right-right
repeat2-1,natsuno,natsuno,......,......
repeat2-1,natsuno,natsuno,......もう、行こっか,......Let's go now
repeat2-1,nextLocation,nextLocation,,
repeat2-1,battle,battle,,
repeat2-1,natsuno,natsuno,あ......！,Ah......!
repeat2-1,natsuno,natsuno,この人、感染してる......！,This person is infected......!
repeat2-1,battleId05,battleId05,,
repeat2-1,survivor00,survivor00,right-right,right-right
repeat2-1,natsuno,natsuno,......はぁ,......Phew
repeat2-1,natsuno,natsuno,......もう、行こっか,......Let's go now
repeat2-1,nextLocation,nextLocation,,
repeat2-1,noLook,noLook,,
repeat2-1,survivor00,survivor00,right-right,right-right
repeat2-1,natsuno,natsuno,......そうだね,......Yeah
repeat2-1,natsuno,natsuno,やめとく,I'll leave her alone
repeat2-1,natsuno,natsuno,......,......
repeat2-1,nextLocation,nextLocation,,
-,,,,
repeat3-1,scenario14,scenario14,,
repeat3-1,,,,
repeat3-1,environment04,environment04,,
repeat3-1,natsuno,natsuno,......,......
repeat3-1,survivor00,survivor00,right-right,right-right
repeat3-1,natsuno,natsuno,......あ,......Oh
repeat3-1,natsuno,natsuno,あのトラック......,That truck......
repeat3-1,natsuno,natsuno,んーと......,Let's see......
repeat3-1,natsuno,natsuno,軍隊のやつ......だよね,It's a military truck......right?
repeat3-1,natsuno,natsuno,誰も乗ってないっぽいけど......,"Looks like there's nobody inside, though......"
repeat3-1,natsuno,natsuno,......何か残ってたりするかな,......I wonder if there's anything left inside
repeat3-1,natsuno,natsuno,ちょっと見てみる,I'll take a quick look
repeat3-1,natsuno,natsuno,......,......
repeat3-1,itemGetIdBox02,itemGetIdBox02,,
repeat3-1,natsuno,natsuno,......,......
repeat3-1,survivor00,survivor00,right-right,right-right
repeat3-1,natsuno,natsuno,東京から出ようとしてたときは、結構見かけたけど......,I saw quite a few of these when I was trying to leave Tokyo......
repeat3-1,natsuno,natsuno,これに乗ってた人たちも,I wonder if the people who were riding in this one
repeat3-1,natsuno,natsuno,みんな、死んじゃったのかな,"all died, too"
repeat3-1,natsuno,natsuno,......,......
repeat3-1,nextLocation,nextLocation,,
-,,,,
