id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
repeat-meguru1-1,scenario16,scenario16,,
repeat-meguru1-1,survivor00,survivor00,right-right,right-right
repeat-meguru1-1,environment01,environment01,,
repeat-meguru1-1,natsuno,natsuno,......,......
repeat-meguru1-1,natsuno,natsuno,......あ,<PLEASE_TRANSLATE>
repeat-meguru1-1,natsuno,natsuno,メグル......？,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,character04,character04,,
repeat-meguru1-1,meguru,meguru,あー！,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,ナツノちゃんじゃん！,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,meguru,meguru,やっほー！,<PLEASE_TRANSLATE>
repeat-meguru1-1,natsuno,natsuno,や、やっほー......？,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,meguru,meguru,......,......
repeat-meguru1-1,natsuno,natsuno,......,......
repeat-meguru1-1,meguru,meguru,............,............
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,meguru,meguru,......そっすよね......,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,うちのことなんか、憶えてないですよね......,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,meguru,meguru,すみません......消えてなくなります......,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor00,survivor00,right-right,right-right
repeat-meguru1-1,natsuno,natsuno,......,......
repeat-meguru1-1,natsuno,natsuno,憶えてるよ......,<PLEASE_TRANSLATE>
repeat-meguru1-1,natsuno,natsuno,呼んだじゃん、メグルって,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,meguru,meguru,あ！,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,そうそう！,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,最近拾ったもの、見せたげるー！,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,何かと交換してよー,<PLEASE_TRANSLATE>
repeat-meguru1-1,natsuno,natsuno,......,......
repeat-meguru1-1,survivor00,survivor00,right-right,right-right
repeat-meguru1-1,natsuno,natsuno,えーと......,<PLEASE_TRANSLATE>
repeat-meguru1-1,shopping00,shopping00,,
repeat-meguru1-1,meguru,meguru,まいどあり！,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,ぼちぼち、新しい商品も仕入れときますんで！,<PLEASE_TRANSLATE>
repeat-meguru1-1,meguru,meguru,今後とも、ご贔屓にー！,<PLEASE_TRANSLATE>
repeat-meguru1-1,survivor04,survivor04,right-left,right-left
repeat-meguru1-1,meguru,meguru,じゃ、またね！,<PLEASE_TRANSLATE>
repeat-meguru1-1,natsuno,natsuno,ま、またね......,<PLEASE_TRANSLATE>
repeat-meguru1-1,1,1,,
repeat-meguru1-1,nextLocation,nextLocation,,
-,,,,
