id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
shop1-1,scenario16,scenario16,,
shop1-1,survivor00,survivor00,right-right,right-right
shop1-1,environment01,environment01,,
shop1-1,natsuno,natsuno,あ,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,いた......,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,メグル,<PLEASE_TRANSLATE>
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,character04,character04,,
shop1-1,meguru,meguru,あー！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,ナツノちゃん！,<PLEASE_TRANSLATE>
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,はぁーい！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,なんで、うちがここいるってわかったの？,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,んー......この絵はがき拾って,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,ここかなって,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,あ！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,それ、うちが描いたやつだね！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,なるほどー！,<PLEASE_TRANSLATE>
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,......,......
shop1-1,meguru,meguru,......絵はがきに描いてあったからって,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,そこにいるって思わなくない......？,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,......確かに？,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,......,......
shop1-1,meguru,meguru,............,............
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,......もしかして,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,うちの、ストーカーっすか......？,<PLEASE_TRANSLATE>
shop1-1,survivor00,survivor00,right-right,right-right
shop1-1,natsuno,natsuno,......,......
shop1-1,meguru,meguru,......,......
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,......すみません,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,そ、そんなわけ......ないっすよね......,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,ゆるしてください......,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,......,......
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,あ！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,そうそう！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,最近拾ったもの、見せたげるー！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,何かと交換してよー,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,......,......
shop1-1,survivor00,survivor00,right-right,right-right
shop1-1,natsuno,natsuno,えーと......,<PLEASE_TRANSLATE>
shop1-1,shopping00,shopping00,,
shop1-1,meguru,meguru,まいどあり！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,また絵はがき見つけたら、会いに来てね！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,今後とも、ご贔屓にー！,<PLEASE_TRANSLATE>
shop1-1,meguru,meguru,......,......
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,ほんとに、ストーカーじゃないっすよね......？,<PLEASE_TRANSLATE>
shop1-1,survivor00,survivor00,right-right,right-right
shop1-1,natsuno,natsuno,......違うって,<PLEASE_TRANSLATE>
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,ですよね！,<PLEASE_TRANSLATE>
shop1-1,survivor04,survivor04,right-left,right-left
shop1-1,meguru,meguru,じゃ、またね！,<PLEASE_TRANSLATE>
shop1-1,natsuno,natsuno,またね......,<PLEASE_TRANSLATE>
shop1-1,1,1,,
shop1-1,questSuccess,questSuccess,,
-,,,,
shop100-1,scenario16,scenario16,,
shop100-1,,,,
shop100-1,environment01,environment01,,
shop100-1,3,3,,
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......,......
shop100-1,meguru,meguru,............,............
shop100-1,natsuno,natsuno,......,......
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......え,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......えー,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ど、どどど,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ど、どう......した......んすか......？,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,meguru,meguru,......,......
shop100-1,meguru,meguru,............,............
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......あ！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,わかった！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ハロウィンね！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,おっけーおっけー、そうっすよね、ハロウィン......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,......,......
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......いや,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,今、夏なんすけど......,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,meguru,meguru,でも......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ナツノちゃんがそういうことしてるって、なんかイメージないっていうか......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ハロウィンとか、イベントごとでもないと、しそうにないっていうか......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,なんなら、イベントでもそんなことしてくれなさそう、っていうか......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,えー......なんだろ,<PLEASE_TRANSLATE>
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......あ,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ナツノちゃんじゃ、ない......とか？,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,......,......
shop100-1,meguru,meguru,............,............
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......だとしたら、ウチ、ガチの不審者じゃね？,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,meguru,meguru,......,......
shop100-1,meguru,meguru,............,............
shop100-1,natsuno,natsuno,......ト,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,......,......
shop100-1,meguru,meguru,......ト？,<PLEASE_TRANSLATE>
shop100-1,1,1,,
shop100-1,survivor00,survivor00,right-right,right-right
shop100-1,natsuno,natsuno,......トリック,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......オア,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......トリート,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,......,......
shop100-1,3,3,,
shop100-1,1,1,,
shop100-1,,,,
shop100-1,1,1,,
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,1,1,,
shop100-1,character04,character04,,
shop100-1,3,3,,
shop100-1,meguru,meguru,......そ、,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,そーっすよね！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ハロウィン！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ハロウィンっすよね！　そりゃね！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,いや～もうそんな季節か～,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,そっすよねー......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,......,......
shop100-1,natsuno,natsuno,......,......
shop100-1,meguru,meguru,......,......
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......なんで、そんなカッコーしてるんすか......？,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,めちゃアツ、スーパーサマーデイ、って感じなんだけど,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,ウチをびっくりさせようとして......とか......？,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,natsuno,natsuno,......さっき,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,そのへんで、拾っただけ,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,natsuno,natsuno,......珍しくて,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......ちょっとだけ、浮かれて,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,試しに着てみてたら,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,メグルが来て......,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,natsuno,natsuno,......そういうのハロウィンでも着なさそうとか,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,なんか好き勝手に言われて,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......今、めちゃめちゃ恥ずかしい,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,......,......
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,............,............
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......ごめんなさい,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,消えてなくなります......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,来世はペポカボチャに......,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,......と、ところで！,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,トリック・オア・トリートって.......,<PLEASE_TRANSLATE>
shop100-1,survivor00,survivor00,right-right,right-right
shop100-1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,もし、仮に......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,か、仮に、っすよ？,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,仮に......,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,イタズラの方......だったら,<PLEASE_TRANSLATE>
shop100-1,meguru,meguru,な、何してくれるんすか......？,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,natsuno,natsuno,............,............
shop100-1,survivor00,survivor00,right-right,right-right
shop100-1,natsuno,natsuno,......『してくれる』って、何？,<PLEASE_TRANSLATE>
shop100-1,natsuno,natsuno,......,......
shop100-1,natsuno,natsuno,......気持ち悪いんだけど,<PLEASE_TRANSLATE>
shop100-1,survivor04,survivor04,right-left,right-left
shop100-1,meguru,meguru,！！,<PLEASE_TRANSLATE>
shop100-1,survivor04,survivor04,right-left,right-left
