id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
sub-natsuno1-1,scenario00,scenario00,,
sub-natsuno1-1,survivor00,survivor00,right-right,right-right
sub-natsuno1-1,character00,character00,,
sub-natsuno1-1,natsuno,natsuno,......料理、したくないなぁ,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,めんどいなぁ......,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,......,......
sub-natsuno1-1,survivor00,survivor00,right-right,right-right
sub-natsuno1-1,natsuno,natsuno,やってくんない？,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,......ってわけにも、いかないよねぇ,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,......うーん,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,めんどい......,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,あ、そだ,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,なんか、料理本とかある？,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,それ見たら、ちょっとはやる気出るかも,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,ある？,<PLEASE_TRANSLATE>
sub-natsuno1-1,yes,yes,input_any,input_any
sub-natsuno1-1,input_any,input_any,,
sub-natsuno1-1,natsuno,natsuno,......,......
sub-natsuno1-1,natsuno,natsuno,......や,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,......やっぱいいや,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,どうせ、軽量カップとかないし,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,見たって、ちゃんとできないや,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,あーあ,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,こんななら、ちゃんと母さんの手伝いとか、しとけばよかったかも,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,こんな状況になって、一人きりになって、初めてちゃんと料理とかしたから,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,全部、自分流なんだよね,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,あんま、おいしくない,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,......もう慣れちゃったけど,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,......,......
sub-natsuno1-1,natsuno,natsuno,......ま,<PLEASE_TRANSLATE>
sub-natsuno1-1,survivor00,survivor00,right-right,right-right
sub-natsuno1-1,natsuno,natsuno,こんなことになるなんて......,<PLEASE_TRANSLATE>
sub-natsuno1-1,natsuno,natsuno,どんなにがんばっても、想像できなかっただろうけど,<PLEASE_TRANSLATE>
sub-natsuno1-1,questSuccess,questSuccess,,
-,,,,
sub-kiko1-1,,,,
sub-kiko1-1,scenario00,scenario00,,
sub-kiko1-1,character01,character01,,
sub-kiko1-1,kiko,kiko,......,......
sub-kiko1-1,kiko,kiko,......あの,<PLEASE_TRANSLATE>
sub-kiko1-1,survivor01,survivor01,right-right,right-right
sub-kiko1-1,kiko,kiko,......き、聞こえてます？,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,ナツノさん、どこか行っちゃったみたいで......,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,テーブルの上にスマホだけあって......,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,......それで,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,......,......
sub-kiko1-1,kiko,kiko,............,............
sub-kiko1-1,kiko,kiko,........................,........................
sub-kiko1-1,kiko,kiko,......あの,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,どこか、遠く......こんなことになってない、平和なところにいるんだって聞きました,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,ナツノさんから,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,それで......,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,......ペット、飼ってたりしますか？,<PLEASE_TRANSLATE>
sub-kiko1-1,yes,yes,input_yes,input_yes
sub-kiko1-1,input_yes,input_yes,,
sub-kiko1-1,kiko,kiko,！！,<PLEASE_TRANSLATE>
sub-kiko1-1,survivor01,survivor01,right-right,right-right
sub-kiko1-1,kiko,kiko,そうなんですね......,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,いいなぁ......,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,......,......
sub-kiko1-1,confluence,confluence,,
sub-kiko1-1,input_no,input_no,,
sub-kiko1-1,kiko,kiko,そうですか......,<PLEASE_TRANSLATE>
sub-kiko1-1,kiko,kiko,......,......
sub-kiko1-1,confluence,confluence,,
sub-kiko1-1,confluence,confluence,,
sub-kiko1-1,survivor01,survivor01,right-right,right-right
