id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
sub-endless-kiko1,scenario10,scenario10,,
sub-endless-kiko1,environment01,environment01,,
sub-endless-kiko1,2,2,,
sub-endless-kiko1,????,????,......あ！,<PLEASE_TRANSLATE>
sub-endless-kiko1,????,????,......ナツノさん！,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,......あ,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,キコ,<PLEASE_TRANSLATE>
sub-endless-kiko1,character01,character01,,
sub-endless-kiko1,survivor01,survivor01,right-left,right-left
sub-endless-kiko1,kiko,kiko,こんにちは,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,こ、こんにちは......奇遇だね,<PLEASE_TRANSLATE>
sub-endless-kiko1,kiko,kiko,車の音が聞こえたので、ちょっと来てみたんです,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,ああ......,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,そっか,<PLEASE_TRANSLATE>
sub-endless-kiko1,kiko,kiko,ナツノさんも、食べ物とか探してるところですか？,<PLEASE_TRANSLATE>
sub-endless-kiko1,natsuno,natsuno,うん。そうだね,<PLEASE_TRANSLATE>
sub-endless-kiko1,kiko,kiko,じゃあ、少しだけご一緒してもいいですか？,<PLEASE_TRANSLATE>
sub-endless-kiko1,survivor00,survivor00,right-right,right-right
sub-endless-kiko1,natsuno,natsuno,うん。もちろん,<PLEASE_TRANSLATE>
sub-endless-kiko1,kiko,kiko,ありがとうございます！,<PLEASE_TRANSLATE>
sub-endless-kiko1,survivor01,survivor01,right-left,right-left
sub-endless-kiko1,kiko,kiko,ほら、いこ、カンタロー！,<PLEASE_TRANSLATE>
sub-endless-kiko1,2,2,,
sub-endless-kiko1,kiko,kiko,,
sub-endless-kiko1,questSuccess,questSuccess,,
-,,,,
sub-endless-kiko2,scenario10,scenario10,,
sub-endless-kiko2,character01,character01,,
sub-endless-kiko2,survivor01,survivor01,right-left,right-left
sub-endless-kiko2,kiko,kiko,ナツノさん,<PLEASE_TRANSLATE>
sub-endless-kiko2,natsuno,natsuno,うん？,<PLEASE_TRANSLATE>
sub-endless-kiko2,kiko,kiko,私、そろそろキャンプに戻らないと......,<PLEASE_TRANSLATE>
sub-endless-kiko2,natsuno,natsuno,ああ、うん,<PLEASE_TRANSLATE>
sub-endless-kiko2,natsuno,natsuno,そっか,<PLEASE_TRANSLATE>
sub-endless-kiko2,kiko,kiko,はい,<PLEASE_TRANSLATE>
sub-endless-kiko2,kiko,kiko,じゃあ......行きますね,<PLEASE_TRANSLATE>
sub-endless-kiko2,natsuno,natsuno,うん,<PLEASE_TRANSLATE>
sub-endless-kiko2,natsuno,natsuno,またね,<PLEASE_TRANSLATE>
sub-endless-kiko2,survivor01,survivor01,right-left,right-left
sub-endless-kiko2,kiko,kiko,はい！,<PLEASE_TRANSLATE>
sub-endless-kiko2,kiko,kiko,また近くを通りかかったら、お話しましょう,<PLEASE_TRANSLATE>
sub-endless-kiko2,survivor00,survivor00,right-right,right-right
sub-endless-kiko2,natsuno,natsuno,うん,<PLEASE_TRANSLATE>
sub-endless-kiko2,kiko,kiko,じゃあ、また！,<PLEASE_TRANSLATE>
sub-endless-kiko2,1,1,,
sub-endless-kiko2,survivor01,survivor01,1.0,1.0
sub-endless-kiko2,1,1,,
sub-endless-kiko2,natsuno,natsuno,......,......
sub-endless-kiko2,natsuno,natsuno,......ほんと,<PLEASE_TRANSLATE>
sub-endless-kiko2,natsuno,natsuno,たくましく、なったなぁ,<PLEASE_TRANSLATE>
sub-endless-kiko2,1,1,,
sub-endless-kiko2,kiko,kiko,,
sub-endless-kiko2,questSuccess,questSuccess,,
-,,,,
sub-endless-shino1,scenario06,scenario06,,
sub-endless-shino1,,,,
sub-endless-shino1,character02,character02,,
sub-endless-shino1,2,2,,
sub-endless-shino1,???,???,おーい！,<PLEASE_TRANSLATE>
sub-endless-shino1,survivor00,survivor00,right-right,right-right
