id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
sub-meguru1-1,scenario16,scenario16,,
sub-meguru1-1,environment01,environment01,,
sub-meguru1-1,natsuno,natsuno,......え,<PLEASE_TRANSLATE>
sub-meguru1-1,natsuno,natsuno,......,......
sub-meguru1-1,natsuno,natsuno,......どうしよ,<PLEASE_TRANSLATE>
sub-meguru1-1,survivor00,survivor00,right-right,right-right
sub-meguru1-1,natsuno,natsuno,なんか,<PLEASE_TRANSLATE>
sub-meguru1-1,natsuno,natsuno,変な人が、こっち向かって歩いてくる......,<PLEASE_TRANSLATE>
sub-meguru1-1,natsuno,natsuno,......めっちゃ笑顔......,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,......,......
sub-meguru1-1,???,???,............,............
sub-meguru1-1,survivor04,survivor04,right-left,right-left
sub-meguru1-1,???,???,........................,........................
sub-meguru1-1,???,???,......ちわ,<PLEASE_TRANSLATE>
sub-meguru1-1,survivor00,survivor00,right-right,right-right
sub-meguru1-1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,......ちわ！,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,......,......
sub-meguru1-1,natsuno,natsuno,......,......
sub-meguru1-1,survivor04,survivor04,right-left,right-left
sub-meguru1-1,???,???,......,......
sub-meguru1-1,???,???,............,............
sub-meguru1-1,???,???,........................,........................
sub-meguru1-1,survivor04,survivor04,right-left,right-left
sub-meguru1-1,???,???,......えー,<PLEASE_TRANSLATE>
sub-meguru1-1,,,,
sub-meguru1-1,???,???,......無視......？,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,......,......
sub-meguru1-1,survivor04,survivor04,right-left,right-left
sub-meguru1-1,???,???,無視......っすか......,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,......つら,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,むりだ,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,もうむりだ,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,まぢむり,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,消えてなくなりたい,<PLEASE_TRANSLATE>
sub-meguru1-1,survivor04,survivor04,right-left,right-left
sub-meguru1-1,???,???,生まれ変わったら、来世はミカヅキモにしてください,<PLEASE_TRANSLATE>
sub-meguru1-1,???,???,さようなら,<PLEASE_TRANSLATE>
sub-meguru1-1,survivor04,survivor04,1.0,1.0
sub-meguru1-1,survivor00,survivor00,right-right,right-right
sub-meguru1-1,natsuno,natsuno,......,......
sub-meguru1-1,natsuno,natsuno,......えっと,<PLEASE_TRANSLATE>
sub-meguru1-1,survivor04,survivor04,right-left,right-left
sub-meguru1-1,???,???,うちさ！,<PLEASE_TRANSLATE>
