id,_text<jpn>,text<eng>
early00,<br>ナツノカナタ<br><br>natsuno-kanata,<br>Beyond the Summer<br><br>natsuno-kanata
early01,企画/制作/シナリオ<br><br>　Kazuhide Oka,Planning / Development / Scenario<br><br>　Kazuhide Oka
early02,キャラクターデザイン<br><br>　Chiji,Character Design<br><br>　Chiji
early03,サウンドトラック<br><br>　ruichiro,Soundtrack<br><br>　ruichiro
early04,グラフィック<br><br>　https://www.pakutaso.com/<br><br>　https://pixabay.com/ja/<br><br>　https://ytsozaiyasan.com/<br><br>　https://icooon-mono.com/,Graphics<br><br>　https://www.pakutaso.com/<br><br>　https://pixabay.com/ja/<br><br>　https://ytsozaiyasan.com/<br><br>　https://icooon-mono.com/
early05,サウンド<br><br>　https://dova-s.jp/<br><br>　https://soundeffect-lab.info/,Sound<br><br>　https://dova-s.jp/<br><br>　https://soundeffect-lab.info/
early06,Special Thanks<br><br>　Shiro<br><br>　watako<br><br>　SaQZaQ<br><br>　MOTO<br><br>　Dike<br><br>　dors,Special Thanks<br><br>　Shiro<br><br>　watako<br><br>　SaQZaQ<br><br>　MOTO<br><br>　Dike<br><br>　dors
early07,Special Thanks<br><br>　John<br><br>　SAGAWA DON<br><br>　Linea<br><br>　kazuki kihara,Special Thanks<br><br>　John<br><br>　SAGAWA DON<br><br>　Linea<br><br>　kazuki kihara
early08,本作は 早期アクセス版 です。<br><br>フルバージョンでは、<br>シナリオの後半、<br>キャラクターエピソード等が<br>追加される予定です。<br>鋭意制作中ですので、今しばらくお待ちください。<br><br><br>よりよい体験をお届けするため、<br>皆様のご意見を募集中です。<br>詳しくは公式サイト等をご覧ください。,This is an Early Access version.<br><br>In the full version，<br>the latter half of the scenario，<br>character episodes， and other content<br>are planned to be added.<br>We are working hard on development，<br>so please wait a little longer.<br><br><br>To provide a better experience，<br>we are currently collecting your feedback.<br>For details， please visit the official website and other sources.
early09,Thank you for playing.<br><br>　　　　　　　　　See you soon.,Thank you for playing.<br><br>　　　　　　　　　See you soon.
-,,
main00,-,-
main01,-,-
main02,-,-
main03,-,-
main04,-,-
main05,-,-
main06,-,-
main07,Graphics<br><br>　https://www.pakutaso.com/<br><br>　https://pixabay.com/ja/<br><br>　https://ytsozaiyasan.com/<br><br>　https://icooon-mono.com/,Graphics<br><br>　https://www.pakutaso.com/<br><br>　https://pixabay.com/ja/<br><br>　https://ytsozaiyasan.com/<br><br>　https://icooon-mono.com/
main08,-,-
main07,Sounds<br><br>　https://dova-s.jp/<br><br>　https://soundeffect-lab.info/,Sounds<br><br>　https://dova-s.jp/<br><br>　https://soundeffect-lab.info/
main08,-,-
main07,Special Thanks<br><br>　Shiro<br><br>　watako<br><br>　SaQZaQ<br><br>　MOTO<br><br>　Dike<br><br>　dors,Special Thanks<br><br>　Shiro<br><br>　watako<br><br>　SaQZaQ<br><br>　MOTO<br><br>　Dike<br><br>　dors
main08,-,-
main09,Special Thanks<br><br>　John<br><br>　SAGAWA DON<br><br>　Linea<br><br>　kazuki kihara<br><br>　taneda<br><br>　Kaution*<br><br>,Special Thanks<br><br>　John<br><br>　SAGAWA DON<br><br>　Linea<br><br>　kazuki kihara<br><br>　taneda<br><br>　Kaution*<br><br>
main10,-,-
main11,Special Thanks<br><br>　ZAQluxu<br><br>　Pesty<br><br>　yoina<br><br>　rouseki<br><br>　rz41k<br><br>　sakumi<br><br>,Special Thanks<br><br>　ZAQluxu<br><br>　Pesty<br><br>　yoina<br><br>　rouseki<br><br>　rz41k<br><br>　sakumi<br><br>
main12,-,-
main14,-,-
main15,-,-
main16,-,-
main17,-,-
-,,
