id,_word0<jpn>,word0<eng>,_word1<jpn>,word1<eng>
-,,,,
natsuno00,ナツノ,<PLEASE_TRANSLATE>,なつの,<PLEASE_TRANSLATE>
natsuno01,ナツノさん,<PLEASE_TRANSLATE>,なつのさん,<PLEASE_TRANSLATE>
natsuno02,ナツノちゃん,<PLEASE_TRANSLATE>,なつのちゃん,<PLEASE_TRANSLATE>
natsuno03,なっちゃん,<PLEASE_TRANSLATE>,なっちゃん,<PLEASE_TRANSLATE>
kiko00,キコ,<PLEASE_TRANSLATE>,きこ,<PLEASE_TRANSLATE>
kiko01,キコさん,<PLEASE_TRANSLATE>,きこさん,<PLEASE_TRANSLATE>
kiko02,キコちゃん,<PLEASE_TRANSLATE>,きこちゃん,<PLEASE_TRANSLATE>
kiko03,きーちゃん,<PLEASE_TRANSLATE>,きーちゃん,<PLEASE_TRANSLATE>
shino00,シノ,<PLEASE_TRANSLATE>,しの,<PLEASE_TRANSLATE>
shino01,シノさん,<PLEASE_TRANSLATE>,しのさん,<PLEASE_TRANSLATE>
shino02,シノちゃん,<PLEASE_TRANSLATE>,しのちゃん,<PLEASE_TRANSLATE>
shino03,しーちゃん,<PLEASE_TRANSLATE>,しーちゃん,<PLEASE_TRANSLATE>
akane00,アカネ,<PLEASE_TRANSLATE>,あかね,<PLEASE_TRANSLATE>
akane01,アカネさん,<PLEASE_TRANSLATE>,あかねさん,<PLEASE_TRANSLATE>
akane02,アカネちゃん,<PLEASE_TRANSLATE>,あかねちゃん,<PLEASE_TRANSLATE>
akane03,あーちゃん,<PLEASE_TRANSLATE>,あーちゃん,<PLEASE_TRANSLATE>
minamo00,ミナモ,<PLEASE_TRANSLATE>,みなも,<PLEASE_TRANSLATE>
minamo01,ミナモさん,<PLEASE_TRANSLATE>,みなもさん,<PLEASE_TRANSLATE>
minamo02,ミナモちゃん,<PLEASE_TRANSLATE>,みなもちゃん,<PLEASE_TRANSLATE>
minamo03,みーちゃん,<PLEASE_TRANSLATE>,みーちゃん,<PLEASE_TRANSLATE>
itsuka00,イツカ,<PLEASE_TRANSLATE>,いつか,<PLEASE_TRANSLATE>
itsuka01,イツカさん,<PLEASE_TRANSLATE>,いつかさん,<PLEASE_TRANSLATE>
itsuka02,イツカちゃん,<PLEASE_TRANSLATE>,いつかちゃん,<PLEASE_TRANSLATE>
itsuka03,いっちゃん,<PLEASE_TRANSLATE>,いっちゃん,<PLEASE_TRANSLATE>
hinase00,ヒナセ,<PLEASE_TRANSLATE>,ひなせ,<PLEASE_TRANSLATE>
hinase01,ヒナセさん,<PLEASE_TRANSLATE>,ひなせさん,<PLEASE_TRANSLATE>
hinase02,ヒナセちゃん,<PLEASE_TRANSLATE>,ひなせちゃん,<PLEASE_TRANSLATE>
hinase03,ひーちゃん,<PLEASE_TRANSLATE>,ひーちゃん,<PLEASE_TRANSLATE>
meguru00,メグル,<PLEASE_TRANSLATE>,めぐる,<PLEASE_TRANSLATE>
meguru01,メグルさん,<PLEASE_TRANSLATE>,めぐるさん,<PLEASE_TRANSLATE>
meguru02,メグルちゃん,<PLEASE_TRANSLATE>,めぐるちゃん,<PLEASE_TRANSLATE>
meguru03,メグちゃん,<PLEASE_TRANSLATE>,めぐちゃん,<PLEASE_TRANSLATE>
meguru04,めーちゃん,<PLEASE_TRANSLATE>,めーちゃん,<PLEASE_TRANSLATE>
-,,,,
yes00,イエス,<PLEASE_TRANSLATE>,いえす,<PLEASE_TRANSLATE>
yes01,うん,<PLEASE_TRANSLATE>,うん,<PLEASE_TRANSLATE>
yes02,はい,<PLEASE_TRANSLATE>,はい,<PLEASE_TRANSLATE>
yes03,いいよ,<PLEASE_TRANSLATE>,いいよ,<PLEASE_TRANSLATE>
yes04,オッケー,<PLEASE_TRANSLATE>,おっけー,<PLEASE_TRANSLATE>
yes05,オーケー,<PLEASE_TRANSLATE>,おーけー,<PLEASE_TRANSLATE>
yes06,ある,<PLEASE_TRANSLATE>,ある,<PLEASE_TRANSLATE>
yes07,あり,<PLEASE_TRANSLATE>,あり,<PLEASE_TRANSLATE>
yes08,うむ,<PLEASE_TRANSLATE>,うむ,<PLEASE_TRANSLATE>
yes09,大丈夫,<PLEASE_TRANSLATE>,だいじょうぶ,<PLEASE_TRANSLATE>
-,,,,
no00,ノー,<PLEASE_TRANSLATE>,のー,<PLEASE_TRANSLATE>
no01,ううん,<PLEASE_TRANSLATE>,ううん,<PLEASE_TRANSLATE>
no02,いいえ,<PLEASE_TRANSLATE>,いいえ,<PLEASE_TRANSLATE>
no03,ダメ,<PLEASE_TRANSLATE>,だめ,<PLEASE_TRANSLATE>
no04,やだ,<PLEASE_TRANSLATE>,やだ,<PLEASE_TRANSLATE>
no05,嫌だ,<PLEASE_TRANSLATE>,いやだ,<PLEASE_TRANSLATE>
no06,ない,<PLEASE_TRANSLATE>,ない,<PLEASE_TRANSLATE>
no07,なし,<PLEASE_TRANSLATE>,なし,<PLEASE_TRANSLATE>
no08,いや,<PLEASE_TRANSLATE>,いや,<PLEASE_TRANSLATE>
no09,やめる,<PLEASE_TRANSLATE>,やめる,<PLEASE_TRANSLATE>
no10,やめとく,<PLEASE_TRANSLATE>,やめとく,<PLEASE_TRANSLATE>
no11,やめます,<PLEASE_TRANSLATE>,やめます,<PLEASE_TRANSLATE>
no12,やめときます,<PLEASE_TRANSLATE>,やめときます,<PLEASE_TRANSLATE>
no13,やめとこう,<PLEASE_TRANSLATE>,やめとこう,<PLEASE_TRANSLATE>
no14,やめとこ,<PLEASE_TRANSLATE>,やめとこ,<PLEASE_TRANSLATE>
no15,やめよう,<PLEASE_TRANSLATE>,やめよう,<PLEASE_TRANSLATE>
no16,もういい,<PLEASE_TRANSLATE>,もういい,<PLEASE_TRANSLATE>
no17,いらない,<PLEASE_TRANSLATE>,いらない,<PLEASE_TRANSLATE>
-,,,,
doNotKnow00,分からない,<PLEASE_TRANSLATE>,わからない,<PLEASE_TRANSLATE>
doNotKnow01,分かんない,<PLEASE_TRANSLATE>,わかんない,<PLEASE_TRANSLATE>
