id,_text<jpn>,text<eng>
-,,
splashMessage,<br><br><br><br>Kazuhide Oka<br><br>Chiji<br><br>ruichiro<br>,<br><br><br><br>Kazuhide Oka<br><br>Chiji<br><br>ruichiro<br>
cautionMessage,<br><br><br><br><br>本作はフィクションです。<br>実在の人物や団体などとは関係ありません。<br><br><br><br>本作は「自動セーブ」に対応しています。<br>進行状況は、特定の場面で自動的に保存されます。,<PLEASE_TRANSLATE>
-,,
titleCredit,クレジット,<PLEASE_TRANSLATE>
creditTitle,Credit,Credit
creditText,企画/制作/シナリオ　Kazuhide Oka<br><br><br>キャラクターデザイン　Chiji<br><br><br>サウンドトラック　ruichiro,<PLEASE_TRANSLATE>
creditClose,とじる,<PLEASE_TRANSLATE>
-,,
menuStoryText,物&nbsp;&nbsp;&nbsp;語,<PLEASE_TRANSLATE>
menuExprolerText,再&nbsp;&nbsp;&nbsp;生,<PLEASE_TRANSLATE>
menuHouseText,荷&nbsp;&nbsp;&nbsp;物,<PLEASE_TRANSLATE>
-,,
storyBack,&lt;,&lt;
storyNext,&gt;,&gt;
-,,
itemBoxInfoPrev0,&lt;,&lt;
itemBoxInfoPrev1,&lt;,&lt;
itemBoxInfoNext0,&gt;,&gt;
itemBoxInfoNext1,&gt;,&gt;
houseItemInfoPrev,&lt;,&lt;
houseCraftInfoPrev,&lt;,&lt;
houseItemInfoNext,&gt;,&gt;
houseCraftInfoNext,&gt;,&gt;
houseItemName,収納棚,<PLEASE_TRANSLATE>
houseCraftName,製作台,<PLEASE_TRANSLATE>
-,,
statusItemPrev0,&lt;,&lt;
statusItemPrev1,&lt;,&lt;
statusItemNext0,&gt;,&gt;
statusItemNext1,&gt;,&gt;
statusSkill0,特徴,<PLEASE_TRANSLATE>
statusSkill1,特徴,<PLEASE_TRANSLATE>
questInputHistory0,候補,<PLEASE_TRANSLATE>
questInputHistory1,候補,<PLEASE_TRANSLATE>
questSend0,話す,<PLEASE_TRANSLATE>
questSend1,話す,<PLEASE_TRANSLATE>
questTextAuto,AUTO,AUTO
logueTextAuto,AUTO,AUTO
-,,
endingMessage,End.,End.
-,,
gameOverMessage,G A M E &nbsp;&nbsp; O V E R,G A M E &nbsp;&nbsp; O V E R
gameOverContinue,つづける,<PLEASE_TRANSLATE>
gameOverToTitle,タイトルへ,<PLEASE_TRANSLATE>
-,,
optionTitle,Option,Option
optionClose,とじる,<PLEASE_TRANSLATE>
-,,
questionTitle,Help,Help
questionClose,とじる,<PLEASE_TRANSLATE>
-,,
helpTitle,Help,Help
helpClose,とじる,<PLEASE_TRANSLATE>
-,,
catalogPagePrev,&lt;,&lt;
catalogPageNext,&gt;,&gt;
catalogClose,とじる,<PLEASE_TRANSLATE>
-,,
selectorLeft,&lt;,&lt;
selectorRight,&gt;,&gt;
-,,
-,,
yes,はい,<PLEASE_TRANSLATE>
no,いいえ,<PLEASE_TRANSLATE>
-,,
confirm_exit,ゲームを終了します。<br>よろしいですか？,<PLEASE_TRANSLATE>
confirm_clearSave,セーブデータを削除します。<br>※システムデータ（オプション設定など）は削除されません。<br><br>よろしいですか？,<PLEASE_TRANSLATE>
confirm_animationCut,一部のアニメーションを無効にすることでフレームレートを安定させます。<br>アニメーションカットをONにしますか？,<PLEASE_TRANSLATE>
confirm_house,荷物がいっぱいのキャラクターがいます。<br>荷物を<red>収納棚に預ける</red>ことができますが、このまま再生しますか？,<PLEASE_TRANSLATE>
confirm_nextScenario,すでにエピソード進行条件を満たしています。<br><red>次の物語に進む</red>ことができますが、このまま再生しますか？,<PLEASE_TRANSLATE>
confirm_go_story,「物語」へ,<PLEASE_TRANSLATE>
confirm_go_house,「荷物」へ,<PLEASE_TRANSLATE>
confirm_go_exproler,「再生」へ,<PLEASE_TRANSLATE>
-,,
story_target,次の目的：,<PLEASE_TRANSLATE>
story_target_invalid,他の物語を進める　<br>（条件を満たしていないため、この物語を進めることができません）,<PLEASE_TRANSLATE>
story_target_continue,他の物語を進める　<br>（この物語は完結しました）,<PLEASE_TRANSLATE>
story_target_replay,もう一度この物語を読む　<br>（この物語は完結済みです）,<PLEASE_TRANSLATE>
story_target_noCondition,（エピソード進行条件：なし）,<PLEASE_TRANSLATE>
story_target_questCount,（{0}件探索し、無事に帰ってくる：{1}）,<PLEASE_TRANSLATE>
story_target_questProgress,（{0}件続けて探索し、無事に帰ってくる：{1}）,<PLEASE_TRANSLATE>
story_target_visitLocation,（「{0}」を探索し、無事に帰ってくる：{1}）,<PLEASE_TRANSLATE>
story_target_memoryItem,（エピソード進行アイテム&lt;{0}&gt; を見つける：{1}）,<PLEASE_TRANSLATE>
story_target_deleteWorld,（決断をする）,<PLEASE_TRANSLATE>
story_target_reboot,（コンピュータから離れる）,<PLEASE_TRANSLATE>
story_target_questTimeLimit,（{0}回探索する間に次のキャンプ地を見つける：残り{1}回）,<PLEASE_TRANSLATE>
story_targetDescription_invalid,エピソード進行条件<br><br>条件を満たしていないため、<red>このエピソードを進めることができません</red>。<br>ほかのエピソードを進行させることで、このエピソードを進行させられるようになります。,<PLEASE_TRANSLATE>
story_targetDescription_questCount,エピソード進行条件<br><br><red>{0}件</red>探索することでエピソードが進行します。<br>（GameOverになった場合、空腹で探索を中断した場合は回数に数えられません）,<PLEASE_TRANSLATE>
story_targetDescription_noCondition,エピソード進行条件<br><br>エピソードを進行させるための条件はありません。<br>すぐに次のエピソードに進むことができます。,<PLEASE_TRANSLATE>
story_targetDescription_questProgress,エピソード進行条件<br><br><red>連続して{0}件</red>探索することで、エピソードが進行します。<br>（GameOverになった場合、空腹で探索を中断した場合は回数に数えられません）,<PLEASE_TRANSLATE>
story_targetDescription_visitLocation,エピソード進行条件<br><br><red>{0}</red>を探索することでエピソードが進行します。<br>（たどり着いても、途中でGameOverになった場合、空腹で探索を中断した場合は探索した扱いになりません）,<PLEASE_TRANSLATE>
story_targetDescription_memoryItem,エピソード進行条件<br><br>探索で<red>エピソード進行アイテム</red>を{1}つ見つけることでエピソードが進行します。<br>（見つけても、途中でGameOverになった場合、空腹で探索を中断した場合は見つけた扱いになりません）<br><br>エピソード進行アイテム&lt;{0}&gt; : {2},<PLEASE_TRANSLATE>
story_targetDescription_reboot,エピソード進行条件<br><br>今ここで、できることは何もありません。<br>一度、コンピュータから離れてみましょう。,<PLEASE_TRANSLATE>
story_targetDescription_notFound,エピソード進行条件<br><br>現在のエピソード進行条件を確認することができません。,<PLEASE_TRANSLATE>
story_targetDescription_questTimeLimit,キャンプ地<br><br><red>{0}回</red>探索するまでに、次のキャンプ地を見つけてください。<br>見つけられない場合、周囲の探索地から物資が見つかりにくくなったり、感染者が集まってくるようになります。,<PLEASE_TRANSLATE>
story_outline_nextDestination,<br><br>{1}まで、あと{0}件。,<PLEASE_TRANSLATE>
story_scenario_advance,次の物語を進める,<PLEASE_TRANSLATE>
story_confirm_advance_memoryItem,エピソード進行アイテム「<red>{0}</red>」を1つ消費して、次の物語に進みます。<br>よろしいですか？,<PLEASE_TRANSLATE>
story_confirm_advance_other,<red>エピソード進行条件</red>を満たしています。<br>次の物語に進みます。よろしいですか？,<PLEASE_TRANSLATE>
story_confirm_advance_storyMode,<red>STORY</red>モードに設定されているため、<br>エピソード進行条件をスキップして次の物語に進みます。<br>よろしいですか？,<PLEASE_TRANSLATE>
story_confirm_replay,もう一度、この物語を読みますか？<br>（この物語はすでに完結しています）,<PLEASE_TRANSLATE>
story_other_invalid,<br>条件を満たしていないため、この物語を<red>進めることができません</red>。<br>他の物語を進める必要があります。,<PLEASE_TRANSLATE>
story_other_continue,<br>この物語は<red>完結</red>しました。<br>他の物語を進めることができます。,<PLEASE_TRANSLATE>
story_confirm_deleteWorld,すべてのデータを削除します。<br><br>よろしいですか？<br>,<PLEASE_TRANSLATE>
story_confirm_deleteWorld_caution,<br>本当に削除しますか？<br>,<PLEASE_TRANSLATE>
story_skip_condition,スキップ,<PLEASE_TRANSLATE>
story_skip_condition_confirm,<br>「<red>{0}</red>」を消費して、エピソード進行条件を<red>スキップ</red>します。<br>よろしいですか？,<PLEASE_TRANSLATE>
story_skip_condition_craft,<br>「<red>{0}</red>」をクラフトすることで、エピソード進行条件を<red>スキップ</red>できます。<br>クラフトしますか？,<PLEASE_TRANSLATE>
-,,
exproler_path,Disc:&nbsp;/&nbsp;,Disc:&nbsp;/&nbsp;
exproler_completed,&nbsp;End.,&nbsp;End.
exproler_playNewFile,新しいデータを再生,<PLEASE_TRANSLATE>
exproler_playComplete,progress : {0},progress : {0}
exproler_playFailed,failed,failed
exproler_locationdDscription,{0} について&nbsp;&nbsp;<br>（詳細を見る）&nbsp;&nbsp;,<PLEASE_TRANSLATE>
exproler_endlressCharacterEpisode,完結したキャラクターエピソード : {0}/{1},<PLEASE_TRANSLATE>
exproler_endlressCollection,手に入れた蒐集品 : {0}/{1},<PLEASE_TRANSLATE>
exproler_endlressItem,手に入れたアイテム : {0}/{1},<PLEASE_TRANSLATE>
-,,
house_unknown,？？？？,<PLEASE_TRANSLATE>
house_unknownDescription,<br>？？？？<br><br>（素材を1つ以上所持していると開放されます）,<PLEASE_TRANSLATE>
house_noRecipeDescription,<br>？？？？<br><br>（レシピ/設計図を手に入れると開放されます）,<PLEASE_TRANSLATE>
house_description,詳細,<PLEASE_TRANSLATE>
house_remove,捨てる,<PLEASE_TRANSLATE>
house_craft,クラフト,<PLEASE_TRANSLATE>
house_craftTarget,クラフト先,<PLEASE_TRANSLATE>
house_recipe,レシピ,<PLEASE_TRANSLATE>
house_materialCount,（所持数 : {0}）,<PLEASE_TRANSLATE>
house_pushItem,{0}へ,<PLEASE_TRANSLATE>
house_pushItemMultiple,{0}へ（x{1}）,<PLEASE_TRANSLATE>
house_popItem,しまう,<PLEASE_TRANSLATE>
house_popItemMultiple,しまう（x{1}）,<PLEASE_TRANSLATE>
house_equip,装備,<PLEASE_TRANSLATE>
house_unequip,はずす,<PLEASE_TRANSLATE>
house_none,なし,<PLEASE_TRANSLATE>
house_open,開ける,<PLEASE_TRANSLATE>
house_use,使う,<PLEASE_TRANSLATE>
house_scenario,エピソードへ,<PLEASE_TRANSLATE>
house_mission,届ける,<PLEASE_TRANSLATE>
house_departure,出発する,<PLEASE_TRANSLATE>
house_fullWarning,収納棚がいっぱいです。<br>不要な道具を捨ててください。,<PLEASE_TRANSLATE>
house_removeWarning,<red>{0}</red>&nbsp;を捨てます。<br>よろしいですか？,<PLEASE_TRANSLATE>
house_confirmRemoveCount,<red>{0}</red>&nbsp;をいくつ捨てますか？,<PLEASE_TRANSLATE>
house_confirmCraftCount,<red>{0}</red>&nbsp;をいくつクラフトしますか？,<PLEASE_TRANSLATE>
house_selectCraftMaterial,クラフトに使用する材料を選んでください。,<PLEASE_TRANSLATE>
house_recycle,エピソード完結<br><br>完結したエピソードの<red>エピソード進行アイテム</red>を&nbsp;<red>{0}</red>&nbsp;に変換しました。,<PLEASE_TRANSLATE>
house_unuseable,<br><br>条件を満たしていないため、使うことができません。,<PLEASE_TRANSLATE>
-,,
vital_0,快調,<PLEASE_TRANSLATE>
vital_1,軽傷,<PLEASE_TRANSLATE>
vital_2,負傷,<PLEASE_TRANSLATE>
vital_3,重症,<PLEASE_TRANSLATE>
vital_4,命の危険,<PLEASE_TRANSLATE>
vital_5,瀕死,<PLEASE_TRANSLATE>
vitalDescription,<br><br>（「瀕死」になるとGameOver。装備品以外の荷物を失う）<br>（快調 > 軽傷 > 負傷 > 重症 > 命の危険 > 瀕死）,<PLEASE_TRANSLATE>
vitalDescription_0,快調<br>体力 : {0}/{1}　全然へっちゃら。無傷。,<PLEASE_TRANSLATE>
vitalDescription_1,軽傷<br>体力 : {0}/{1}　軽い傷を負っている。,<PLEASE_TRANSLATE>
