id,_message<jpn>,message<eng>,_button<jpn>,button<eng>
story00,物語を進める<br><br>探索中に<red>エピソード進行条件</red>を満たすと、探索直後にエピソードが発生します。<br><br>また、すでにエピソード進行条件を満たしていれば、「物語」画面の右下のボタンから<red>物語を進める</red>ことができます。<br>現在のエピソード進行条件も、同じく「物語」画面の右下で確認できます。,"Advance the Story<br><br>When you meet an <red>Episode Progression Requirement</red> while exploring, an episode will become available immediately after the exploration ends.<br><br>If you have already met an Episode Progression Requirement, you can also <red>Advance the Story</red> using the button in the bottom-right corner of the <q>Story</q> screen.<br>You can check your current Episode Progression Requirements in the same place, in the bottom-right corner of the <q>Story</q> screen.",とじる,Close
-,,,,
house00,「収納棚」について<br><br>探索で見つけた荷物を、<red>収納棚</red>にしまっておくことができます。<br>探索で荷物として所持できる道具の数には限りがあるため、収納棚にしまっておくと安心です。,"About the <q>Storage Shelf</q><br><br>You can store supplies you find while exploring on the <red>Storage Shelf</red>.<br>There is a limit to the number of items you can carry as supplies during exploration, so storing them on the Storage Shelf is a good idea.",次へ,Next
house01,「クラフト」について<br><br>探索で集めた道具、食材を使って、新たな道具や料理を<red>クラフト</red>することができます。<br>クラフトのレシピの一覧は、「クラフト」ボタンから確認できます。,About <q>Crafting</q><br><br>You can use tools and ingredients gathered while exploring to <red>craft</red> new tools and dishes.<br>You can view the list of crafting recipes using the <q>Crafting</q> button.,とじる,Close
-,,,,
exproler00,「再生」について<br><br><red>エピソード</red>を選択し、<red>探索</red>に向かうことができます。<br>探索の先で、<red>エピソード進行条件</red>を満たすことでエピソードが発生します。,"About <q>Explorer</q><br><br>Select an <red>Episode</red> and set out on an <red>Exploration</red>.<br>By meeting an <red>Episode Progression Requirement</red> during an exploration, an episode will become available.",次へ,Next
exproler01,探索地について<br><br>一度訪れたことのある探索地は、<red>出発地</red>として登録され、その場所から探索を始められるようになります。<br>（ただし、一部出発地として登録されない探索地もあります）,"About Exploration Locations<br><br>Once you have visited an exploration location, it will be registered as a <red>Starting Point</red>, allowing you to begin explorations from that location.<br>(Some exploration locations cannot be registered as Starting Points.)",とじる,Close
-,,,,
endless00,夏の彼方<br><br>エンディング後コンテンツ「<red>夏の彼方</red>」が開放されました。<br>物語が終わっても、彼女たちの世界はこのコンピュータの中で続いていきます。<br>夏の旅路を、いつまでもともに続けることができます。,"Beyond the Summer<br><br>The post-ending content, <q><red>Beyond the Summer</red></q>, has been unlocked.<br>Even after the story ends, their world continues inside this computer.<br>You can continue traveling with them along their summer journey, forever.",次へ,Next
endless01,未開放要素<br><br>「夏の彼方」では、<red>本編で未開放のエピソード</red>を見たり、<br><red>エンディング後コンテンツ専用</red>のアイテムやエピソードを収集することができます。,"Previously Unlocked Content<br><br>In <q>Beyond the Summer</q>, you can view <red>episodes that were not unlocked in the main story</red>,<br>as well as collect <red>items and episodes exclusive to the post-ending content</red>.",次へ,Next
endless02,キャンプ地<br><br>「夏の彼方」では、探索していると「<red>キャンプ地</red>」にたどり着くことがあります。<br>キャンプ地では、<red>ミニエピソード</red>を見ることができる「<red>蒐集品</red>」など、珍しい道具が見つかることがあります。<br>キャンプ地を巡りながら、どこまでも旅は続いていきます。,"Camp Sites<br><br>While exploring in <q>Beyond the Summer</q>, you may come across a <red>Camp Site</red>.<br>At Camp Sites, you may find rare items such as <red>Collections</red> that let you watch <red>mini-episodes</red>.<br>As you travel from Camp Site to Camp Site, the journey continues without end.",次へ,Next
endless03,日めくり報酬<br><br>エンディング後、1日に1度「<red>日めくり報酬</red>」が配布されます。<br>「日めくり報酬」では、毎日ランダムなアイテムを1つ受け取ることができます。<br>（「日めくり報酬」でのみ入手可能な要素はありません）,"Daily Rewards<br><br>After the ending, you will receive a <red>Daily Reward</red> once per day.<br>With a Daily Reward, you can receive one random item each day.<br>(There are no items or other content that can only be obtained through Daily Rewards.)",とじる,Close
-,,,,
