id,name<jpn>,type,context,area,level,ratio,hp,stamina,speed,atk,def,distance,attackTypes[],sound,defeatedEventRatio,defeatedSpeak,defeatedEvent,fg,fgType,fgPosition
enemy00,Infected in a suit,default,enemy,-,1,0.3,15,0,1,25,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetMaterial00,-,-,-
enemy01,One-armed infected,default,enemy,-,1,0.3,20,0,1,25,0,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetAmmo00,-,-,-
enemy02,Infected with rolled-back eyes,default,enemy,-,1,0.3,15,0,2,15,2,1,EnemyAttack/EnemyAttackWait,enemy00,0.5,itemDropEnemy,itemGetFood00,-,-,-
enemy03,Burned infected,default,enemy,-,5,0.3,20,0,1,30,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy04,Hunched-over infected,default,enemy,-,5,0.3,25,0,2,20,0,1,EnemyAttack,enemy00,0,-,-,-,-,-
enemy05,Old infected,default,enemy,-,5,0.3,30,0,1,15,0,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
enemy06,Huge infected,default,enemy,-,10,0.4,35,0,1,20,3,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGet00,-,-,-
enemy07,Infected with a crowbar,default,enemy,-,10,0.4,35,0,1,25,0,1,EnemyAttack,enemy00,0.8,itemDropEnemy,itemGetIdHammer03,-,-,-
enemy08,Infected with a swollen arm,default,enemy,-,15,0.4,40,0,1,30,1,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
enemy09,Infected with a pipe in his shoulder ,default,enemy,-,18,0.4,45,0,2,10,0,1,EnemyAttack,enemy00,0.5,itemDropEnemy,itemGetIdHammer02,-,-,-
enemy10,Infected covered with vines,default,enemy,-,20,0.4,50,0,1,15,0,1,EnemyAttack/EnemyAttackWait/EnemyAttackSmashCharge,enemy00,0,-,-,-,-,-
enemy11,Infected with grown-out hard claws,default,enemy,-,25,0.5,60,0,2,10,0,1,EnemyAttack/EnemyAttackWait,enemy00,0,-,-,-,-,-
