id,_natsuno<jpn>,natsuno<eng>,_kiko<jpn>,kiko<eng>,_shino<jpn>,shino<eng>,_akane<jpn>,akane<eng>,_minamo<jpn>,minamo<eng>,_itsuka<jpn>,itsuka<eng>,_hinase<jpn>,hinase<eng>,_meguru<jpn>,meguru<eng>
talk00,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
timeElapsed00,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................,......<br>............<br>........................
ok00,おっけー,Okay.,はい！,<PLEASE_TRANSLATE>,りょーかい！,<PLEASE_TRANSLATE>,おっけーい,<PLEASE_TRANSLATE>,ん。おっけ,<PLEASE_TRANSLATE>,......わかった,<PLEASE_TRANSLATE>,わかりました！,<PLEASE_TRANSLATE>,お、おっけーっす,<PLEASE_TRANSLATE>
ok01,ん。おっけ,Mm. Okay.,はい......,<PLEASE_TRANSLATE>,あいよ！,<PLEASE_TRANSLATE>,りょーかい,<PLEASE_TRANSLATE>,りょーかい,<PLEASE_TRANSLATE>,了解,<PLEASE_TRANSLATE>,ええ。わかった,<PLEASE_TRANSLATE>,お、おっけー......,<PLEASE_TRANSLATE>
ok02,わかった,Got it.,わかりました！,<PLEASE_TRANSLATE>,わかった！,<PLEASE_TRANSLATE>,んー。わかったー,<PLEASE_TRANSLATE>,わかった......,<PLEASE_TRANSLATE>,うん。わかった,<PLEASE_TRANSLATE>,はい,<PLEASE_TRANSLATE>,わかりました！,<PLEASE_TRANSLATE>
find_move00,{0}を見つけた。行ってみるね......,I found {0}. I'll go check it out......,{0}があります......。そっち行きますね......,<PLEASE_TRANSLATE>,{0}を見つけたよ！　行ってみる！,<PLEASE_TRANSLATE>,{0}があるね。そっち行こーっと,<PLEASE_TRANSLATE>,{0}があるね。そっち行こうっと,<PLEASE_TRANSLATE>,{0}を見つけた。行ってみる,<PLEASE_TRANSLATE>,{0}を見つけました。行ってみましょう,<PLEASE_TRANSLATE>,{0}見っけた！　行ってみよー,<PLEASE_TRANSLATE>
find_move01,{0}があるね。そっち行ってみる......,There's {0} over there. I'll go check it out......,{0}、見つけました......怖いけど、行ってみます......,<PLEASE_TRANSLATE>,{0}、見つけた。行ってみよ～,<PLEASE_TRANSLATE>,{0}、みーっけ。行ってみるー,<PLEASE_TRANSLATE>,{0}、見つけた。行ってみるよ,<PLEASE_TRANSLATE>,{0}がある......。そっち行ってみる,<PLEASE_TRANSLATE>,{0}がありますね。そっちに......,<PLEASE_TRANSLATE>,{0}があるっす......そっち行ってみる......,<PLEASE_TRANSLATE>
find_move02,{0}、だね。行ってみよ,{0}， huh. Let's go check it out.,{0}がありますね......。行ってみます......,<PLEASE_TRANSLATE>,{0}、だね、そっち行ってみる！,<PLEASE_TRANSLATE>,{0}、見つけた。何があるかなー,<PLEASE_TRANSLATE>,{0}、発見。なんかあるといいな......,<PLEASE_TRANSLATE>,{0}、だ。行ってみる,<PLEASE_TRANSLATE>,{0}、ですね。行ってみましょうか,<PLEASE_TRANSLATE>,{0}、っすね。行ってみます......,<PLEASE_TRANSLATE>
pre_move00,{0}の方に行ってみる......,I'll head toward {0}......,{0}の方、行ってみます......,<PLEASE_TRANSLATE>,{0}に向かうね！,<PLEASE_TRANSLATE>,{0}の方、行ってみるー,<PLEASE_TRANSLATE>,{0}の方、いくよ,<PLEASE_TRANSLATE>,{0}の方、行ってみる,<PLEASE_TRANSLATE>,{0}の方に行ってみます......,<PLEASE_TRANSLATE>,{0}の方、行ってみよ,<PLEASE_TRANSLATE>
pre_move01,{0}に向かうよ......,I'm heading toward {0}......,{0}に、向かいます......,<PLEASE_TRANSLATE>,{0}だね。行く！,<PLEASE_TRANSLATE>,{0}、かー。行ってみる,<PLEASE_TRANSLATE>,{0}......行こうか,<PLEASE_TRANSLATE>,{0}に向かうよ,<PLEASE_TRANSLATE>,{0}に向かいます......,<PLEASE_TRANSLATE>,{0}に向かうっす......,<PLEASE_TRANSLATE>
pre_move02,{0}の方、行こっか,Let's head toward {0}.,{0}、ですね......行きます......,<PLEASE_TRANSLATE>,{0}の方、行くよ,<PLEASE_TRANSLATE>,{0}の方、向かうよー,<PLEASE_TRANSLATE>,{0}、ね。よし、いく,<PLEASE_TRANSLATE>,{0}の方、行こう,<PLEASE_TRANSLATE>,{0}の方、行きましょう,<PLEASE_TRANSLATE>,{0}に行ってみよ,<PLEASE_TRANSLATE>
pre_moveFollowRequest00,ね、いこ,Hey， let's go.,あの......行きましょう......？,<PLEASE_TRANSLATE>,ほら、いこ！,<PLEASE_TRANSLATE>,いくよー？,<PLEASE_TRANSLATE>,ね。いこうよ,<PLEASE_TRANSLATE>,ねぇ。行こうか,<PLEASE_TRANSLATE>,ねぇ。行きましょうよ？,<PLEASE_TRANSLATE>,あ、あの......行ってもいいっすか......？,<PLEASE_TRANSLATE>
pre_moveFollowRequest01,ほら、いこ？,Come on， let's go?,......い、行きません？,<PLEASE_TRANSLATE>,ねー、行こうよー,<PLEASE_TRANSLATE>,ねー、いこー？,<PLEASE_TRANSLATE>,......行ってもいい？,<PLEASE_TRANSLATE>,ほら、早く行こう,<PLEASE_TRANSLATE>,ねぇ、ほら、行きません？,<PLEASE_TRANSLATE>,ほらほら、いこいこ！,<PLEASE_TRANSLATE>
pre_moveFollowRequest02,......行かない？,......Aren't we going?,い、行ってもいいですか......？,<PLEASE_TRANSLATE>,待ってるよー？,<PLEASE_TRANSLATE>,ほらほら、いこうよー,<PLEASE_TRANSLATE>,ねぇ.......。行かん？,<PLEASE_TRANSLATE>,......行こうか,<PLEASE_TRANSLATE>,......行きませんか？,<PLEASE_TRANSLATE>,......行かない......っすか？,<PLEASE_TRANSLATE>
moveFollow00,おっけ。いこ,Okay. Let's go.,はい！　いま行きます......！,<PLEASE_TRANSLATE>,おっけーい。そっち行くね,<PLEASE_TRANSLATE>,あいあい。いこ,<PLEASE_TRANSLATE>,あいよ。いくいく,<PLEASE_TRANSLATE>,わかった。行く,<PLEASE_TRANSLATE>,はい！　行きましょう,<PLEASE_TRANSLATE>,おっけーい,<PLEASE_TRANSLATE>
moveFollow01,わかった......今いく,Got it...... I'm coming.,あ、はい！　いきます,<PLEASE_TRANSLATE>,お、いいね。いくよ,<PLEASE_TRANSLATE>,んー？　おっけーい,<PLEASE_TRANSLATE>,んー......。おっけ、いく,<PLEASE_TRANSLATE>,......行くよ,<PLEASE_TRANSLATE>,わかりました。行きますね,<PLEASE_TRANSLATE>,あ、はい！　行きます！,<PLEASE_TRANSLATE>
moveFollow02,ちょっと待って......<br>よし、行く,Wait a sec......<br>Okay， let's go.,ちょっとだけ待ってください......<br>......よし、行きます！,<PLEASE_TRANSLATE>,ちょっと待ってね......<br>......よし、いく！,<PLEASE_TRANSLATE>,ちょい待ち......<br>うん、おっけ。いこ,<PLEASE_TRANSLATE>,ちょい待ってよ......<br>おけい。いくー,<PLEASE_TRANSLATE>,ちょっと待ってほしい......<br>よし。行こう,<PLEASE_TRANSLATE>,もう少しだけ......<br>......はい、もう大丈夫。行きます,<PLEASE_TRANSLATE>,あとちょっとだけ......はい！　行くっす！,<PLEASE_TRANSLATE>
move00,<button>{0}</button>に来たよ,We are in <button>{0}</button>.,<button>{0}</button>に来ました......,<PLEASE_TRANSLATE>,<button>{0}</button>に来たよ。さて......,<PLEASE_TRANSLATE>,<button>{0}</button>みたいだねー,<PLEASE_TRANSLATE>,<button>{0}</button>かな,<PLEASE_TRANSLATE>,<button>{0}</button>に来た,<PLEASE_TRANSLATE>,<button>{0}</button>に来ました,<PLEASE_TRANSLATE>,<button>{0}</button>、きたー,<PLEASE_TRANSLATE>
move01,<button>{0}</button>だね。あたりを調べてみる......,So this is <button>{0}</button>. I'll look around......,<button>{0}</button>ですね。何かあるかな......,<PLEASE_TRANSLATE>,<button>{0}</button>だね。何かあるかな～,<PLEASE_TRANSLATE>,<button>{0}</button>だよ。ふーむ？,<PLEASE_TRANSLATE>,<button>{0}</button>だね。さてはて......,<PLEASE_TRANSLATE>,<button>{0}</button>だ。あたりを調べてみる,<PLEASE_TRANSLATE>,<button>{0}</button>ですね。その辺りを調べてみます......,<PLEASE_TRANSLATE>,<button>{0}</button>っすね。あたりを調べよう......,<PLEASE_TRANSLATE>
move02,<button>{0}</button>、到着。さて、何かあるかな,<button>{0}</button>， here we are. Well， I wonder if there's anything here......,<button>{0}</button>来ました。えーっと......,<PLEASE_TRANSLATE>,あい、<button>{0}</button>に来たよ。ふーむ......,<PLEASE_TRANSLATE>,<button>{0}</button>、来たよ。何かあるかなーっと,<PLEASE_TRANSLATE>,<button>{0}</button>、到着。なんかあるかねー,<PLEASE_TRANSLATE>,<button>{0}</button>に到着。何かあるといいけど......,<PLEASE_TRANSLATE>,<button>{0}</button>、到着です。さて、何かありますかね,<PLEASE_TRANSLATE>,<button>{0}</button>にやって来たよ！　さて、めぼしいものは......,<PLEASE_TRANSLATE>
move_locked00,鍵がかかってて開かない......,It's locked. I can't open it......,鍵がかかってて開かないです......,<PLEASE_TRANSLATE>,ありゃ、鍵かかってる......。残念,<PLEASE_TRANSLATE>,鍵がかかってるっぽい。開けられないねー、こりゃ,<PLEASE_TRANSLATE>,これ......鍵かかっとるね。これは......開けらんない,<PLEASE_TRANSLATE>,......鍵がかかってて開かない,<PLEASE_TRANSLATE>,あら......鍵がかかってるみたいですね。開きません......,<PLEASE_TRANSLATE>,か、鍵がかかってて開かないっす......,<PLEASE_TRANSLATE>
move_unlock00,{0}で鍵をこじ開けた。やったね......,I forced it open with {0}. Nice......,{0}で鍵をこじ開けました！,<PLEASE_TRANSLATE>,{0}で鍵を開けたよ！　よしよし,<PLEASE_TRANSLATE>,{0}で鍵を開けたよ。無理やりだけど、ま、しょーがないよね,<PLEASE_TRANSLATE>,{0}で、鍵、開けたよ。おけおけ,<PLEASE_TRANSLATE>,{0}で鍵をこじ開けた。よし......,<PLEASE_TRANSLATE>,{0}で鍵をこじ開けました！　よーし......,<PLEASE_TRANSLATE>,{0}で鍵をこじ開けた！　やればできる子！,<PLEASE_TRANSLATE>
move_failed00,え......今、そこ、いるよ......？,Huh...... I'm right here， aren't I......?,え......？　今、そこにいますよ......？,<PLEASE_TRANSLATE>,え？　今、そこだけど？,<PLEASE_TRANSLATE>,えー？　今、そこにいるよー？,<PLEASE_TRANSLATE>,.......え？　今、そこ、おるよ？,<PLEASE_TRANSLATE>,......？　今、そこにいるんだけど......,<PLEASE_TRANSLATE>,えーと......？　今、私、そこにいますよ？,<PLEASE_TRANSLATE>,え......い、今、そこ、いるっすけど......？,<PLEASE_TRANSLATE>
