id,type,arg0,fgType,natsuno<jpn>,kiko<jpn>,shino<jpn>,akane<jpn>,minamo<jpn>,itsuka<jpn>,hinase<jpn>,meguru<jpn>
accident-damage00,accident,damage,default,Whoa...!<br>The rubble's coming down...<br>Ow...,Ah!<br>The rubble......<br>Oww......,Whoa!<br>The rubble's coming down!<br>Damn...... That was clumsy of me......,わっ！<br>瓦礫が......！<br>不注意だった......負傷しちゃった......,おっと......！<br>がれきが崩れてきた......<br>いって......,うわっ......！<br>がれきが崩れてきた......<br>痛むな......,わぁ......！<br>がれきが崩れてきました......<br>いてて......,ぐあああ......！<br>がれきが崩れてきた......！<br>いたい！　しんどい！　むり！
accident-damage01,accident,damage,default,Ow...!<br>I cut my foot on some broken glass...<br>That hurts...,Ow......!<br>I cut my foot on some broken glass......<br>Owww......,Ah!<br>Cut my foot on some broken glass......<br>Geez...... That hurts,いって......！<br>ガラスの破片で足切っちゃった......<br>いてて......,いっ......！<br>ガラスの破片で足切っちゃった......<br>いて......,うわっ......！<br>ガラスの破片で足がちょっと切れた......<br>痛むな......,わぁ......！<br>ガラスの破片で足切っちゃいしました......<br>少し痛みますね......,ああああ......！<br>ガラスの破片で足切っちゃった......<br>死ぬかも......死ぬんだ......
accident-lostItem00,accident,lostItem,default,Whoa!<br>The floor gave out...<br>I dropped {0}...<br>Hmm... I don't think I can reach it...,Ah......!<br>The floor gave way......<br>......I dropped {0}...... I'm sorry......,Oops!<br>The floor gave way<br>I'm okay but I dropped {0}...... Doesn't look like I can get it back......,っと......<br>床が抜けた......<br>あちゃー......{0}、落としちゃった......,おっ......<br>急に、床、抜けた......<br>{0}、落とした......あー......これはもう取れんな......,うわっ<br>床が抜けた......<br>{0}、落とした......<br>これは......もう拾えないな......,わっ......！<br>床が抜けてしまいました......<br>ああ、{0}、落としてしまって......<br>これは......もう拾えそうにありませんね......,わあああ<br>床が抜けた......<br>{0}、落としちゃった......<br>う、うちが落ちなくてよかった......
accident-lostItem01,accident,lostItem,default,Whoa!<br>That scared me... Just a rat...<br>Ahh!... It ran off with {0}...,Ah!<br>A rat......!<br>It ran off with {0}......,Oops!<br>A rat......<br>It got me......<br>It ran off with {0}......,わっ......<br>......ネズミかー......<br>{0}、もって逃げちゃった。あーあ,わっ......<br>びっくりした......ネズミだ......<br>あー......{0}、持ってかれた......,うわっ<br>びっくりした......ネズミか<br>あー......{0}、持っていかれた......,まぁ......！<br>びっくり......ネズミですか......<br>あら......{0}、持っていかれてしまいました......。大事にしてくださいねー,うわあああああ<br>ネズミ！　かわいくない！　こわい！<br>......あー。{0}、持っていかれた......萎える......
accident-explode00,accident,explode,default,Whoa!<br>Something just exploded!<br>Ow...<br>I wonder if there was a trap...,Ah......!<br>Something exploded!<br>Ow......<br>Was that...... a trap......?,Ah......!<br>Something exploded......!<br>Ow......<br>Damn...... Was that a trap......?,おおっ......！<br>なんか爆発したー！<br>いったーい......<br>感染者用の罠だったのかなー......,わっ......<br>なんか爆発した......！<br>いって......<br>誰か、罠でも仕掛けとったんかな......,うわっ<br>何かが爆発した......<br>痛い......<br>......罠だったのかもしれない......,わっ<br>何か爆発しました......<br>いてて......<br>......罠、だったんですかね......,うわあああああ<br>なんか爆発した！<br>いたい！　しぬ！<br>こんなところに罠仕掛けたのだれ！
accident-broken00,accident,broken,default,Whoa...!<br>It broke...<br>Ow， ow...,Ahh<br>It broke......<br>It hurts......,Ah!<br>It broke......!<br>Oww...... I think I twisted something......,おっと......！<br>壊れちゃった......<br>あー......怪我しちゃったね......,おっと......！<br>壊れちゃった......<br>いって......,わっ......！<br>壊れた......<br>痛い......,わっ......！<br>壊れてしまいました......<br>いてて......,わっ......！<br>壊れちゃった......<br>いたい......萎える......
greeting-A00,greeting,A,default,How's it going over there?,How's it going......?,Yo! How's it going?,どんな調子？,そっちどんなもん？,そっちはどう？,そちらはいかがです？,そっちどうっすか！
greeting-A01,greeting,A,default,How's it looking?,H-how's it looking......?,How's it looking? Pretty good?,ど？　何かあった？,どう？　どんな感じ？,どんな感じ？,どうでしょう？　どんな感じです？,ど、どんな感じ？
greeting-A02,greeting,A,default,Anything there?,Does it look like there might be something......?,Think there might be something there?,なんかありそ？,何かあるー？,何かあった？,何かありました？,何かありそうっすか......？
greeting-B00,greeting,B,default,Pretty okay， I guess.,Hmm...... yes yes......,Never better!,それなり、かな,まぁまぁ......かね,まぁまぁ......かな,まぁまぁですー,ま、まぁまぁっすかね......
