id,_natsuno<jpn>,natsuno<eng>,_kiko<jpn>,kiko<eng>,_shino<jpn>,shino<eng>,_akane<jpn>,akane<eng>,_minamo<jpn>,minamo<eng>,_itsuka<jpn>,itsuka<eng>,_hinase<jpn>,hinase<eng>,_meguru<jpn>,meguru<eng>
location00,どっち行こっかな......,Which way should I go...?,あっちに何かあるかな......,<PLEASE_TRANSLATE>,こういうときは勘だけが頼り～,<PLEASE_TRANSLATE>,どっちに進もっかな......,<PLEASE_TRANSLATE>,どっち行くかね......,<PLEASE_TRANSLATE>,どっち行こうか,<PLEASE_TRANSLATE>,どちらに行きましょう......,<PLEASE_TRANSLATE>,どこ見よっかなー,<PLEASE_TRANSLATE>
location01,あっちの方が怪しそう......,That way looks more suspicious...,だ、誰もいないですよね......,<PLEASE_TRANSLATE>,ここも、荒れに荒れてるなぁ......,<PLEASE_TRANSLATE>,何かものが残っているといーなー,<PLEASE_TRANSLATE>,あっちの方が怪しそうかね,<PLEASE_TRANSLATE>,向こうの方......何かあるかな,<PLEASE_TRANSLATE>,あちら、何かありますかね......,<PLEASE_TRANSLATE>,珍しいものどーこだ！,<PLEASE_TRANSLATE>
location02,うわ......なんか柔らかいもの踏んじゃった......,Ughh… I just stepped on something soft...,ここ......すごい臭いがします......うぅ......,<PLEASE_TRANSLATE>,あたしの勘によると、あっちの方が怪しい！,<PLEASE_TRANSLATE>,ときどき急に冷静になって、なんでこんな空き巣まがいのこと......とか考えちゃう<br>ま、こうでもしないと生きていけないんだけどー,<PLEASE_TRANSLATE>,あー......きったない......<br>部分的に......,<PLEASE_TRANSLATE>,......こういう腐臭は<br>慣れないもんだね......,<PLEASE_TRANSLATE>,まぁ......臭いますね......仕方のないことですけど......,<PLEASE_TRANSLATE>,うえ......なんだこれ......汚い......きしょい......,<PLEASE_TRANSLATE>
location03,いい天気だな......あっつー......,It's nice out... So hot...,今日も暑いですね......,<PLEASE_TRANSLATE>,あー！　あっつーい！,<PLEASE_TRANSLATE>,暑いなー......,<PLEASE_TRANSLATE>,今日も暑いな......,<PLEASE_TRANSLATE>,今日も暑い......,<PLEASE_TRANSLATE>,今日も暑いですね......,<PLEASE_TRANSLATE>,暑い！　夏を満喫！,<PLEASE_TRANSLATE>
location-apartment00,ここに住んでいた人たち......どこに行っちゃったんだろ<br>......考えてもしょーがないっか,The people who used to live here... I wonder where they went.<br>...Guess there's no point thinking about it,だ、誰もいない......ですよね......？<br>うう......,<PLEASE_TRANSLATE>,おじゃましまーす！<br>うわ、きたな！,<PLEASE_TRANSLATE>,ずいぶん慌てて逃げ出したみたい<br>何か使えるものが残ってりゃいいけど......,<PLEASE_TRANSLATE>,ここも、誰もおらんか......<br>......あんなに人がいっぱいおったのが、もうなんか、変な感じしてくる,<PLEASE_TRANSLATE>,ここにも、人が住んでいたんだ......<br>たった、半年で......<br>......,<PLEASE_TRANSLATE>,どなたかいらっしゃいませんかー？<br>感染者さんに出てこられても困りますけど......,<PLEASE_TRANSLATE>,誰もいないなぁ......<br>いなくていいけど......,<PLEASE_TRANSLATE>
location-hut00,あー......ネズミとかいそう......やだな......,Ah... There might be rats around here... I don't like that...,ここならしばらく暮らせそう......<br>......けど夜に一人はやだな......,<PLEASE_TRANSLATE>,誰が使ってたんだろう、ここ......<br>猟師さんとかかな？,<PLEASE_TRANSLATE>,山小屋だね。けっこー古いけど......しっかり建ててある,<PLEASE_TRANSLATE>,ここにも、誰かおったんかねー......<br>こういうところで暮らしてみるのも、あり......？,<PLEASE_TRANSLATE>,ここはずいぶん古いな......,<PLEASE_TRANSLATE>,古い建物ですね......<br>きっと、たくさんの人に大事にされてきたんでしょう......,<PLEASE_TRANSLATE>,ひえ......ネズミとか出ない......よね......？,<PLEASE_TRANSLATE>
location-shop00,なにか残ってないかな......腐ってないもの......,I wonder if there's anything left... Something that hasn't gone bad...,ずいぶん荒らされちゃってますね......<br>しかたないかもだけど、でも......,<PLEASE_TRANSLATE>,これまた、何も残ってなさそうな感じだねー,<PLEASE_TRANSLATE>,暴動があったみたい。ガラスもほとんど割れちゃってるなー,<PLEASE_TRANSLATE>,なんか残っとるといいけどね......<br>なんか、なんかしら,<PLEASE_TRANSLATE>,もういろいろあさられたあとか......<br>それは、そうだよね......,<PLEASE_TRANSLATE>,残っているものが、何かあればいいんですが......,<PLEASE_TRANSLATE>,ごみじゃないもの、ごみじゃないもの......,<PLEASE_TRANSLATE>
location-office00,......わたし、こういうところで働くことってないんだなー......<br>.......別にいいけど,"......I guess I'll never get to work somewhere like this...<br>.......Well, it's fine.",難しい書類がたくさん......<br>紙が食べられたらなぁ......,<PLEASE_TRANSLATE>,紙も機械も、こんなにいっぱいあって、どんなお仕事してたんだろ<br>......読んでも絶対、わかんないけど,<PLEASE_TRANSLATE>,これは......税務の書類かな<br>今になってみると、何もかも滑稽だね......はは、笑っちゃう,<PLEASE_TRANSLATE>,うちも、こういうとこで働いてみたかったなー......<br>......や。うそかも,<PLEASE_TRANSLATE>,......何もかも、全部、ただの紙切れになっちゃったな<br>......,<PLEASE_TRANSLATE>,こういうところが荒らされていると、なんだか悲しくなってしまいますね,<PLEASE_TRANSLATE>,埃臭い！　けほけほ,<PLEASE_TRANSLATE>
location-palace00,でっかいお屋敷......<br>こんなに部屋があって、どうやって暮らしてたんだろ,"What a huge mansion...<br>With this many rooms, I wonder how they used to live here",すごいお屋敷......<br>きれいだったときに、来てみたかったな......,<PLEASE_TRANSLATE>,すっご！　どんな人が住んでたんだろ<br>メイドさんとかいたのかな～,<PLEASE_TRANSLATE>,ずいぶんと豪勢だなー......<br>今となっては、寂しいだけだけど,<PLEASE_TRANSLATE>,広いなー......<br>お屋敷！　って感じ。......あんま叫んだら怒られるかな,<PLEASE_TRANSLATE>,大きな屋敷......<br>それでも、同じように腐っていくんだ......,<PLEASE_TRANSLATE>,......少しだけ、実家を思い出します<br>今頃、どんな風になっているか......,<PLEASE_TRANSLATE>,なんか、懐かしい空気を感じるかも......,<PLEASE_TRANSLATE>
location-village00,誰もいないな......<br>動物くらいいてもよさそうなのに,There's nobody here...<br>You'd think there'd at least be some animals around,ここも、誰もいないんですね......<br>みんな、遠くに逃げちゃったのかな......,<PLEASE_TRANSLATE>,......この町も、もう誰もいないんだ......,<PLEASE_TRANSLATE>,この町も、ずいぶん前に捨てられたみたい<br>死体の数はそんな多くないから、住んでた人たちはどこかへ逃げたんだろーけど......,<PLEASE_TRANSLATE>,だーれも、おらん<br>......虫の声がよく聞こえるね,<PLEASE_TRANSLATE>,ここも、誰もいない......<br>静かだな......,<PLEASE_TRANSLATE>,誰もいないんでしょうか......<br>寂しいことですね......,<PLEASE_TRANSLATE>,誰もいませんように......,<PLEASE_TRANSLATE>
