id,location,rarity,name<jpn>,inputs[],events[]
switch00,-,-1,Strange switch,search/push/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
lever00,-,-1,Some kind of lever,search/pull/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
spring00,-,-1,A wind-up tin robot,search/turn/roll/break,itemNotFound00/itemGetDrop03/itemGetDrop03/accidentExplosion00
apartment_pinball00,apartment,-1,Old Pinball machine,search/play/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
hut_musicbox00,hut,-1,Large disc music box,search/turn/roll/break,itemNotFound00/itemGetDrop03/itemGetDrop03/accidentExplosion00
shop_valve00,shop,-1,A valve connected to a pipe,search/turn/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
office_console00,office,-1,Some kind of control panel,search/twist/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
palace_statue00,palace,-1,Statue with the twisted neck,search/turn/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
village_rope00,village,-1,Lumber tied with rope,search/cut/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
camp_chair00,camp,-1,A worn-out camping chair,search/sit/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
seaside_box00,seaside,-1,A wooden box that warped and won't open,search/burn/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
hotel_switch00,hotel,-1,Electrical Panel with a Broken Wire,search/connect/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
library_statue00,library,-1,Stone statue of a dog sticking out its tongue,search/pull/hit/break,itemNotFound00/itemGetDrop03/accidentExplosion00/accidentExplosion00
-,,,,,
