id,location,ratio,object<jpn>,text<jpn>
note_anywhere00,-,0.1,Note,To You， Who Has Returned. <br> I'm sorry. I'm truly sorry I couldn't wait for you. Even if I had died here， I would have waited for you. <br> But I couldn't. I'm sorry. <br> If you can forgive me... I'm sure we'll meet again someday.
note_anywhere01,-,0.1,Note,It's been three days since I barricaded myself in here. The food is almost gone.<br>What will I do when the water runs out? Three days ago， I could hear people's voices everywhere， but now I can barely hear anyone anymore.<br>What happened outside? I'm too scared to look. Someone──
note_anywhere02,-,0.1,Note,I encountered a monster for the first time.<br>It was standing at the end of an alley. Half of its face had rotted away， and the moment it noticed me， it growled and came toward me. Its right leg didn't seem to work properly， so I managed to get away.<br>It looked like something resembling a tree branch was growing out of its right leg...... Could I have imagined it?
note_apartment00,apartment,0.1,Wall,I wonder if everyone has already escaped this town.<br>It seems I'm going to die here. I can't move my legs. I ran into them on my way back.<br>They don't even eat people， so why do they attack us when they find us?<br>Even if I leave this message here， surely no one will ever see it......
note_hut00,hut,0.1,Wall,I don't know who you are， but I want to thank the owner of this hut. If I hadn't been able to rest here， I would have surely given up.<br>I'm leaving now. If you're someone who came here just like I did， don't give up. There must be hope.<br>I hope that somewhere， someday， we can regain our ordinary lives.
note_shop00,shop,0.1,Note,To the staff who find this.<br>Please go home immediately. The store will be closed for the time being.<br>The rumors going around seem to be true. Go home at once and make sure you stay safe.<br>I'm planning to leave here and take the train back to my parents' home as well. Please be careful.
note_shop01,shop,0.1,Note left for someone,There may be a hole in one of the pipes.<br>I've contacted a repair company， but given the situation， I don't know when they'll be able to come.<br>If you see a valve， please don't try to <button>Turn</button> it.
note_office00,office,0.1,Sticky note,Starting tomorrow， we'll be working from home until further notice.<br>Finish as much work as possible， and be sure to take your valuables home with you.<br>To be honest， it might be best to assume that we may never be able to come back here again.
note_palace00,palace,0.1,Corner of a painting,They're at the gate.<br>No one is coming back.<br>What do I do? What do I do? What do I do?
note_palace01,palace,0.1,Note,The item delivered today has a rather unusual appearance， so don't touch it without permission.<br>It seems to have some kind of mechanism that activates when you <button>Turn</button> its head， but we're still investigating.
note_village00,village,0.1,Wall around a house,An evacuation order has been issued. Please leave the town immediately.
note_camp00,camp,0.1,Note,It's been four days since I fled here. I've managed to secure enough food， and so far I haven't encountered any infected.<br>Maybe places that were sparsely populated to begin with really are safer. I've decided to stay here for a while.<br>I'm going to look around the area now， but there's no reason I shouldn't be able to make it back.
note_seaside00,seaside,0.1,Concrete wall,If you have any food， could you spare some for us?<br>We're camping further ahead. If you see this， please help us.<br>If I'm still alive， then
note_seaside01,seaside,0.1,Message left behind,I found a wooden crate that won't open.<br>There's nothing else I can do， so I'll try to <button>Burn</button> it later.<br>Maybe I'll be able to get what's inside， and even if I can't， at least I can use it to keep warm.
note_hotel00,hotel,0.1,Wall,Their eyes were clouded white， and their mouths hung open.<br>They couldn't speak and could only make groaning sounds. Apparently， the body decaying isn't caused by the virus.<br>The body has died， so it naturally decays. And yet it keeps moving. What on earth could be happening inside the body?
note_library00,library,0.1,Open book,I thought being able to read books forever would be like heaven， but I quickly realized it was hell.<br>There are few windows， so it's hot and stuffy. It's too quiet because the books absorb the sound.<br>If I stay here like this， I'll go crazy. I need to get out soon. But where do I go?
note_library01,library,0.1,Small sign,Pull the tongue downward and something good might happen!
