id,name<jpn>,type,stageCount,stageEventCount,eventRarity,enemyLevel,prioritizeItem,option,optionArgs[],startEvent,startEventArgs[],fixedStages[],image,sound,outside<jpn>,describe<jpn>
talk00,talk,talk,1,0,-1,-1,-,-,-,-,-,-,-,,-,
firstApartmen00,Empty apartment,firstApartmen00,2,1,1,1,-,-,-,-,-,-,location00,environment00,door leading outside,All the doors and glass windows stand wide open.<br>This rundown apartment hardly looks like a place where anyone could still be living
marble00,Somewhere empty,marble,2,0,0,0,-,-,-,,-,-,scenario24,scenario07,-,If I listen closely， I can faintly hear some kind of sound.<br>It sounds like nothing more than noise， but the longer I listen， the more it begins to sound strangely familiar
endApartmen00,Empty apartment,endApartmen00,2,1,1,1,-,LocationOptionNoBattle,-,-,-,-,location00,environment00,door leading outside,All the doors and glass windows stand wide open.<br>This rundown apartment hardly looks like a place where anyone could still be living
-,,,,,,,,,,,,,,,,
apartment00,Deserted apartment,apartment,2,1,5,3,food02,-,-,-,-,-,location00,environment00,door leading outside,All the doors and glass windows stand wide open.<br>This rundown apartment hardly looks like a place where anyone could still be living
apartment01,Ransacked apartment,apartment,2,1,10,10,food01,-,-,-,-,-,location28,environment00,door leading outside,All the doors and glass windows stand wide open.<br>This rundown apartment hardly looks like a place where anyone could still be living
apartment02,Fire-damaged apartment,apartment,2,2,15,15,food05,-,-,-,-,-,location06,environment00,door leading outside,All the doors and glass windows stand wide open.<br>This rundown apartment hardly looks like a place where anyone could still be living
-,,,,,,,,,,,,,,,,
hut00,Deserted hut,hut,2,1,5,3,ammo00,LocationOptionExitBroken,1,-,-,-,location01,environment01,door leading outside,What was this place originally used for?<br>The small， simply built hut must have been waiting for someone to visit for a very long time， unchanged all this while
hut01,Unused hut,hut,2,1,5,10,ammo00,LocationOptionExitBroken,1,-,-,-,location29,environment01,door leading outside,What was this place originally used for?<br>The small， simply built hut must have been waiting for someone to visit for a very long time， unchanged all this while
hut02,Hut with a chimney,hut,2,2,10,18,ammo01,LocationOptionExitBroken,1,-,-,-,location07,environment01,door leading outside,What was this place originally used for?<br>The small， simply built hut must have been waiting for someone to visit for a very long time， unchanged all this while
hut100,Hut with a fireplace,hut,2,1,10,12,ammo00,-,-,ConfirmEnemyBossEvent,encount/id/enemyBoss100,-,location53,environment01,door leading outside,What was this place originally used for?<br>The small， simply built hut must have been waiting for someone to visit for a very long time， unchanged all this while
-,,,,,,,,,,,,,,,,
shop00,Empty shop,shop,3,1,10,4,biscuit01,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location02,environment00,door leading outside,The glass is broken， the shelves are smashed， and all traces of its former liveliness are gone.<br>With the flow of goods long since stopped， the shop was as quiet as if time itself had stopped
shop01,Shop with its shutter down,shop,3,2,15,15,food03,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location30,environment00,door leading outside,The glass is broken， the shelves are smashed， and all traces of its former liveliness are gone.<br>With the flow of goods long since stopped， the shop was as quiet as if time itself had stopped
shop02,Ransacked retail store,shop,3,2,20,20,food04,LocationOptionAfterSearchEvent,0.8/-/itemGetFindBox00,-,-,-,location08,environment00,door leading outside,The glass is broken， the shelves are smashed， and all traces of its former liveliness are gone.<br>With the flow of goods long since stopped， the shop was as quiet as if time itself had stopped
-,,,,,,,,,,,,,,,,
office00,Small office,office,2,1,5,5,material01,-,-,InsertStageEventsEvent,0.3/enterEnemyHouse/exitEnemyHouse/battleForcibly00/2,-,location03,environment02,door leading outside,An office where I can't even imagine what kind of people once worked.<br>Even looking at it makes me shiver at the coldness of the concrete
office01,Building with broken windows,office,2,2,10,12,bell01,-,-,InsertStageEventsEvent,0.2/enterEnemyHouse/exitEnemyHouse/battleForcibly00/3,-,location31,environment02,door leading outside,An office where I can't even imagine what kind of people once worked.<br>Even looking at it makes me shiver at the coldness of the concrete
office02,Abandoned office building,office,2,2,15,16,material01,-,-,InsertStageEventsEvent,0.1/enterEnemyHouse/exitEnemyHouse/battleForcibly00/4,-,location09,environment02,door leading outside,An office where I can't even imagine what kind of people once worked.<br>Even looking at it makes me shiver at the coldness of the concrete
-,,,,,,,,,,,,,,,,
palace00,Decaying mansion,palace,3,1,10,12,gun00,LocationOptionAfterSearchEvent,0.3/-/itemGetFindGun00,-,-,-,location04,environment01,door leading outside,The decaying mansion looks all the more miserable for the splendor it must once have had.<br>Every creak of the floor brings an overwhelming sense of emptiness
palace01,Brick mansion,palace,3,2,15,18,gun01,LocationOptionAfterSearchEvent,0.3/-/itemGetFindGun00,-,-,-,location32,environment01,door leading outside,The decaying mansion looks all the more miserable for the splendor it must once have had.<br>Every creak of the floor brings an overwhelming sense of emptiness
palace02,Old-fashioned mansion,palace,3,2,20,25,gun01,LocationOptionAfterSearchEvent,0.3/-/itemGetFindGun00,-,-,-,location10,environment01,door leading outside,The decaying mansion looks all the more miserable for the splendor it must once have had.<br>Every creak of the floor brings an overwhelming sense of emptiness
-,,,,,,,,,,,,,,,,
village00,Abandoned mountain village,village,4,1,10,8,material04,-,-,-,-,-,location05,environment02,path leading outside,Though the town is not small， somehow it is immediately obvious that no one is here.<br>Only the wind， rain， and birds still come here as they always have
village01,Remains of a foggy village,village,4,2,14,15,material04,-,-,-,-,-,location33,environment02,path leading outside,Though the town is not small， somehow it is immediately obvious that no one is here.<br>Only the wind， rain， and birds still come here as they always have
village02,Abandoned village of roses,village,4,2,18,20,material00,-,-,-,-,-,location49,environment02,path leading outside,Though the town is not small， somehow it is immediately obvious that no one is here.<br>Only the wind， rain， and birds still come here as they always have
-,,,,,,,,,,,,,,,,
