id,type,describe,objectTypes[],objectTags[],prioritizeItemTag,bridgeCount,obstacleRatio,options[],overwriteSearchResults[],name<jpn>,bridge<jpn>
talk00,talk,,-,-,-,0,0,-,-,-,-
-,,,,,,,,,,,
minamo00,minamo00,-,-,-,-,1,0,-,-,Dojo,dojo
-,,,,,,,,,,,
firstApartmen00-00,firstApartmen00,room,furniture/electric,house,ammo,1,0,-,-,Small room,small room
firstApartmen00-01,firstApartmen00,corridor,shelf/storage,house,ammo,1,0,-,-,Hallway,hallway
firstApartmen00-02,firstApartmen00,kitchen,kitchenware/electric,kitchen,food,1,0,-,-,Kitchen,kitchen
-,,,,,,,,,,,
endApartmen00-00,endApartmen00,room,furniture/electric,house,ammo,1,0,-,-,Small room,small room
endApartmen00-01,endApartmen00,corridor,shelf/storage,house,ammo,1,0,-,-,Hallway,hallway
endApartmen00-02,endApartmen00,kitchen,kitchenware/electric,kitchen,food,1,0,-,-,Kitchen,kitchen
-,,,,,,,,,,,
marble00,marble,marble,strangeSound,marble,-,1,0,StageOptionIgnoreConfirm,-,Empty area,empty area
marble01,marble,marble,strangeSound,marble,-,1,0,StageOptionIgnoreConfirm,-,Empty area,empty area
marble02,marble,marble,strangeSound,marble,-,1,0,StageOptionIgnoreConfirm,-,Empty area,empty area
-,,,,,,,,,,,
apartment00,apartment,room,furniture/electric/security/instrument,house,food,2,0.02,-,-,Living room,living room
apartment01,apartment,room,furniture/toy,house,ammo,1,0.02,-,-,Child's room,child's room
apartment02,apartment,room,furniture/clothes/picture,house,ammo,1,0.02,-,-,Bedroom,bedroom
apartment03,apartment,room,room/shelf/document,house,ammo,1,0.02,-,-,Study,study
apartment04,apartment,corridor,storage/picture,house,ammo,2,0.02,-,-,Narrow hallway,narrow hallway
apartment05,apartment,corridor,storage/container,house,cookingTool,2,0.02,-,-,Outdoor hallway,outdoor hallway
apartment06,apartment,bath,bathware,house,ammo,1,0.02,-,-,Bathroom,bathroom
apartment07,apartment,kitchen,kitchenware/tableware/food,kitchen,food,2,0.02,-,-,Kitchen,kitchen
-,,,,,,,,,,,
hut00,hut,hutRoom,container/furniture/garbage,antique,cookingTool,2,0.05,-,-,Small room,small room
hut01,hut,hutRoom,room/garbage,antique,material,1,0.05,-,-,Attic,attic
hut02,hut,hutRoom,shelf/tools,antique,material,2,0.05,-,-,Workshop,workshop
hut03,hut,warehouse,shelf/storage,antique,cookingTool,1,0.05,-,-,Storage room,storage room
-,,,,,,,,,,,
shop01,shop,shop,shelf/storage/garbage,shop,food,2,0.02,-,-,Grocery section,grocery section
shop02,shop,shop,toy/container,shop,cookingTool,2,0.02,-,-,General goods section,general goods section
shop03,shop,shop,bookshelf/storage,shop,tool,2,0.02,-,-,Bookshelves,bookshelves
shop04,shop,warehouse,shelf/garbage/document,shop,food,1,0.02,-,-,Back room,back room
shop05,shop,staffRoom,furniture/electric,office,food,1,0.02,-,-,Staff room,staff room
shop06,shop,carryIn,storage/container,shop,tool,2,0.02,-,-,Loading entrance,loading entrance
-,,,,,,,,,,,
office00,office,staffRoom,furniture/storage,office,tool,1,0.02,-,-,Waiting room,waiting room
office01,office,staffRoom,storage/garbage/clothes,office,tool,1,0.02,-,-,Empty changing room,empty changing room
office02,office,office,furniture/shelf/officeSupply,office,tool,2,0.02,-,-,Office,office
office03,office,office,officeSupply/shelf/stationery,office,tool,2,0.02,-,-,Office,office
office04,office,office,document/officeSupply/security,office,tool,1,0.02,-,-,Records room,records room
office05,office,office,officeSupply/furniture/planter,office,tool,1,0.02,-,-,Meeting room,meeting room
office06,office,corridor,container/statue/planter,office,tool,2,0.02,-,-,Wide hallway,wide hallway
office08,office,corridor,container/picture,office,tool,2,0.02,-,-,Short hallway,short hallway
office07,office,warehouse,shelf/storage/security,office,tool,1,0.02,-,-,Warehouse,warehouse
office09,office,warehouse,tools/container,office,tool,1,0.02,-,-,Equipment storage,equipment storage
-,,,,,,,,,,,
palace00,palace,hall,light/picture/planter,luxury,gun,2,0.02,-,-,Large hall,large hall
palace01,palace,hall,statue/picture,luxury,gun,2,0.02,-,-,Dark hall,dark hall
palace02,palace,corridor,shelf/container,luxury,food,2,0.02,-,-,Long hallway,long hallway
palace03,palace,corridor,storage/statue,antique,food,1,0.02,-,-,Dimly lit passage,dimly lit passage
palace04,palace,room,furniture/instrument/bookshelf,luxury,gun,1,0.02,-,-,Study,study
palace05,palace,room,furniture/storage,luxury,gun,1,0.02,-,-,Bedroom,bedroom
palace06,palace,room,furniture/room,luxury,food,1,0.02,-,-,Reception room,reception room
palace07,palace,room,picture/tools/planter,luxury,gun,1,0.02,-,-,Atelier,atelier
palace08,palace,warehouse,storage/garbage,antique,food,1,0.02,-,-,Basement storage,basement storage
palace09,palace,kitchen,kitchenware/tableware/food,luxury,food,1,0.02,-,-,Kitchen,kitchen
-,,,,,,,,,,,
village00,village,square,vehicle/shopmachine/civil,city,material,3,0.02,-,-,Wide intersection,wide intersection
village01,village,square,vehicle/shopmachine/civil,city,material,2,0.02,-,-,Small crossroads,small crossroads
village02,village,square,vehicle/shopmachine,city,material,2,0.02,-,-,Plaza,plaza
village03,village,road,building/field/civil,city,material,1,0.02,-,-,Narrow alley,narrow alley
village04,village,road,building/civil,city,material,2,0.02,-,-,Main street,main street
village05,village,road,building/civil,city,material,1,0.02,-,-,Residential street,residential street
village06,village,garden,exterior/vehicle/planter,house,material,1,0.02,-,-,House garden,house garden
village07,village,garden,exterior/statue,luxury,material,1,0.02,-,-,Mansion front garden,mansion front garden
-,,,,,,,,,,,
camp00,camp,tent,container/clothes,camp,food,1,0.02,-,-,One-person tent,one-person tent
camp01,camp,tent,campware/garbage/tableware,camp,food,1,0.02,-,-,Large tent,large tent
camp02,camp,tent,light/garbage,camp,food,1,0.02,-,-,Collapsing tent,collapsing tent
camp03,camp,grassland,field/container/vehicle,camp,food,2,0.02,-,-,Grassy plaza,grassy plaza
camp04,camp,grassland,campware/container/field,camp,food,2,0.02,-,-,Grassy campsite,grassy campsite
camp05,camp,riverside,river/container,camp,food,2,0.02,-,-,Riverside,riverside
camp06,camp,riverside,river/nature,camp,food,2,0.02,-,-,Calm river,calm river
camp07,camp,warehouse,storage/shelf/security,camp,cookingTool,1,0.02,-,-,Storage shed,storage shed
camp08,camp,warehouse,garbage/container/tools,camp,cookingTool,1,0.02,-,-,Concrete warehouse,concrete warehouse
-,,,,,,,,,,,
seaside00,seaside,beach,sea/amusement,sea,cookingTool,2,0.02,-,-,Wide beach,wide beach
seaside01,seaside,beach,sea/clothes/garbage,sea,cookingTool,2,0.02,-,-,Beach with traces of people,beach with traces of people
seaside02,seaside,beach,sea/campware,sea,food,2,0.02,-,-,Beach campsite remains,beach campsite remains
seaside03,seaside,shore,sea/nature/amusement,sea,cookingTool,1,0.02,-,-,Water's edge,water's edge
seaside04,seaside,shore,sea/container,sea,food,1,0.02,-,-,Rocky shore battered by waves,rocky shore battered by waves
seaside05,seaside,tent,tableware/kitchenware,sea,food,1,0.02,-,-,Small tent,small tent
seaside06,seaside,tent,campware/electric,sea,food,1,0.02,-,-,Sturdy tent,sturdy tent
seaside07,seaside,warehouse,shelf/storage/tools,sea,food,1,0.02,-,-,Brick warehouse,brick warehouse
seaside08,seaside,warehouse,furniture/garbage,sea,food,1,0.02,-,-,Wooden shed,wooden shed
-,,,,,,,,,,,
hotel00,hotel,guestRoom,furniture/storage,inn,food,1,0.05,-,-,Single room,single room
hotel01,hotel,guestRoom,furniture/storage,inn,food,1,0.05,-,-,Twin room,twin room
hotel02,hotel,guestRoom,furniture/electric/container,inn,food,1,0.05,-,-,Family room,family room
hotel03,hotel,corridor,container/picture,inn,material,2,0.05,-,-,Narrow hallway,narrow hallway
hotel04,hotel,corridor,container/shelf/statue,luxury,material,2,0.05,-,-,Wide hallway,wide hallway
hotel05,hotel,bath,bathware/clothes,inn,material,1,0.05,-,-,Bathroom,bathroom
hotel06,hotel,bath,bathware/clothes,luxury,material,1,0.05,-,-,Luxurious bathroom,luxurious bathroom
hotel07,hotel,warehouse,storage/tools,inn,food,1,0.05,-,-,Storage room,storage room
