id,_message<jpn>,message<eng>,_button<jpn>,button<eng>
christmas00,メリークリスマス！　クリスマスプレゼント 1<br><br><red>サンタのワンピース</red>がプレゼントされました。<br>ナツノに装備させて探索に行くと、<red>衣装が反映</red>されます。,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
christmas01,メリークリスマス！　クリスマスプレゼント 2<br><br><red>暖炉のある小屋の地図</red>がプレゼントされました。<br>地図に書かれた場所にたどり着くことができれば、クリスマス限定の<red>蒐集品</red>が手に入るかも......？,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
valentine00,バレンタイン期間限定プレゼント<br><br><red>板チョコの詰まった箱</red>がプレゼントされました。<br>収納棚から、バレンタイン限定のミニエピソードを見ることができます。<br>（本編のエピソード進行度によって、ミニエピソード内の選択肢が増減します）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
helloween00,ハッピーハロウィン！　プレゼント1<br><br><red>小悪魔なワンピース</red>がプレゼントされました。<br><br>ナツノに装備させて探索に行くと、<red>衣装が反映</red>されます。,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
helloween01,ハッピーハロウィン！　プレゼント2<br><br><red>カボチャの描かれた絵はがき</red>がプレゼントされました。<br>収納棚で<red>使う</red>と、誰かと出会えるかも......？<br><br>※「カボチャの描かれた絵はがき」は、特定のキャラクターと遭遇していない場合使用することができません。<br>以降、該当キャラクターと遭遇した時点で、使用できるようになります。,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
-,,,,
daily00,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily01,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily02,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily03,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily04,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily05,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily06,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily07,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
daily08,日めくり報酬<br><br>日めくり報酬として「<red>{0}</red>」が配布されました。<br>収納棚に送られます。<br><br>（「日めくり報酬は」日付が変わる度に配布されます）,<PLEASE_TRANSLATE>,受け取る,<PLEASE_TRANSLATE>
-,,,,
