id,_target<jpn>,target<eng>,_description<jpn>,description<eng>
dummy00,-,-,-,-
-,,,,
talk00,-,-,-,-
prologue00,-,-,-,-
ending00,-,-,-,-
-,,,,
journey00,-,-,-,-
-,,,,
file-main00,-,-,-,-
file-main01,-,-,-,-
file-main02,-,-,-,-
file-main03,-,-,-,-
file-main04,-,-,-,-
file-main05,-,-,,
file-main06,-,-,,
file-main07,-,-,,
file-main08,-,-,,
file-main09,-,-,,
file-main10,-,-,,
file-main11,-,-,,
file-main12,-,-,,
file-main13,-,-,,
file-main14,-,-,,
file-main15,-,-,,
file-main16,-,-,,
-,,,,
file-kiko01,-,-,-,-
file-shino01,-,-,-,-
file-akane01,-,-,-,-
file-minamo01,-,-,,
file-hinase01,-,-,,
file-itsuka01,-,-,,
file-meguru01,-,-,,
-,,,,
file-kiko02,-,-,-,-
file-shino02,-,-,-,-
file-akane02,-,-,-,-
file-minamo02,-,-,,
file-hinase02,-,-,,
file-itsuka02,-,-,,
file-meguru02,-,-,,
-,,,,
file-endless,夏の彼方　　<br>（コンテンツの開放情報を見る）,<PLEASE_TRANSLATE>,夏の彼方<br><br>目指すところのない旅に、終わりはありません。<red>夏の彼方</red>では、彼女との旅をいつまでも続けることができます。,<PLEASE_TRANSLATE>
-,,,,
