id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
akane2-1,bg,scenario01
akane2-1,fgClear
akane2-1,playBgm,environment00
akane2-1,wait,2
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,............
akane2-1,talk,natsuno,......あ
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......アカネさん？
akane2-1,talk,akane,ありゃ
akane2-1,talk,akane,ごめん、起こしちゃったかな
akane2-1,talk,akane,おはよ
akane2-1,talk,natsuno,ううん......
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......帰ってきたんだ
akane2-1,talk,akane,......うん
akane2-1,talk,akane,そんなに遠くないうちに帰るって、約束したしね
akane2-1,talk,natsuno,......
akane2-1,talk,akane,......びっくりした？
akane2-1,talk,akane,朝起きたら、アカネさんが隣にいたドッキリ
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......なんか
akane2-1,talk,natsuno,さすがにもう驚かないかも
akane2-1,talk,natsuno,眠いし
akane2-1,talk,akane,はっはっは
akane2-1,talk,akane,そっかそっか
akane2-1,talk,akane,じゃあ
akane2-1,talk,akane,もっとびっくりするもの、見せてあげよう
akane2-1,talk,natsuno,......？
akane2-1,talk,akane,ほら、見てよ、ナツノちゃん
akane2-1,talk,akane,左足......
akane2-1,talk,akane,こう......
akane2-1,talk,akane,すぽっと
akane2-1,talk,akane,取れちゃった！
akane2-1,talk,natsuno,......
akane2-1,talk,akane,......
akane2-1,talk,natsuno,............
akane2-1,talk,akane,......どう？
akane2-1,talk,akane,おもろくない？
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......全然、おもしろくない
akane2-1,wait,2
akane2-1,fadeOut,1
akane2-1,pauseBgm
akane2-1,newPage
akane2-1,wait,1
akane2-1,bg,scenario01
akane2-1,fg,survivor00,right-right,0,serious
akane2-1,fg,survivor03,right-left,0,default
akane2-1,playBgm,character03
akane2-1,fadeIn,2
akane2-1,talk,akane,目、覚めた？
akane2-1,talk,natsuno,覚めたよ......
akane2-1,talk,natsuno,あんなの見せられたら、そりゃ起きるでしょ......
akane2-1,talk,akane,へっへっへ
akane2-1,talk,akane,一生使える一発芸を手に入れてしまったね
akane2-1,talk,natsuno,いやまじ笑えないから
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......それ
akane2-1,talk,natsuno,......どうしたの？
akane2-1,talk,akane,見てのとおり
akane2-1,talk,akane,脛の半分から下、なくなっちゃった
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......切り落としたの？　自分で？
akane2-1,talk,akane,んーん
akane2-1,talk,akane,さすがのアカネさんも、自分でぎこぎこやる勇気はないなー
akane2-1,talk,akane,ま、いろいろあったんだけど
akane2-1,talk,akane,なんていうか
akane2-1,talk,akane,目が覚めたら、なくなってた的な？
akane2-1,talk,natsuno,......なにそれ
akane2-1,talk,natsuno,痛くないの？
akane2-1,talk,akane,今はまぁ
akane2-1,talk,akane,たまにズキズキするくらい？
akane2-1,talk,akane,切り落とした直後、麻酔が切れたあとは
akane2-1,talk,akane,まじでくそ痛かった
akane2-1,talk,akane,お姉さん、泣いちゃったもん
akane2-1,talk,akane,一生分泣いたね
akane2-1,talk,akane,熱も出るし、ショックで気がおかしくなりそうだったし、めっちゃ吐くし
akane2-1,talk,akane,ほんと、人生で一番苦しかったなぁ
akane2-1,talk,natsuno,......
akane2-1,talk,natsuno,......そんなつらかったのに
akane2-1,talk,natsuno,よく、一発芸とか言えるね
akane2-1,talk,akane,ま、過ぎ去ったことだし
akane2-1,talk,akane,ネタにしてないと、やってらんなくない？
akane2-1,talk,natsuno,......
akane2-1,talk,akane,義足つくってもらって、なんとか普通に歩けるようになったしね
akane2-1,talk,natsuno,義足......
akane2-1,talk,natsuno,それ、つくってもらったんだ
akane2-1,talk,akane,うん
akane2-1,talk,akane,かっこいいでしょ
akane2-1,talk,natsuno,かっこいいかな
akane2-1,talk,natsuno,......
akane2-1,fg,survivor00,right-right,0.5,smile
akane2-1,talk,natsuno,かっこいいかも
akane2-1,wait,2
akane2-1,appendSurvivor,akane
akane2-1,end,questSuccess
-,,,
akane2-2,bg,scenario00
akane2-2,fg,survivor00,right-right,0,serious
akane2-2,fg,survivor03,right-left,0,default
akane2-2,playBgm,character03
akane2-2,wait,1
akane2-2,talk,akane,ナツノちゃんと別れて、一人で歩いてたときにね
akane2-2,talk,akane,おばちゃんと会ったの
akane2-2,talk,natsuno,おばちゃん？
akane2-2,talk,akane,そ、おばちゃん
akane2-2,talk,akane,あの人、何歳くらいだったんだろうなぁ
akane2-2,talk,akane,四十くらいかなぁ
akane2-2,talk,akane,ま、そのくらいの歳の、愛想の悪いおばちゃん
akane2-2,talk,akane,で、しばらくその人と一緒にいたんだけど
akane2-2,talk,akane,ある日目を覚ましたら
akane2-2,talk,akane,足がなくなってたってわけ
akane2-2,talk,natsuno,......
akane2-2,fg,survivor00,right-right,0.5,zito
akane2-2,talk,natsuno,......なんかいろんなこと端折ってない？
akane2-2,talk,akane,いやいや
akane2-2,talk,akane,これがまじなんだよね
akane2-2,talk,akane,まじでなん予告もなく、目が覚めたらなくなってた
akane2-2,talk,natsuno,......こわ
akane2-2,talk,akane,まじで怖いよ
akane2-2,talk,akane,1回起きて、痛みとショックで気失ったもんね
akane2-2,talk,akane,......
akane2-2,talk,akane,......ま
akane2-2,talk,akane,あとから聞いたんだけど
akane2-2,talk,akane,そのおばちゃん、もともとお医者さんで、外科手術とかやってたらしくて
akane2-2,talk,akane,切らずにこのままでいたいとか言ってるアタシを、見るに見かねたんだろうなって思うよ
akane2-2,talk,akane,アタシを説得するより、寝てる間にやっちゃった方が早いって
akane2-2,talk,akane,そういう説明も、全然してくれなかったけど
akane2-2,talk,akane,......そんなわけで
akane2-2,talk,akane,寝て起きたら、こうだったってわけ
akane2-2,fg,survivor00,right-right,0.5,serious
akane2-2,talk,natsuno,......
akane2-2,talk,natsuno,......アカネさんは
akane2-2,talk,natsuno,どうなの？
akane2-2,talk,natsuno,勝手にそんなことされて......怒った？
akane2-2,pauseBgm
akane2-2,fg,survivor03,right-left,0.5,serious
akane2-2,talk,akane,......
akane2-2,talk,akane,......ううん
akane2-2,talk,akane,痛いしショックだったし、怒るとか怒らないとか、それどころじゃなかったけど
akane2-2,playBgm,scenario03
akane2-2,talk,akane,でも、あの人のことを恨んではないよ
akane2-2,talk,akane,むしろ、感謝してる
akane2-2,talk,akane,切り落としてよかったって、思うわけじゃないけど
akane2-2,talk,akane,......なんていうのかな
akane2-2,talk,akane,足を切ったことだけじゃなくて、そのあとのことも含めて、その人に会えてよかったって思ってる
akane2-2,talk,akane,......あのあと
akane2-2,talk,akane,切り落としたアタシの左足を、一緒に解剖したんだよね
akane2-2,talk,akane,病院から持ち出した道具で、切り開いて
akane2-2,talk,akane,金属になっちゃった部分と、まだ人間の部分の境目を見てみたりとか
akane2-2,talk,natsuno,......
akane2-2,talk,natsuno,......なんていうか
akane2-2,talk,natsuno,すごいね
akane2-2,talk,akane,......すごいよ
akane2-2,talk,akane,壮絶
akane2-2,talk,akane,肉だったところから、いきなり鉄の管が生えてたり
akane2-2,talk,akane,骨が滑らかに金属に変わってたり
akane2-2,talk,akane,......ま
akane2-2,talk,akane,結局、普通じゃないってこと意外、何もわからなかったけど
akane2-2,talk,akane,......でも
akane2-2,talk,akane,そうやって一緒にいる間に、いろんなこと教わったんだ
akane2-2,talk,akane,解剖のことだけじゃなくてさ
akane2-2,talk,akane,人の身体にメスを入れる医療行為ってどういうことなのか、とか
akane2-2,talk,akane,お医者様が病院で人を診るってどういうことなのか、とか
akane2-2,talk,akane,そういうこと
akane2-2,talk,akane,たくさん、教えてもらった
akane2-2,talk,akane,......こんなことになる前、アタシが仕事してた期間ってすごく短かったから
akane2-2,talk,akane,上司ってこういう感じなのかな、って思ったよね
akane2-2,talk,akane,自分の未熟さを思い知ったっていうか
akane2-2,talk,akane,そういう意味で
akane2-2,talk,akane,あの人に出会えてよかったなって、思ってる
akane2-2,talk,natsuno,......そっか
akane2-2,wait,2
akane2-2,end,questSuccess
-,,,
akane2-3,bg,scenario00
akane2-3,fg,survivor00,right-right,0,serious
akane2-3,fg,survivor03,right-left,0,default
akane2-3,playBgm,character03
akane2-3,wait,1
akane2-3,talk,natsuno,その義足って、アカネさんがつくったの？
akane2-3,talk,akane,うん？
akane2-3,talk,akane,まぁ、あのおばちゃんと一緒にね？
akane2-3,talk,akane,あり合わせのものでなんとなくつくっただけだけど、まぁ悪くない
akane2-3,talk,natsuno,歩きづらい？
akane2-3,talk,akane,そりゃ、前よりはね
akane2-3,talk,akane,でも感染しておかしくなったあとと比べたら全然まし
akane2-3,talk,natsuno,......そうなんだ
akane2-3,talk,akane,ははは
akane2-3,talk,akane,まぁまぁ
akane2-3,talk,akane,ナツノちゃんと一緒に歩き回るくらい平気だから
akane2-3,talk,akane,気にしないでよ
akane2-3,talk,akane,いざとなったらナツノちゃんに助けてもらうし
akane2-3,talk,akane,アタシもはたらかないとね
akane2-3,talk,natsuno,......わかった
akane2-3,talk,natsuno,......
akane2-3,talk,natsuno,......でも
akane2-3,talk,natsuno,それって、平気なの？
akane2-3,talk,akane,......？
akane2-3,talk,akane,まぁ、今でも痛むときはあるけど
akane2-3,talk,natsuno,そうじゃなくて
akane2-3,pauseBgm
akane2-3,talk,natsuno,......
akane2-3,talk,natsuno,......感染してたところを切り落として
