id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
collection1-1,scenario00,scenario00,,
collection1-1,character00,character00,,
collection1-1,2,2,,
collection1-1,natsuno,natsuno,さて......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,どうやって飾ろっかな......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,これって、油絵だよね......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,触っちゃだめ......なんだよね,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,たぶん,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,あんまり日に当たらない方がいいのかな,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,うーん......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,もらったときに、いろいろ聞いとけばよかった,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......ま、聞いてもちゃんと答えてくれるか,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,わかんない感じの人だったけど......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,......とりあえず,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,車の中に飾っとこ,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......よし,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,これなら、運転の邪魔にもならないはず,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,......やっぱり、いい絵だな,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,きれい,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,きれいっていうか......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,なんて言ったらいいのか、わかんないけど,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,何もない原っぱの景色で,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,見てると、風が吹いてる感じする,<PLEASE_TRANSLATE>
collection1-1,,,,
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,......絵っていうか,<PLEASE_TRANSLATE>
collection1-1,scenario03,scenario03,,
collection1-1,natsuno,natsuno,絵画、みたいなのって,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,美術の授業とかでしか観ることないから、よくわかんないんだけどね,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......あーあ,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,美術館とか,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,そういうの、もっと行っとけばよかったかな,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,今ならどこでもタダで入り放題だけど......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,なんていうか,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,小さい頃から、そういうのに触れてこなかったからかな,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,どうやって観たらいいのか、よくわかんないんだよね,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,学がないというか,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,こんな状況で、学とか言っても仕方ないんだけど......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,うーん......,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,......あの人は,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,こんな絵が描けるくらいだから,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,きっと、そういうの、わかる人なんだろうな,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......ちょっと羨ましい,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,いい絵だって思うのに,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,それをうまく言葉にできないとか,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,どうしてなんだろう、って自分で解釈できないのって,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,悲しいなって、感じ,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,......絵描いて旅してるって,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,そんなこと言ってたよね,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,......,......
collection1-1,natsuno,natsuno,......なんでなんだろ,<PLEASE_TRANSLATE>
collection1-1,natsuno,natsuno,あの人は、どうして......旅なんて、してるんだろうね......,<PLEASE_TRANSLATE>
collection1-1,2,2,,
collection1-1,questSuccess,questSuccess,,
-,,,,
collection2-1,scenario00,scenario00,,
collection2-1,environment00,environment00,,
collection2-1,2,2,,
collection2-1,natsuno,natsuno,......昔ね,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,ちょっとだけ、やったことあるんだ,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,ギター,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,そう、アコギってやつ,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,お父さんが昔使ってたやつがあって,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,それもらって、ネットの動画見ながら練習して,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,楽器とか、それまで全然やったことなかったから,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,学校やってたリコーダーもあんま得意じゃなかったし,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,結構大変だったな,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,でも、なんか、憧れっていうか,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,ギターって、かっこいいじゃん,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,弾き語りとかしてみたいって......1回くらい、思ったことない？,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......わたしは,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......ある,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,なんか恥ずかしいけど、でも、ほんとだし......,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......,......
collection2-1,natsuno,natsuno,......懐かしいな,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,今でもまだ、わたしの部屋に置いてあるんじゃないかな、ギター,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......あ、でも,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,誰か別の人が持って行ったりしてるかも,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,あの辺に、今でも誰か残ってるかどうかはわかんないけど,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,わたしが、このギターもらっちゃったみたいにさ,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,誰かが、使ってくれてたりして,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......,......
collection2-1,natsuno,natsuno,......そうだったらいいな,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,結局、わたしは、1曲なんとか弾けるようになったくらいで、やめちゃったから,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,ちゃんと弾いてくれる人が持っててくれたら,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,わたしが持ってるより、部屋の中に仕舞ってあるより,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,ずっと、いいよね,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......ほんとに,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,そうだったら、うれしいな,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......,......
collection2-1,natsuno,natsuno,......せっかくだし,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,思い出しながら、また練習してみよっかな,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,弾けるようになったら,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,聴いてくれる？,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,......え？,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,今？,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,今は、だめ,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,弾けないよ、もう忘れちゃった,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,練習してるところは見せたくない......,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,恥ずかしいもん,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,聴かせられるようになったら、聴かせてあげる,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,だから、気長に待っててよ,<PLEASE_TRANSLATE>
collection2-1,natsuno,natsuno,きっと......いつか、ね,<PLEASE_TRANSLATE>
collection2-1,2,2,,
collection2-1,questSuccess,questSuccess,,
-,,,,
collection3-1,scenario07,scenario07,,
