id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
hinase2-1,scenario28,scenario28,,
hinase2-1,environment00,environment00,,
hinase2-1,natsuno,natsuno,......,......
hinase2-1,natsuno,natsuno,......あれ,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,気のせいかな,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,このエンジン音......,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,......,......
hinase2-1,natsuno,natsuno,ちょっと行ってくる,<PLEASE_TRANSLATE>
hinase2-1,2,2,,
hinase2-1,1,1,,
hinase2-1,,,,
hinase2-1,,,,
hinase2-1,2,2,,
hinase2-1,1,1,,
hinase2-1,2,2,,
hinase2-1,natsuno,natsuno,......,......
hinase2-1,natsuno,natsuno,......やっぱり,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,そうだと思った,<PLEASE_TRANSLATE>
hinase2-1,1,1,,
hinase2-1,natsuno,natsuno,......ヒナセさん？,<PLEASE_TRANSLATE>
hinase2-1,1,1,,
hinase2-1,survivor07,survivor07,right-left,right-left
hinase2-1,character07,character07,,
hinase2-1,1,1,,
hinase2-1,hinase,hinase,......？,<PLEASE_TRANSLATE>
hinase2-1,survivor07,survivor07,right-left,right-left
hinase2-1,hinase,hinase,あら,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,あらあら,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,まぁ,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,ナツノさん？,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,ナツノさんですよね,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,うん,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,憶えてる？　わたしのこと,<PLEASE_TRANSLATE>
hinase2-1,survivor07,survivor07,right-left,right-left
hinase2-1,hinase,hinase,もちろん,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,ご無沙汰してます,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,うん......久しぶり,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,もしかして......バイクの音、聞きつけて来てくれたんですか？,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,うん,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,なんか聞いたことある音するなと思って,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,大きい音しますもんね、この子,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,うん。元気そうだね,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,はい,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,おかげさまで、あれからは故障もなく、ずっと元気です,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,そうなんだ。よかったね,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,はい,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,そいえば......,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,ちょっと前にシノと会ってさ,<PLEASE_TRANSLATE>
hinase2-1,hinase,hinase,え？,<PLEASE_TRANSLATE>
hinase2-1,natsuno,natsuno,聞いたよ。シノと一緒に、シノの故郷まで行ったんだって,<PLEASE_TRANSLATE>
