id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
itsuka2-1,bg,scenario23
itsuka2-1,fgClear
itsuka2-1,playBgm,environment02
itsuka2-1,wait,2
itsuka2-1,talk,???,......
itsuka2-1,talk,???,............
itsuka2-1,talk,itsuka,......ナツノは
itsuka2-1,talk,itsuka,まだ寝てる？
itsuka2-1,talk,itsuka,......四時だもんね
itsuka2-1,talk,itsuka,......
itsuka2-1,talk,itsuka,久しぶり
itsuka2-1,talk,itsuka,あなたが、ときどき居場所を教えてくれたおかげで
itsuka2-1,talk,itsuka,またここまで帰ってこれた
itsuka2-1,talk,itsuka,......
itsuka2-1,talk,itsuka,あれから、いろいろあって
itsuka2-1,talk,itsuka,......ほんとにいろいろあったんだけど
itsuka2-1,talk,itsuka,......
itsuka2-1,talk,itsuka,会えたんだ、あの人と
itsuka2-1,talk,itsuka,あなたのおばあさんと、同じ名前の人
itsuka2-1,talk,itsuka,山奥に、大きな集落があって
itsuka2-1,talk,itsuka,そこに、百人とか、もっとたくさんの人が暮らしてた
itsuka2-1,talk,itsuka,その人たちの真ん中に......あの人はいた
itsuka2-1,talk,itsuka,あの人は──
itsuka2-1,talk,itsuka,十七歳の、ナツノと同じくらいの歳の、女の子だった
itsuka2-1,pauseBgm
itsuka2-1,wait,1
itsuka2-1,fadeOut,1
itsuka2-1,newPage
itsuka2-1,bg,scenario35
itsuka2-1,wait,1
itsuka2-1,fadeIn,1
itsuka2-1,wait,1
itsuka2-1,playBgm,character06
itsuka2-1,talk,natsuno,......
itsuka2-1,fg,survivor00,right-right,1.0,zito
itsuka2-1,talk,natsuno,......あ
itsuka2-1,talk,natsuno,イツカ......
itsuka2-1,fg,survivor06,right-left,1.0,default
itsuka2-1,talk,itsuka,おはよう、ナツノ
itsuka2-1,talk,natsuno,......帰ってきたんだ
itsuka2-1,talk,itsuka,うん
itsuka2-1,talk,itsuka,夜明け前にね
itsuka2-1,fg,survivor00,right-right,0.5,serious
itsuka2-1,talk,natsuno,......おかえり
itsuka2-1,talk,itsuka,ただいま
itsuka2-1,talk,natsuno,......
itsuka2-1,talk,natsuno,帰ってきたってことは
itsuka2-1,talk,natsuno,会えたの？
itsuka2-1,talk,itsuka,......うん
itsuka2-1,talk,natsuno,どうだった？
itsuka2-1,talk,itsuka,......うーん
itsuka2-1,talk,itsuka,会って、話をして、それで
itsuka2-1,talk,itsuka,こっ酷くフラれたって、感じ
