id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
kiko1-1,bg,scenario00,,,
kiko1-1,playBgm,environment00,,,
kiko1-1,talk,natsuno,......Huh,,
kiko1-1,talk,natsuno,There's someone by that car......,,
kiko1-1,talk,natsuno,A car thief......?,,
kiko1-1,talk,natsuno,......Doesn't look like it,,
kiko1-1,talk,natsuno,It's a girl,,
kiko1-1,talk,natsuno,......,,
kiko1-1,talk,natsuno,Hey， what are you doing?,,
kiko1-1,fg,survivor01,right-left,0.5,surprise
kiko1-1,pauseBgm,,,,
kiko1-1,talk,Young girl,Whoa!,,
kiko1-1,talk,Young girl,I'm sorry! I'm not!,,
kiko1-1,talk,natsuno,Huh? I wasn't.....,,
kiko1-1,talk,Young girl,I didn't steal anything!,,
kiko1-1,talk,Young girl,Not yet!,,
kiko1-1,fg,survivor00,right-right,0.5,zito
kiko1-1,talk,natsuno,......I haven't even said anything yet,,
kiko1-1,wait,1,,,
kiko1-1,fadeOut,1,,,
kiko1-1,newPage,,,,
kiko1-1,fg,survivor00,right-right,,
kiko1-1,fg,survivor01,right-left,,
kiko1-1,playBgm,character01,,,
kiko1-1,wait,1,,,
kiko1-1,fadeIn,1,,,
kiko1-1,talk,natsuno,......So you came all the way out here looking for your dog?,,
kiko1-1,talk,kiko,Yeah......I lost her while we were running away......,,
kiko1-1,talk,kiko,She should be around here somewhere......,,
kiko1-1,talk,kiko,......So I wasn't trying to steal anything， I swear......,,
kiko1-1,talk,natsuno,............,,
kiko1-1,talk,natsuno,......And your parents are at the camp?,,
kiko1-1,talk,kiko,Yes,,
kiko1-1,talk,natsuno,Are there other people at the camp?,,
kiko1-1,talk,kiko,Yes. About fifteen people， I think,,
kiko1-1,talk,natsuno,There are still places like that......,,
kiko1-1,talk,natsuno,Where's the camp?,,
kiko1-1,talk,kiko,North......,,
kiko1-1,talk,natsuno,I see......,,
kiko1-1,talk,kiko,............,,
kiko1-1,talk,kiko,......Well， I should get going......,,
kiko1-1,talk,natsuno,............,,
kiko1-1,talk,natsuno,......Want a ride?,,
kiko1-1,talk,kiko,......Huh?,,
kiko1-1,talk,natsuno,Your dog should be around here somewhere， right?,,
kiko1-1,talk,kiko,......Are you sure?,,
kiko1-1,talk,natsuno,Well， I'm getting kind of tired of traveling alone......,,
kiko1-1,talk,natsuno,Well， not exactly alone anymore， after everything that's happened,,
kiko1-1,talk,natsuno,Anyway， it's fine,,
kiko1-1,talk,natsuno,Let's travel together for a while,,
kiko1-1,fg,survivor01,right-left,0.5,smile
kiko1-1,talk,kiko,......!,,
kiko1-1,talk,kiko,Yes!,,
kiko1-1,wait,1,,,
kiko1-1,appendSurvivor,kiko,,,
kiko1-1,end,questSuccess,,,
-,,,,,
kiko1-2,bg,scenario10,,,
kiko1-2,fg,survivor01,right-left,,
kiko1-2,playBgm,character01,,,
kiko1-2,talk,natsuno,......I've just been wandering around without much of a plan,,
kiko1-2,talk,natsuno,Isn't there anything? Any clues or something?,,
kiko1-2,talk,kiko,......?,,
kiko1-2,fg,survivor00,right-right,0.5,zito
kiko1-2,talk,natsuno,......I'm talking about your dog......,,
kiko1-2,fg,survivor01,right-left,0.5,surprise
kiko1-2,talk,kiko,......Oh!,,
kiko1-2,fg,survivor01,right-left,0.5,default
kiko1-2,talk,kiko,Ah......Hmm......,,
kiko1-2,talk,natsuno,........,,
kiko1-2,talk,kiko,She's around here somewhere， but......,,
kiko1-2,talk,kiko,......You know， dogs wander around,,
kiko1-2,talk,natsuno,Well， yeah......,,
kiko1-2,talk,natsuno,Something like......right， her name?,,
kiko1-2,talk,kiko,Oh， Minotaro,,
kiko1-2,talk,natsuno,Wouldn't she come out if you called her name? Like， Minotaro!,,
kiko1-2,talk,kiko,MINOTARO!!,,
kiko1-2,talk,kiko,......,,
kiko1-2,talk,kiko,............,,
kiko1-2,talk,kiko,........................,,
kiko1-2,talk,natsuno,............,,
kiko1-2,fg,survivor00,right-right,0.5,default
kiko1-2,talk,natsuno,......Well， I guess we can take our time looking,,
kiko1-2,talk,natsuno,Or maybe we shouldn't take our time,,
kiko1-2,talk,natsuno,She'll die if we just leave her out there,,
kiko1-2,talk,natsuno,There seem to be Infected around here too， so it's dangerous,,
kiko1-2,talk,natsuno,And I don't see much around here that a dog could eat,,
kiko1-2,talk,kiko,......,,
kiko1-2,talk,kiko,No,,
kiko1-2,talk,kiko,......I'm sure she's okay,,
kiko1-2,fg,survivor01,right-left,0.5,smile
kiko1-2,talk,kiko,Dogs are smart,,
kiko1-2,talk,kiko,I'm sure she can find food or run somewhere safe,,
kiko1-2,talk,natsuno,Really?,,
kiko1-2,talk,natsuno,Well， they're faster than people......so I guess you're right,,
kiko1-2,talk,kiko,Yes,,
kiko1-2,fg,survivor01,right-left,0.5,default
kiko1-2,talk,kiko,That's why......,,
