id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,,,,
kiko2-1,bg,scenario10,,,,
kiko2-1,fg,survivor00,right-right,0,serious,
kiko2-1,playBgm,environment00,,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......Hey,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......You know,,,
kiko2-1,talk,natsuno,Do you believe in ghosts......,,,
kiko2-1,talk,natsuno,......Do you?,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,............,,,
kiko2-1,talk,natsuno,......Um,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......Kiko?,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......and,,,
kiko2-1,talk,natsuno,Minotaro......?,,,
kiko2-1,wait,1,,,,
kiko2-1,fg,survivor01,right-left,1.0,surprise,dog
kiko2-1,talk,kiko,......Huh,,,
kiko2-1,talk,kiko,......,,,
kiko2-1,talk,kiko,......What,,,
kiko2-1,talk,kiko,Whaaaaaat......,,,
kiko2-1,talk,kiko,......,,,
kiko2-1,talk,kiko,......N-no,,,
kiko2-1,talk,kiko,Natsuno-san......,,,
kiko2-1,talk,kiko,......the ghost?,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,fg,survivor00,right-right,0.5,zito,
kiko2-1,talk,natsuno,............,,,
kiko2-1,wait,3,,,,
kiko2-1,fadeOut,1,,,,
kiko2-1,newPage,,,,,
kiko2-1,fg,survivor00,right-right,0,default,
kiko2-1,fg,survivor01,right-left,0,default,dog
kiko2-1,wait,1,,,,
kiko2-1,playBgm,character01,,,,
kiko2-1,fadeIn,1,,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......So， really,,,
kiko2-1,talk,natsuno,That girl isn't Minotaro......is she,,,
kiko2-1,talk,kiko,Yes,,,
kiko2-1,talk,kiko,This is Kantarō,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,fg,survivor00,right-right,0.5,zito,
kiko2-1,talk,natsuno,......Can I ask where the name came from?,,,
kiko2-1,talk,kiko,W-where the name came from......?,,,
kiko2-1,talk,kiko,Um......,,,
kiko2-1,talk,kiko,Inspiration......?,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......I see,,,
kiko2-1,talk,natsuno,By the way， the one who named Minotaro......,,,
kiko2-1,talk,kiko,......?,,,
kiko2-1,talk,kiko,I-I did......,,,
kiko2-1,talk,kiko,I was little， so I don't remember very well,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,......I see,,,
kiko2-1,talk,kiko,......,,,
kiko2-1,talk,kiko,......Um,,,
kiko2-1,talk,kiko,Natsuno-san,,,
kiko2-1,talk,kiko,You really......are Natsuno-san， right,,,
kiko2-1,talk,kiko,Um......,,,
kiko2-1,talk,kiko,I don't know how to put it......,,,
kiko2-1,talk,kiko,......,,,
kiko2-1,fg,survivor00,right-right,0.5,serious,
kiko2-1,talk,natsuno,......Yeah,,,
kiko2-1,talk,natsuno,It's me,,,
kiko2-1,talk,natsuno,I'm not dead， and I'm not a ghost,,,
kiko2-1,talk,natsuno,I'm really alive,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,talk,natsuno,Really,,,
kiko2-1,talk,natsuno,It's been a long time， Kiko,,,
kiko2-1,talk,kiko,......Yes， that's right,,,
kiko2-1,talk,kiko,I mean......,,,
kiko2-1,talk,kiko,It's such an amazing coincidence......,,,
kiko2-1,talk,natsuno,......,,,
kiko2-1,fg,survivor00,right-right,0.5,depress,
kiko2-1,talk,natsuno,......Yeah,,,
kiko2-1,talk,natsuno,A coincidence......,,,
kiko2-1,talk,natsuno,......It is a coincidence， but,,,
kiko2-1,fg,survivor00,right-right,0.5,smile,
kiko2-1,talk,natsuno,It's almost like fate......don't you think?,,,
kiko2-1,talk,kiko,......?,,,
kiko2-1,talk,kiko,Fate......,,,
kiko2-1,talk,kiko,Yes， I suppose so......,,,
kiko2-1,talk,kiko,......,,,
kiko2-1,talk,kiko,......Um,,,
kiko2-1,talk,kiko,Natsuno-san,,,
kiko2-1,fg,survivor01,right-left,0.5,smile,dog
kiko2-1,talk,kiko,......It's been a long time,,,
kiko2-1,wait,2,,,,
kiko2-1,appendSurvivor,kiko,,,,
kiko2-1,end,questSuccess,,,,
-,,,,,,
kiko2-2,bg,scenario10,,,,
kiko2-2,fg,survivor00,right-right,0,serious,
kiko2-2,fg,survivor01,right-left,0,serious,dog
kiko2-2,playBgm,character01,,,,
kiko2-2,talk,kiko,......So， that's what happened,,,
kiko2-2,talk,kiko,......I see......,,,
kiko2-2,talk,kiko,......Or rather， I guess you did,,,
kiko2-2,talk,kiko,I'm sorry,,,
kiko2-2,talk,kiko,I tried my best， but somewhere along the way， I stopped understanding what was going on......,,,
kiko2-2,talk,kiko,Could you tell me again later......?,,,
kiko2-2,talk,natsuno,Well， I guess that makes sense......,,,
