id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
main1-1,bg,location00,,,
main1-1,playBgm,environment00,,,
main1-1,talk,natsuno,......Ah!,,
main1-1,talk,natsuno,......Hey， there's someone alive,,
main1-1,talk,natsuno,Can I try talking to them?,,
main1-1,talk,natsuno,Hey...... Are you okay?,,
main1-1,talk,A man's voice,Ugh......,,
main1-1,talk,A man's voice,Sh......,,
main1-1,playBgm,scenario01,,,
main1-1,talk,A man's voice,Don't come any closer...... I'm infected.......,,
main1-1,talk,natsuno,......!,,
main1-1,fg,survivor00,right-right,0.5,serious
main1-1,talk,natsuno,You are......?,,
main1-1,talk,natsuno,But you can still talk......,,
main1-1,talk,natsuno,You're still conscious， aren't you......?,,
main1-1,talk,A man's voice,......,,
main1-1,talk,A man's voice,You don't know......?,,
main1-1,talk,A man's voice,Not everyone who gets infected turns into one of those man-eating monsters......,,
main1-1,talk,natsuno,What do you mean......?,,
main1-1,talk,A man's voice,Listen...... this isn't a viral pandemic......,,
main1-1,talk,A man's voice,If it were just a virus， do you really think something like this could happen......?,,
main1-1,talk,natsuno,......!,,
main1-1,talk,natsuno,Your stomach......!,,
main1-1,talk,natsuno,What happened......?,,
main1-1,talk,A man's voice,Ugh......,,
main1-1,talk,A man's voice,Uuugh......,,
main1-1,talk,A man's voice,WAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAH!!,,
main1-1,talk,natsuno,......!,,
main1-1,talk,natsuno,What...... is this......?,,
main1-1,talk,natsuno,A mobile device...... It just broke through the man's skin and came out of his stomach......,,
main1-1,talk,natsuno,What is this......? What is happening......?,,
main1-1,talk,natsuno,......,,
main1-1,talk,natsuno,This man...... is already dead......,,
main1-1,talk,natsuno,Why is there a device inside his stomach......?,,
main1-1,talk,natsuno,This......,,
main1-1,talk,natsuno,......!,,
main1-1,fg,survivor00,right-right,0.5,depress
main1-1,talk,natsuno,Text is appearing on the screen by itself......,,
main1-1,talk,natsuno,<red>HELPHELPHELPHELPHELPHELPHELPHELPHELPHELP......</red>,,
main1-1,talk,natsuno,What's happening......?,,
main1-1,talk,natsuno,I don't understand any of this......,,
main1-1,talk,natsuno,............,,
main1-1,end,questSuccess,,,
-,,,,,
main1-2,bg,location01,,,
main1-2,fg,survivor00,right-right,0,serious
main1-2,pauseBgm,,,,
main1-2,playBgm,scenario01,,,
main1-2,talk,natsuno,......,,
main1-2,talk,natsuno,............,,
main1-2,talk,natsuno,..................,,
main1-2,talk,natsuno,......Hey,,
main1-2,talk,natsuno,......There's someone on the other side,,
main1-2,talk,natsuno,......Could they be infected?,,
main1-2,talk,natsuno,For an infected person， they're a little too quiet......,,
main1-2,talk,natsuno,......Maybe they are an infected person who still has their mind， like last time,,
main1-2,fg,survivor00,right-right,0.5,depress
main1-2,talk,natsuno,......I don't like that,,
main1-2,talk,natsuno,......,,
main1-2,talk,natsuno,Because then， just like last time......,,
main1-2,talk,natsuno,They might die right in front of me......,,
main1-2,talk,natsuno,......,,
main1-2,talk,natsuno,......Phew,,
main1-2,fg,survivor00,right-right,0.5,serious
main1-2,talk,natsuno,......I'll take a look,,
main1-2,talk,natsuno,Here I go,,
main1-2,talk,natsuno,......,,
main1-2,wait,1,,,
main1-2,fadeOut,1,,,
main1-2,pauseBgm,,,,
main1-2,newPage,,,,
main1-2,wait,1,,,
main1-2,fadeIn,1,,,
main1-2,talk,natsuno,......!,,
main1-2,talk,???,......!!,,
main1-2,fg,survivor03,right-left,0.5,serious
main1-2,talk,???,Who are you......!?,,
main1-2,talk,natsuno,......!,,
main1-2,talk,natsuno,......Are you...... alive?,,
main1-2,talk,???,......,,
main1-2,talk,???,............,,
main1-2,fg,survivor03,right-left,0.5,default
main1-2,talk,???,......I am alive,,
main1-2,wait,1,,,
main1-2,fadeOut,1,,,
main1-2,newPage,,,,
main1-2,fg,survivor03,right-left,0,smile
main1-2,wait,1,,,
main1-2,playBgm,character03,,,
main1-2,fadeIn,1,,,
main1-2,talk,???,Ahahahaha!,,
main1-2,talk,???,Hahaha!,,
main1-2,talk,???,Haha!,,
main1-2,talk,???,Haa......,,
main1-2,talk,???,Hahaha!,,
main1-2,fg,survivor00,right-right,0.5,zito
main1-2,talk,natsuno,Enough...... You're laughing too much,,
main1-2,talk,???,But—,,
main1-2,talk,???,But......,,
main1-2,talk,???,You're an idiot,,
main1-2,talk,???,A huge idiot,,
main1-2,talk,???,A girl traveling all the way out here alone?,,
main1-2,talk,???,From Tokyo?,,
main1-2,talk,???,Seriously...... I almost respect you for it,,
main1-2,talk,???,How did you even manage to stay alive?,,
main1-2,talk,natsuno,......,,
main1-2,fg,survivor00,right-right,0.5,serious
main1-2,talk,natsuno,Well...... I just got lucky,,
main1-2,talk,???,Mmm-hmm,,
main1-2,fg,survivor03,right-left,0.5,default
main1-2,talk,???,Luck， huh?,,
main1-2,talk,???,Well， I guess so,,
main1-2,talk,???,Heh,,
main1-2,talk,???,I mean， you did make it all the way out here alive,,
main1-2,fg,survivor03,right-left,0.5,smile
