id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
main12-1,scenario01,scenario01,,
main12-1,,,,
main12-1,3,3,,
main12-1,natsuno,natsuno,──！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,──さん！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,──アカネさん......！,<PLEASE_TRANSLATE>
main12-1,1,1,,
main12-1,survivor00,survivor00,right-right,right-right
main12-1,natsuno,natsuno,ねぇ......！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,natsuno,natsuno,どうしたの、いきなり......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,ねぇ......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,大丈夫......？,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,natsuno,natsuno,............,............
main12-1,natsuno,natsuno,......ねぇ,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,アカネさん......？,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......それって,<PLEASE_TRANSLATE>
main12-1,scenario01,scenario01,,
main12-1,1,1,,
main12-1,survivor03,survivor03,right-left,right-left
main12-1,1,1,,
main12-1,akane,akane,......,......
main12-1,akane,akane,......あはは,<PLEASE_TRANSLATE>
main12-1,akane,akane,......ばれちゃった,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,natsuno,natsuno,......その、足......,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,もう......,<PLEASE_TRANSLATE>
main12-1,akane,akane,感覚は、ほとんどないんだ,<PLEASE_TRANSLATE>
main12-1,akane,akane,じんじんする痛みだけが、あって......,<PLEASE_TRANSLATE>
main12-1,akane,akane,ごめん......,<PLEASE_TRANSLATE>
main12-1,akane,akane,ちょっと、今は、立てそうにないな......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......そんな,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,ずっと、黙ってたの......？,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,そんな......左足から、金属の管が生えてきて......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,それ......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,natsuno,natsuno,感染、してるんだよね......,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,......そう、だろうね,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,最近、落ち着いてたんだけどな......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,natsuno,natsuno,いつから......なの......？,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,前に、ナツノちゃんとばいばいした頃......かな,<PLEASE_TRANSLATE>
main12-1,akane,akane,その頃は、痛みがひどくて......,<PLEASE_TRANSLATE>
main12-1,akane,akane,最近、ちょっと平気になってたんだけど,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,natsuno,natsuno,それで、アカネさん......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,一人でいなくなったの......？,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,なんで、そんなこと......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,どうして言ってくれなかったの......？,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,だって,<PLEASE_TRANSLATE>
main12-1,akane,akane,ナツノちゃん、心配するでしょ？,<PLEASE_TRANSLATE>
main12-1,akane,akane,アタシのこと、大好きだからさ,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,心配、するけど......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,akane,akane,......あーあ,<PLEASE_TRANSLATE>
main12-1,akane,akane,結局、ばれちゃうし,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,この前、ナツノちゃんと再会した頃は......,<PLEASE_TRANSLATE>
main12-1,akane,akane,まだ、足首までだったんだ,<PLEASE_TRANSLATE>
main12-1,akane,akane,それが、最近、すねまで浸食してきて......,<PLEASE_TRANSLATE>
main12-1,akane,akane,......,......
main12-1,akane,akane,たぶん、これからも、どんどん──,<PLEASE_TRANSLATE>
main12-1,1,1,,
main12-1,survivor03,survivor03,1.0,1.0
main12-1,down00,down00,,
main12-1,1,1,,
main12-1,natsuno,natsuno,......！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,アカネさん！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,ちょっと、ねぇ......！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,アカネさん......！,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......,......
main12-1,natsuno,natsuno,アカネさん......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......気、失っちゃったのかな,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,ねぇ......,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,死んじゃったんじゃない、よね......？,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,......ねぇ,<PLEASE_TRANSLATE>
main12-1,natsuno,natsuno,アカネさん......？,<PLEASE_TRANSLATE>
main12-1,3,3,,
main12-1,questSuccess,questSuccess,,
-,,,,
main12-2,scenario33,scenario33,,
main12-2,,,,
main12-2,scenario01,scenario01,,
main12-2,5,5,,
main12-2,natsuno,natsuno,......,......
main12-2,natsuno,natsuno,............,............
main12-2,survivor00,survivor00,right-right,right-right
main12-2,natsuno,natsuno,......どうしよう,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,わたし......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,どうしたら......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,......,......
main12-2,natsuno,natsuno,アカネさんが、感染してて,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,足から、鉄の管が生えてきて......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,倒れちゃって......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,それで......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,ずっと、前からで......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,どんどん、足が金属に変わっちゃってて......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,......,......
main12-2,natsuno,natsuno,わたし......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,......,......
main12-2,natsuno,natsuno,............,............
main12-2,1,1,,
main12-2,survivor06,survivor06,right-left,right-left
main12-2,1,1,,
main12-2,itsuka,itsuka,......,......
main12-2,itsuka,itsuka,......大丈夫,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,寝てるだけだよ,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,左足の、まだ侵されてない部分が腫れてて,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,ちょっと熱が出てるけど......,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,たぶん、今すぐ命に危険はない,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,今は、寝てるだけだ......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,......,......
main12-2,natsuno,natsuno,......でも,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,それって,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,今は、大丈夫かもしれないけど,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,これから......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,これから、どんどん足が金属になって、,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,足だけじゃなくなって......,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,そしたら......,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,......,......
main12-2,itsuka,itsuka,これは、細菌とかウイルスのせいじゃない,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,だから、どれくらい意味があるかわからないけど,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,......,......
main12-2,itsuka,itsuka,......今のうちに,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,切り落とした方が、いいかもしれない,<PLEASE_TRANSLATE>
main12-2,natsuno,natsuno,──！,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,......,......
main12-2,itsuka,itsuka,まともな知識も、医療器具もない,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,とても危険だと思う,<PLEASE_TRANSLATE>
main12-2,survivor06,survivor06,right-left,right-left
main12-2,itsuka,itsuka,でも......,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,このまま放置しておくのと,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,切断してしまうのと,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,どちらかしか、選択肢がない,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,このまま放っておけば......,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,他の感染者と同じように、意識がなくなってしまうか,<PLEASE_TRANSLATE>
main12-2,itsuka,itsuka,そうじゃなくても,<PLEASE_TRANSLATE>
