id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
meguru1-1,bg,scenario16
meguru1-1,playBgm,environment00
meguru1-1,talk,natsuno,......あれ
meguru1-1,talk,natsuno,あの後ろ姿......
meguru1-1,talk,natsuno,......
meguru1-1,talk,natsuno,ちょっと、近くまで行ってみるね
meguru1-1,talk,natsuno,お取込み中みたいだから......こっそり
meguru1-1,wait,2
meguru1-1,fadeOut,1
meguru1-1,newPage
meguru1-1,wait,1
meguru1-1,fadeIn,1
meguru1-1,wait,1
meguru1-1,talk,natsuno,......
meguru1-1,talk,natsuno,............
meguru1-1,talk,natsuno,........................
meguru1-1,talk,???,......
meguru1-1,wait,1
meguru1-1,fg,survivor04,right-left,1.0,default,mask
meguru1-1,talk,meguru,......え
meguru1-1,playBgm,character04
meguru1-1,fg,survivor04,right-left,0.5,depress,mask
meguru1-1,talk,meguru,うわああああああ
meguru1-1,talk,meguru,ナナナナナツノちゃん！？
meguru1-1,talk,meguru,なななんで！？
meguru1-1,talk,meguru,いつから！？
meguru1-1,talk,meguru,ホウァイ！？
meguru1-1,talk,meguru,ニンジャ！？
meguru1-1,fg,survivor00,right-right,0.5,zito
meguru1-1,talk,natsuno,......
meguru1-1,talk,natsuno,......忍者ではない、かな
meguru1-1,talk,natsuno,こんにちは
meguru1-1,talk,meguru,ハ、ハロー！！
meguru1-1,talk,meguru,......
meguru1-1,talk,natsuno,......
meguru1-1,talk,meguru,............
meguru1-1,talk,meguru,......ずっと見てた......ってこと？
meguru1-1,talk,meguru,その......
meguru1-1,talk,meguru,......描いてるとこ
meguru1-1,talk,natsuno,まぁ......
meguru1-1,talk,natsuno,ちょっとだけ、だけど
meguru1-1,talk,meguru,......
meguru1-1,talk,meguru,............
meguru1-1,talk,meguru,........................
meguru1-1,talk,meguru,......よし
meguru1-1,fg,survivor04,right-left,0.5,despair,mask
meguru1-1,talk,meguru,死のう
meguru1-1,talk,natsuno,......
meguru1-1,wait,2
meguru1-1,fadeOut,1
meguru1-1,newPage
meguru1-1,wait,1
meguru1-1,fadeIn,1
meguru1-1,talk,meguru,来世はスフィンクスにしてほしいんすけど......
meguru1-1,talk,meguru,だめっすか......
meguru1-1,talk,natsuno,うーん
meguru1-1,talk,natsuno,スフィンクスはちょっと......
meguru1-1,talk,meguru,だめか......
meguru1-1,fg,survivor00,right-right,0.5,serious
meguru1-1,talk,natsuno,......
meguru1-1,talk,natsuno,......ごめん
meguru1-1,talk,natsuno,見られるの、嫌だった？
meguru1-1,fg,survivor04,right-left,0.5,default,mask
meguru1-1,talk,meguru,......
meguru1-1,talk,meguru,......嫌か嫌じゃないかで言うと
meguru1-1,talk,meguru,嫌よりの嫌、かなぁ
meguru1-1,talk,meguru,あんまり、好きじゃないんだよね......絵描いてるとこ、人に見られるの
meguru1-1,talk,natsuno,そっか......。ごめん、勝手に見て
meguru1-1,talk,meguru,や......うちも気づかんかったし......
meguru1-1,talk,meguru,しゃーなし！
meguru1-1,talk,meguru,許す！
meguru1-1,fg,survivor00,right-right,0.5,smile
meguru1-1,talk,natsuno,ははは......
meguru1-1,talk,natsuno,メグルの切り替え早いとこに、初めて救われたかも
meguru1-1,talk,natsuno,でもごめん。今度から気をつける
meguru1-1,talk,meguru,おっけーおっけー！
meguru1-1,talk,meguru,うじうじしててもしょーがない！
meguru1-1,talk,meguru,......で？
meguru1-1,fg,survivor00,right-right,0.5,default
meguru1-1,talk,natsuno,？
meguru1-1,talk,meguru,ナツノちゃん、うちに何か用？
meguru1-1,talk,natsuno,え......
meguru1-1,talk,natsuno,や、別に
meguru1-1,talk,natsuno,たまたま見かけただけ、だけど
meguru1-1,talk,meguru,ありゃ
meguru1-1,talk,meguru,......
meguru1-1,fg,survivor04,right-left,0.5,depress,mask
meguru1-1,talk,meguru,......そうっすよね
meguru1-1,talk,meguru,うちに用がある人なんて、この世にいないっすよね......
meguru1-1,fg,survivor00,right-right,0.5,zito
meguru1-1,talk,natsuno,......
meguru1-1,fg,survivor04,right-left,0.5,default,mask
meguru1-1,talk,meguru,......あ
meguru1-1,talk,meguru,ナツノちゃん、今、ひま？
meguru1-1,fg,survivor00,right-right,0.5,default
meguru1-1,talk,natsuno,え......
meguru1-1,talk,natsuno,まぁ、暇といえば暇かな
meguru1-1,talk,meguru,じゃあ......
meguru1-1,talk,meguru,ちっと、探しものに付き合ってくんない？
meguru1-1,wait,2
meguru1-1,appendSurvivor,meguru
meguru1-1,end,questSuccess
-,,,
meguru1-2,bg,scenario16
meguru1-2,playBgm,character04
meguru1-2,talk,natsuno,それでさ
meguru1-2,fg,survivor04,right-left,0.5,default,mask
meguru1-2,talk,meguru,うんうん？
meguru1-2,talk,natsuno,メグルの探しものって、何？
meguru1-2,fg,survivor04,right-left,0.5,smile,mask
meguru1-2,talk,meguru,えー？
meguru1-2,talk,meguru,知りたい？
meguru1-2,talk,meguru,知りたいんだぁ？
meguru1-2,talk,natsuno,知りたいっていうか......知らないと探せないし
meguru1-2,talk,meguru,へへ......
meguru1-2,talk,meguru,そっかぁ......そんなに知りたいかぁ！
meguru1-2,fg,survivor00,right-right,0.5,zito
meguru1-2,talk,natsuno,......
meguru1-2,talk,natsuno,......やっぱいいや
meguru1-2,fg,survivor04,right-left,0.5,depress,mask
meguru1-2,talk,meguru,......
meguru1-2,talk,meguru,......すみません、お話します......
meguru1-2,talk,meguru,見捨てないでぇ......
meguru1-2,talk,natsuno,......
meguru1-2,fg,survivor00,right-right,0.5,default
meguru1-2,talk,natsuno,で、何探してるの？
meguru1-2,fg,survivor04,right-left,0.5,default,mask
meguru1-2,talk,meguru,えーとね、いろいろ！
meguru1-2,fg,survivor00,right-right,0.5,zito
meguru1-2,talk,natsuno,......
meguru1-2,fg,survivor04,right-left,0.5,depress,mask
meguru1-2,talk,meguru,......違う！　違くて！
meguru1-2,talk,meguru,ほんとにいろいろなの
meguru1-2,talk,meguru,絵具とか、筆とか、イーゼルとか......
meguru1-2,talk,natsuno,......
meguru1-2,fg,survivor00,right-right,0.5,default
