id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
meguru2-1,scenario16,scenario16,,
meguru2-1,environment00,environment00,,
meguru2-1,1,1,,
meguru2-1,natsuno,natsuno,あ......,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,メグルだ,<PLEASE_TRANSLATE>
meguru2-1,survivor00,survivor00,right-right,right-right
meguru2-1,natsuno,natsuno,......,......
meguru2-1,natsuno,natsuno,メグルだけど,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,誰かと一緒にいる......,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,誰か、っていうか,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,......？,<PLEASE_TRANSLATE>
meguru2-1,2,2,,
meguru2-1,,,,
meguru2-1,1,1,,
meguru2-1,,,,
meguru2-1,1,1,,
meguru2-1,survivor00,survivor00,right-right,right-right
meguru2-1,1,1,,
meguru2-1,1,1,,
meguru2-1,natsuno,natsuno,......,......
meguru2-1,natsuno,natsuno,......め,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,メグル......？,<PLEASE_TRANSLATE>
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,character04,character04,,
meguru2-1,meguru,meguru,......あ,<PLEASE_TRANSLATE>
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,ナツノちゃん！,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,やっほー,<PLEASE_TRANSLATE>
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,久しぶり？　だね！,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,う、うん......,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,久しぶり......,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,......,......
meguru2-1,natsuno,natsuno,......あ、あの,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,うん？,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,その子って......,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,め、,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,メグルの......,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,子供......？,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,......,......
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,............,............
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,........................,........................
meguru2-1,meguru,meguru,ちが！,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,違う！　違う違う違う！,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,この子は......え────！,<PLEASE_TRANSLATE>
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,隠し子！　的な！,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,......,......
meguru2-1,survivor00,survivor00,right-right,right-right
meguru2-1,natsuno,natsuno,......は？,<PLEASE_TRANSLATE>
meguru2-1,2,2,,
meguru2-1,,,,
meguru2-1,1,1,,
meguru2-1,,,,
meguru2-1,1,1,,
meguru2-1,survivor00,survivor00,right-right,right-right
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,1,1,,
meguru2-1,1,1,,
meguru2-1,scenario04,scenario04,,
meguru2-1,meguru,meguru,......ママがさー,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,四年くらい前に、家、出てったんす,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,そんで、うちはパパと二人で暮らしてたんだよね,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,けど、うちはふつーにママとも会ってて,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,たぶん、パパとママが気を遣ってくれたんだと思う,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,住んでるところは別だけど、会おうって言ったら、ママはいつでも会ってくれた,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,だから、うちにとっては、ママが家にいないだけで、それまでとあんまり変わんなくて,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,変わんなかった......んだけど,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,......,......
meguru2-1,meguru,meguru,......ママ、付き合ってた人がいたみたいで,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,うち、全然知らなかった,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,この子は......,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,ママと、ママの新しい恋人の子供、なんだって,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,......,......
meguru2-1,natsuno,natsuno,つまり,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,メグルにとっては、妹？,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,......そっすね,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,......そうなんだ,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,今、いくつくらい？,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,三歳,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,......妹がいるなんて、全然、知らなくて,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,まじ、びっくりだよね,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,妊娠してるのも知らなかったし,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,まぁ、思い返してみれば、結構長い間会ってくれない期間があったから,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,そのときに出産とかしてたんだろーなーって感じだけど,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,なんか......ううん,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,新しい恋人がいたり、赤ちゃんができるのは,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,いいことだし、応援したかったけど,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,でも......やっぱり、ちょっとショックだった,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,......,......
meguru2-1,natsuno,natsuno,......そう言われてみれば,<PLEASE_TRANSLATE>
meguru2-1,natsuno,natsuno,確かに、ちょっとメグルと似てるかも,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,.....,.....
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,......そーっしょ,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,うちもそう思う,<PLEASE_TRANSLATE>
meguru2-1,survivor04,survivor04,right-left,right-left
meguru2-1,meguru,meguru,パパは違う人だけど......,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,でも、ママの子供で,<PLEASE_TRANSLATE>
meguru2-1,meguru,meguru,うちの妹なんだなぁって......思う,<PLEASE_TRANSLATE>
meguru2-1,2,2,,
meguru2-1,meguru,meguru,,
meguru2-1,questSuccess,questSuccess,,
-,,,,
meguru2-2,scenario16,scenario16,,
meguru2-2,survivor00,survivor00,right-right,right-right
meguru2-2,survivor04,survivor04,right-left,right-left
meguru2-2,scenario04,scenario04,,
meguru2-2,1,1,,
meguru2-2,meguru,meguru,......この子は,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,ママの友達が、預かってくれてたんす,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,くれてたっていうか、今も、一緒に面倒見てくれてるんだけど,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,その人と、ちょっと前に偶然会って,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,いろいろ教えてもらって,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,今は、この子とその人と、三人で暮らしてる,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,......,......
meguru2-2,meguru,meguru,......ママは,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,ちょっと前に、死んじゃったんだって,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,ママの恋人......この子のパパと一緒に,<PLEASE_TRANSLATE>
meguru2-2,natsuno,natsuno,......,......
meguru2-2,meguru,meguru,......ママが死んだって聞いたとき,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,なんだろ,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,最初は、あんまりなんとも思わなかった,<PLEASE_TRANSLATE>
meguru2-2,meguru,meguru,そもそも、ママとは世の中がめちゃくちゃになり始めた頃から連絡取れなくなってたし,<PLEASE_TRANSLATE>
