id,_arg0<jpn>,arg0<eng>,_arg1<jpn>,arg1<eng>
-,,,,
mission1-1,scenario36,scenario36,,
mission1-1,environment01,environment01,,
mission1-1,natsuno,natsuno,......,......
mission1-1,natsuno,natsuno,......ここ、かな,<PLEASE_TRANSLATE>
mission1-1,natsuno,natsuno,......,......
mission1-1,natsuno,natsuno,あ......向こうに、人いるみたい,<PLEASE_TRANSLATE>
mission1-1,natsuno,natsuno,ちょっと、行ってくるね,<PLEASE_TRANSLATE>
mission1-1,1,1,,
mission1-1,1,1,,
mission1-1,1,1,,
mission1-1,,,,
mission1-1,,,,
mission1-1,1,1,,
mission1-1,1,1,,
mission1-1,survivor00,survivor00,right-right,right-right
mission1-1,1,1,,
mission1-1,natsuno,natsuno,......ただいま,<PLEASE_TRANSLATE>
mission1-1,natsuno,natsuno,<red><variable>requestItem</variable></red>、渡して,<PLEASE_TRANSLATE>
mission1-1,natsuno,natsuno,<red><variable>rewardItem</variable></red>、<variable>rewardItemCount</variable>こもらったよ,<PLEASE_TRANSLATE>
mission1-1,natsuno,natsuno,......,......
mission1-1,natsuno,natsuno,じゃ、戻ろっか,<PLEASE_TRANSLATE>
mission1-1,2,2,,
mission1-1,questSuccess,questSuccess,,
-,,,,
,,,,
