id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
repeat1-1,bg,scenario12,,,
repeat1-1,fg,survivor00,right-right,0,
repeat1-1,playBgm,environment01,,,
repeat1-1,talk,natsuno,......,,
repeat1-1,talk,natsuno,......Oh,,
repeat1-1,talk,natsuno,Hey...,,
repeat1-1,talk,natsuno,There's someone over there......,,
repeat1-1,talk,natsuno,It's an old lady......,,
repeat1-1,talk,natsuno,She's wearing a black hood......,,
repeat1-1,talk,natsuno,I wonder what she's doing all alone in a place like that......,,
repeat1-1,talk,natsuno,I wonder if she's okay,,
repeat1-1,talk,natsuno,......I'll try talking to her,,
repeat1-1,fadeOut,1,,,
repeat1-1,newPage,,,,
repeat1-1,wait,1,,,
repeat1-1,fadeIn,1,,,
repeat1-1,branch,hasItem,hasItem,noItems,
repeat1-1,label,noItems,,,
repeat1-1,talk,natsuno,"......I don't really get it, but",,
repeat1-1,talk,natsuno,"While I was talking to her, the old lady just walked away by herself",,
repeat1-1,talk,natsuno,......What was that all about?,,
repeat1-1,end,nextLocation,,,
repeat1-1,label,hasItem,,,
repeat1-1,talk,natsuno,"......I don't really get it, but",,
repeat1-1,talk,natsuno,That old lady...,,
repeat1-1,event,confirmItemExchange00,,,
repeat1-1,talk,natsuno,"......Okay, I'll go talk to her again.",,
repeat1-1,fadeOut,1,,,
repeat1-1,newPage,,,,
repeat1-1,wait,1,,,
repeat1-1,fadeIn,1,,,
repeat1-1,talk,natsuno,The old lady just walked away by herself.,,
repeat1-1,talk,natsuno,......What was that all about?,,
repeat1-1,end,nextLocation,,,
-,,,,,
repeat2-1,bg,scenario13,,,
repeat2-1,fgClear,,,,
repeat2-1,playBgm,environment02,,,
repeat2-1,talk,natsuno,......,,
repeat2-1,fg,survivor00,right-right,1.0,serious
repeat2-1,talk,natsuno,......Yeah,,
repeat2-1,talk,natsuno,......There's someone sitting over there,,
repeat2-1,talk,natsuno,......,,
repeat2-1,talk,natsuno,Is she still alive......?,,
repeat2-1,talk,natsuno,......What should I do?,,
repeat2-1,talk,natsuno,Should I <button>take a look</button>......? Or should I <button>leave her alone</button>?,,
repeat2-1,waitCall,look,look,noLook,
repeat2-1,label,look,,,
repeat2-1,talk,natsuno,......Okay,,
repeat2-1,talk,natsuno,I'll take a look......,,
repeat2-1,talk,natsuno,"Hey, you......",,
repeat2-1,talk,natsuno,......,,
repeat2-1,branch,survivorCount,1,itemGetOrBattlte,itemGet
repeat2-1,label,itemGetOrBattlte,,,
repeat2-1,branch,random,0.7,itemGet,battle
repeat2-1,label,itemGet,,,
repeat2-1,talk,natsuno,......This person,,
repeat2-1,talk,natsuno,Already......,,
repeat2-1,talk,natsuno,......,,
repeat2-1,fg,survivor00,right-right,0.5,default
repeat2-1,talk,natsuno,......Ah,,
repeat2-1,talk,natsuno,I wonder if these were this person's belongings,,
repeat2-1,talk,natsuno,......,,
repeat2-1,event,itemGetIdBox00,,,
repeat2-1,fg,survivor00,right-right,0.5,depress
repeat2-1,talk,natsuno,......,,
repeat2-1,talk,natsuno,......Let's go now,,
repeat2-1,end,nextLocation,,,
repeat2-1,label,battle,,,
repeat2-1,talk,natsuno,Ah......!,,
repeat2-1,talk,natsuno,This person is infected......!,,
repeat2-1,event,battleId05,,,
repeat2-1,fg,survivor00,right-right,0.5,depress
repeat2-1,talk,natsuno,......Phew,,
repeat2-1,talk,natsuno,......Let's go now,,
repeat2-1,end,nextLocation,,,
repeat2-1,label,noLook,,,
repeat2-1,fg,survivor00,right-right,0.5,depress
repeat2-1,talk,natsuno,......Yeah,,
repeat2-1,talk,natsuno,I'll leave her alone,,
repeat2-1,talk,natsuno,......,,
repeat2-1,end,nextLocation,,,
-,,,,,
repeat3-1,bg,scenario14,,,
repeat3-1,fgClear,,,,
repeat3-1,playBgm,environment04,,,
repeat3-1,talk,natsuno,......,,
repeat3-1,fg,survivor00,right-right,1.0,
repeat3-1,talk,natsuno,......Oh,,
repeat3-1,talk,natsuno,That truck......,,
repeat3-1,talk,natsuno,Let's see......,,
repeat3-1,talk,natsuno,It's a military truck......right?,,
repeat3-1,talk,natsuno,"Looks like there's nobody inside, though......",,
repeat3-1,talk,natsuno,......I wonder if there's anything left inside,,
repeat3-1,talk,natsuno,I'll take a quick look,,
repeat3-1,talk,natsuno,......,,
repeat3-1,event,itemGetIdBox02,,,
repeat3-1,talk,natsuno,......,,
repeat3-1,fg,survivor00,right-right,0.5,serious
repeat3-1,talk,natsuno,I saw quite a few of these when I was trying to leave Tokyo......,,
repeat3-1,talk,natsuno,I wonder if the people who were riding in this one,,
repeat3-1,talk,natsuno,"all died, too",,
repeat3-1,talk,natsuno,......,,
repeat3-1,end,nextLocation,,,
-,,,,,
