id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,,,
sub-natsuno1-1,bg,scenario00,,,
sub-natsuno1-1,fg,survivor00,right-right,0,serious
sub-natsuno1-1,playBgm,character00,,,
sub-natsuno1-1,talk,natsuno,......I don't feel like cooking,,
sub-natsuno1-1,talk,natsuno,I can't be bothered......,,
sub-natsuno1-1,talk,natsuno,......,,
sub-natsuno1-1,fg,survivor00,right-right,0.5,default
sub-natsuno1-1,talk,natsuno,Can't you do it for me?,,
sub-natsuno1-1,talk,natsuno,......I can't exactly ask you to， though,,
sub-natsuno1-1,talk,natsuno,......Hmm,,
sub-natsuno1-1,talk,natsuno,I can't be bothered......,,
sub-natsuno1-1,talk,natsuno,Oh， that's right,,
sub-natsuno1-1,talk,natsuno,Do you have， like， a cookbook or something?,,
sub-natsuno1-1,talk,natsuno,If I looked through one， maybe I'd feel a little more motivated,,
sub-natsuno1-1,talk,natsuno,Do you?,,
sub-natsuno1-1,waitCall,yes,input_any,input_any,
sub-natsuno1-1,label,input_any,,,
sub-natsuno1-1,talk,natsuno,......,,
sub-natsuno1-1,talk,natsuno,......Oh,,
sub-natsuno1-1,talk,natsuno,......Never mind,,
sub-natsuno1-1,talk,natsuno,It's not like I have a measuring cup or anything,,
sub-natsuno1-1,talk,natsuno,Even if I looked at it， I couldn't follow the recipe properly,,
sub-natsuno1-1,talk,natsuno,Ugh,,
sub-natsuno1-1,talk,natsuno,I guess I should've helped Mom out with cooking more when I had the chance,,
sub-natsuno1-1,talk,natsuno,It wasn't until things ended up like this and I was all alone that I actually started cooking properly,,
sub-natsuno1-1,talk,natsuno,I've just been making everything my own way,,
sub-natsuno1-1,talk,natsuno,It's not very good,,
sub-natsuno1-1,talk,natsuno,......But I've gotten used to it by now,,
sub-natsuno1-1,talk,natsuno,......,,
sub-natsuno1-1,talk,natsuno,......Well,,
sub-natsuno1-1,fg,survivor00,right-right,0.5,serious
sub-natsuno1-1,talk,natsuno,I never could've imagined things would end up like this......,,
