id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
sub-endless-kiko1,bg,scenario10
sub-endless-kiko1,playBgm,environment01
sub-endless-kiko1,wait,2
sub-endless-kiko1,talk,????,......あ！
sub-endless-kiko1,talk,????,......ナツノさん！
sub-endless-kiko1,talk,natsuno,......？
sub-endless-kiko1,talk,natsuno,......あ
sub-endless-kiko1,talk,natsuno,キコ
sub-endless-kiko1,playBgm,character01
sub-endless-kiko1,fg,survivor01,right-left,1.0,smile,dog
sub-endless-kiko1,talk,kiko,こんにちは
sub-endless-kiko1,talk,natsuno,こ、こんにちは......奇遇だね
sub-endless-kiko1,talk,kiko,車の音が聞こえたので、ちょっと来てみたんです
sub-endless-kiko1,talk,natsuno,ああ......
sub-endless-kiko1,talk,natsuno,そっか
sub-endless-kiko1,talk,kiko,ナツノさんも、食べ物とか探してるところですか？
sub-endless-kiko1,talk,natsuno,うん。そうだね
sub-endless-kiko1,talk,kiko,じゃあ、少しだけご一緒してもいいですか？
sub-endless-kiko1,fg,survivor00,right-right,0.5,smile
sub-endless-kiko1,talk,natsuno,うん。もちろん
sub-endless-kiko1,talk,kiko,ありがとうございます！
sub-endless-kiko1,fg,survivor01,right-left,0.5,shy,dog
sub-endless-kiko1,talk,kiko,ほら、いこ、カンタロー！
sub-endless-kiko1,wait,2
sub-endless-kiko1,appendSurvivor,kiko
sub-endless-kiko1,end,questSuccess
-,,,
sub-endless-kiko2,bg,scenario10
sub-endless-kiko2,playBgm,character01
sub-endless-kiko2,fg,survivor01,right-left,0.5,default,dog
sub-endless-kiko2,talk,kiko,ナツノさん
sub-endless-kiko2,talk,natsuno,うん？
sub-endless-kiko2,talk,kiko,私、そろそろキャンプに戻らないと......
sub-endless-kiko2,talk,natsuno,ああ、うん
sub-endless-kiko2,talk,natsuno,そっか
sub-endless-kiko2,talk,kiko,はい
sub-endless-kiko2,talk,kiko,じゃあ......行きますね
sub-endless-kiko2,talk,natsuno,うん
sub-endless-kiko2,talk,natsuno,またね
sub-endless-kiko2,fg,survivor01,right-left,0.5,smile,dog
sub-endless-kiko2,talk,kiko,はい！
sub-endless-kiko2,talk,kiko,また近くを通りかかったら、お話しましょう
sub-endless-kiko2,fg,survivor00,right-right,0.5,smile
