id,type,executeType,resourceId,time,text<jpn>,nextFlow
early00,early,image,scenario01,8,<br>Beyond the Summer<br><br>natsuno-kanata,-
early01,early,image,scenario00,6,Planning / Development / Scenario<br><br>　Kazuhide Oka,-
early02,early,image,scenario02,6,Character Design<br><br>　Chiji,-
early03,early,image,scenario03,6,Soundtrack<br><br>　ruichiro,-
early04,early,image,scenario04,6,Graphics<br><br>　https://www.pakutaso.com/<br><br>　https://pixabay.com/ja/<br><br>　https://ytsozaiyasan.com/<br><br>　https://icooon-mono.com/,-
early05,early,image,scenario05,6,Sound<br><br>　https://dova-s.jp/<br><br>　https://soundeffect-lab.info/,-
early06,early,image,scenario06,6,Special Thanks<br><br>　Shiro<br><br>　watako<br><br>　SaQZaQ<br><br>　MOTO<br><br>　Dike<br><br>　dors,-
early07,early,image,scenario07,6,Special Thanks<br><br>　John<br><br>　SAGAWA DON<br><br>　Linea<br><br>　kazuki kihara,-
early08,early,image,scenario08,16,This is an Early Access version.<br><br>In the full version，<br>the latter half of the scenario，<br>character episodes， and other content<br>are planned to be added.<br>We are working hard on development，<br>so please wait a little longer.<br><br><br>To provide a better experience，<br>we are currently collecting your feedback.<br>For details， please visit the official website and other sources.,-
early09,early,image,title01,10,Thank you for playing.<br><br>　　　　　　　　　See you soon.,RebootFlow
-,,,,,,
main00,main,movie,endroll00,-1,-,-
main01,main,wait,-,2,-,-
main02,main,fadeOut,-,2,-,-
main03,main,disableMovie,-,0,-,-
main04,main,wait,-,3,-,
main05,main,fadeIn,-,2,-,-
main06,main,wait,-,1,-,-
main07,main,text,-,3,Graphics<br><br>　https://www.pakutaso.com/<br><br>　https://pixabay.com/ja/<br><br>　https://ytsozaiyasan.com/<br><br>　https://icooon-mono.com/,
main08,main,wait,-,2,-,
main07,main,text,-,3,Sounds<br><br>　https://dova-s.jp/<br><br>　https://soundeffect-lab.info/,
main08,main,wait,-,2,-,
main07,main,text,-,3,Special Thanks<br><br>　Shiro<br><br>　watako<br><br>　SaQZaQ<br><br>　MOTO<br><br>　Dike<br><br>　dors,-
main08,main,wait,-,2,-,-
main09,main,text,-,3,Special Thanks<br><br>　John<br><br>　SAGAWA DON<br><br>　Linea<br><br>　kazuki kihara<br><br>　taneda<br><br>　Kaution*<br><br>,-
main10,main,wait,-,2,-,-
main11,main,text,-,3,Special Thanks<br><br>　ZAQluxu<br><br>　Pesty<br><br>　yoina<br><br>　rouseki<br><br>　rz41k<br><br>　sakumi<br><br>,-
main12,main,wait,-,2,-,-
main14,main,text,-,0,-,-
main15,main,wait,-,3,-,-
main16,main,fadeOut,-,3,-,-
main17,main,wait,-,3,-,GatewayFlow
-,,,,,,
