id,type,word0<jpn>,word1<jpn>
-,,,
natsuno00,natsuno,Natsuno,natsuno
natsuno01,natsuno,Miss Natsuno,miss natsuno
natsuno02,natsuno,Ms Natsuno,ms natsuno
natsuno03,natsuno,Natsu,natsu
kiko00,kiko,Kiko,kiko
kiko01,kiko,Miss Kiko,miss kiko
kiko02,kiko,Ms Kiko,ms kiko
kiko03,kiko,Kik,kik
shino00,shino,Shino,shino
shino01,shino,Miss Shino,miss shino
shino02,shino,Ms Shino,ms shino
shino03,shino,Shi,shi
akane00,akane,Akane,akane
akane01,akane,Miss Akane,miss akane
akane02,akane,Ms Akane,ms akane
akane03,akane,Aka,aka
minamo00,minamo,Minamo,minamo
minamo01,minamo,Miss Minamo,miss minamo
minamo02,minamo,Ms Minamo,ms minamo
minamo03,minamo,Mina,mina
itsuka00,itsuka,Itsuka,itsuka
itsuka01,itsuka,Miss Itsuka,miss itsuka
itsuka02,itsuka,Ms Itsuka,ms itsuka
itsuka03,itsuka,Istu,itsu
hinase00,hinase,Hinase,hinase
hinase01,hinase,Miss Hinase,miss hinase
hinase02,hinase,Ms Hinase,ms hinase
hinase03,hinase,Hina,hina
meguru00,meguru,Meguru,meguru
meguru01,meguru,Miss Meguru,miss meguru
meguru02,meguru,Ms Meguru,ms meguru
meguru03,meguru,Meg,meg
meguru04,meguru,Mee,mee
-,,,
yes00,yes,Yes,yes
yes01,yes,Yeah,yeah
yes02,yes,Ye,ye
yes03,yes,Sure,sure
yes04,yes,Okay,okay
yes05,yes,Kay,kay
yes06,yes,Yea,yea
yes07,yes,Yep,yep
yes08,yes,Indeed,indeed
yes09,yes,All right,all right
-,,,
no00,no,No,no
no01,no,Nop,nop
no02,no,Nope,Nope
no03,no,Never,never
no04,no,No way,no way
no05,no,I don't want to,i don't want to
no06,no,There isn't,there isn't
no07,no,None,none
no08,no,No,no
no09,no,Stop,stop
no10,no,I'll pass,i'll pass
no11,no,I'll not,i'll not
no12,no,Keep it,keep it
no13,no,Let's not,let's not
no14,no,Nah,nah
no15,no,Let's stop,let's stop
no16,no,Never mind,never mind
no17,no,I don't need it,i don't need it
-,,,
doNotKnow00,doNotKnow,I don't know,i don't know
doNotKnow01,doNotKnow,Idk,idk
doNotKnow02,doNotKnow,Dunno,dunno
-,,,
goodMorning00,goodMorning,Good morning,good morning
goodMorning01,goodMorning,Morning,morning
goodAfternoon00,goodAfternoon,Good afternoon,good afternoon
goodNight00,goodNight,Good night,good night
goodNight01,goodNight,Sleep well,sleep well
howAreYou00,howAreYou,How are you?,how are you?
whatIsYourHobby00,whatIsYourHobby,What's your hobby?,what's your hobby?
whatIsYourHobby01,whatIsYourHobby,What is your hobby?,what is your hobby?
cute00,cute,Cute,cute
-,,,
someThing00,someThing,Something,something
love01,love,Love,love
love03,love,I love you,i love you
love05,love,I love you,i love you
goodBye00,goodBye,Goodbye,goodbye
goodBye01,goodBye,Bye,bye
goodBye02,goodBye,See ya,see ya
trick00,trick,Trick,trick
treat00,treat,Treat,treat
-,,,
go00,go,Go,go
go01,go,Let's go,let's go
go02,go,I'm going,i'm going
go03,go,Let's go,let's go
go04,go,Going,going
go05,go,Come on,come on
go06,go,Cmon,cmon
go07,go,Go on,go on
go08,go,Go forward,go forward
go08,go,Move forward,move forward
go09,go,Let's move forward,let's move forward
go10,go,I'll move forward,i'll move forward
go11,go,Go further,go further
go12,go,Let's move forward,let's move forward
go12,go,Enter,enter
go13,go,Let's go in,let's go in
go14,go,Go in,go in
go15,go,I'll go in,i'll go in
go16,go,Get in,get in
go17,go,Going in,going in
use00,use,Use,use
use01,use,Use it,use it
use02,use,Use that,use that
use03,use,Use this,use this
use04,use,I'll use it,i'll use it
use05,use,Let's use it,let's use it
return00,return,Go back,go back
return01,return,Go behind,go behind
return02,return,Come back,come back
return03,return,Let's go back,let's go back
return04,return,Let's go back,let's go back
return05,return,Home,home
return06,return,Go home,go home
return07,return,Go home,go home
return08,return,Let's go home,let's go home
return09,return,Let's go home,let's go home
return10,return,I'll go home,i'll go home
return11,return,I want to go home,i want to go home
search00,search,Search,search
search01,search,Search it,search it
search03,search,Search for it,search for it
search04,search,Let's search,let's search
search05,search,Explore,explore
search06,search,Investigate,investigate
search07,search,Let's explore,let's explore
search08,search,Research,research
search09,search,Examine,examine
avoid00,avoid,Avoid,avoid
avoid01,avoid,Avoid it,avoid it
avoid02,avoid,Avoid that,avoid that
avoid03,avoid,Let's avoid it,let's avoid it
avoid04,avoid,Avoid this,avoid this
avoid05,avoid,Avoid it,avoid it
avoid06,avoid,Don't go,don't go
avoid07,avoid,Let's avoid it,let's avoid it
avoid06,avoid,Don't approach,don't approach
avoid07,avoid,Don't come closer,don't come closer
avoid08,avoid,Don't come near,don't come near
hide00,hide,Hide,hide
hide01,hide,Hide out,hide out
hide02,hide,Stash,stash
hide03,hide,Let's hide,let's hide
look00,look,Look,look
look01,look,Look this,look this
look02,look,Watch,watch
look03,look,Let's look,let's look
look04,look,Take a look,take a look
look05,look,Watch this,watch this
look06,look,I'll take a look,i'll take a look
open00,open,Open,open
open01,open,Open it,open it
open02,open,Open this,open this
open03,open,Let's open it,let's open it
pick00,pick,Pick,pick
pick01,pick,Grab,grab
pick02,pick,Grab it,grab it
pick03,pick,Let's grab it,let's grab it
push00,push,Push,push
push01,push,Press,press
push02,push,Push it,push it
push03,push,Press it,press it
pull00,pull,Pull,pull
pull01,pull,Pull it,pull it
pull02,pull,Pull this,pull this
pull03,pull,Let's pull it,let's pull it
turn00,turn,Turn,turn
turn01,turn,Rotate,rotate
turn02,turn,Turn it,turn it
turn03,turn,Let's turn it,let's turn it
roll00,roll,Roll,roll
roll01,roll,Roll it,roll it
roll02,roll,Roll it,roll it
roll03,roll,Let's roll it,let's roll it
