id,timing,flag,finishedScenario,requireQuestCount,scenarioCondition,openDate,message<jpn>,additionalMessage,button<jpn>
story00,story,-,main0-6,-,true,-,Advance the Story<br><br>When you meet an <red>Episode Progression Requirement</red> while exploring， an episode will become available immediately after the exploration ends.<br><br>If you have already met an Episode Progression Requirement， you can also <red>Advance the Story</red> using the button in the bottom-right corner of the <q>Story</q> screen.<br>You can check your current Episode Progression Requirements in the same place， in the bottom-right corner of the <q>Story</q> screen.,-,とじる
-,,,,,,,,,
house00,house,-,main0-6,-,-,-,About the <q>Storage Shelf</q><br><br>You can store supplies you find while exploring on the <red>Storage Shelf</red>.<br>There is a limit to the number of items you can carry as supplies during exploration， so storing them on the Storage Shelf is a good idea.,-,次へ
house01,house,-,main0-6,-,-,-,About <q>Crafting</q><br><br>You can use tools and ingredients gathered while exploring to <red>craft</red> new tools and dishes.<br>You can view the list of crafting recipes using the <q>Crafting</q> button.,-,とじる
-,,,,,,,,,
exproler00,exproler,-,main0-6,-,-,-,About <q>Explorer</q><br><br>Select an <red>Episode</red> and set out on an <red>Exploration</red>.<br>By meeting an <red>Episode Progression Requirement</red> during an exploration， an episode will become available.,-,次へ
exproler01,exproler,-,main0-6,-,-,-,About Exploration Locations<br><br>Once you have visited an exploration location， it will be registered as a <red>Starting Point</red>， allowing you to begin explorations from that location.<br>(Some exploration locations cannot be registered as Starting Points.),-,とじる
-,,,,,,,,,
endless00,story,-,main16-18,-,-,9999,Beyond the Summer<br><br>The post-ending content， <q><red>Beyond the Summer</red></q>， has been unlocked.<br>Even after the story ends， their world continues inside this computer.<br>You can continue traveling with them along their summer journey， forever.,-,次へ
endless01,story,-,main16-18,-,-,-,Previously Unlocked Content<br><br>In <q>Beyond the Summer</q>， you can view <red>episodes that were not unlocked in the main story</red>，<br>as well as collect <red>items and episodes exclusive to the post-ending content</red>.,endlessInfo,次へ
endless02,story,-,main16-18,-,-,-,Camp Sites<br><br>While exploring in <q>Beyond the Summer</q>， you may come across a <red>Camp Site</red>.<br>At Camp Sites， you may find rare items such as <red>Collections</red> that let you watch <red>mini-episodes</red>.<br>As you travel from Camp Site to Camp Site， the journey continues without end.,-,次へ
endless03,story,-,main16-18,-,-,-,Daily Rewards<br><br>After the ending， you will receive a <red>Daily Reward</red> once per day.<br>With a Daily Reward， you can receive one random item each day.<br>(There are no items or other content that can only be obtained through Daily Rewards.),-,とじる
-,,,,,,,,,
