id,_text<jpn>,text<eng>,_name<jpn>,name<eng>
date00,H.32/07/23- プロローグ,H.32/07/23- Prologue,プロローグ,Prologue
date01,H.32/07/24- エピソード 1,H.32/07/24- Episodes 1,Ep.1,Ep.1
date02,H.32/07/27- エピソード 2,<PLEASE_TRANSLATE>,Ep.2,Ep.2
date03,H.32/07/30- エピソード 3,<PLEASE_TRANSLATE>,Ep.3,Ep.3
date04,H.32/08/01- エピソード 4,<PLEASE_TRANSLATE>,Ep.4,Ep.4
-,,,,
date05,H.32/08/03- エピソード 5,<PLEASE_TRANSLATE>,Ep.5,Ep.5
date06,H.32/08/06- エピソード 6,<PLEASE_TRANSLATE>,Ep.6,Ep.6
date07,H.32/08/09- エピソード 7,<PLEASE_TRANSLATE>,Ep.7,Ep.7
date08,H.32/08/13- エピソード 8,<PLEASE_TRANSLATE>,Ep.8,Ep.8
date09,H.32/08/15- エピソード 9,<PLEASE_TRANSLATE>,Ep.9,Ep.9
date10,H.32/08/17- エピソード 10,<PLEASE_TRANSLATE>,Ep.10,Ep.10
date11,H.32/08/19- エピソード 11,<PLEASE_TRANSLATE>,Ep.11,Ep.11
date12,H.32/08/21- エピソード 12,<PLEASE_TRANSLATE>,Ep.12,Ep.12
date13,H.32/08/24- エピソード 13,<PLEASE_TRANSLATE>,Ep.13,Ep.13
date14,H.32/08/26- エピソード 14,<PLEASE_TRANSLATE>,Ep.14,Ep.14
date15,H.32/08/28- エピソード 15,<PLEASE_TRANSLATE>,Ep.15,Ep.15
date16,H.32/08/31- エピソード 16,<PLEASE_TRANSLATE>,Ep.16,Ep.16
-,,,,
date101,H.32/07/25- エピソード キコ,<PLEASE_TRANSLATE>,キコ,<PLEASE_TRANSLATE>
date102,H.32/07/29- エピソード シノ,<PLEASE_TRANSLATE>,シノ,<PLEASE_TRANSLATE>
date103,H.32/09/02- エピソード アカネ,<PLEASE_TRANSLATE>,アカネ,<PLEASE_TRANSLATE>
date104,H.32/08/18- エピソード ミナモ,<PLEASE_TRANSLATE>,ミナモ,<PLEASE_TRANSLATE>
date105,H.32/08/22- エピソード ヒナセ,<PLEASE_TRANSLATE>,ヒナセ,<PLEASE_TRANSLATE>
date106,H.32/09/12- エピソード イツカ,<PLEASE_TRANSLATE>,イツカ,<PLEASE_TRANSLATE>
date107,H.32/08/30- エピソード メグル,<PLEASE_TRANSLATE>,メグル,<PLEASE_TRANSLATE>
-,,,,
date201,H.32/09/15- エピソード キコ 2,<PLEASE_TRANSLATE>,キコ 2,<PLEASE_TRANSLATE>
date202,H.32/09/18- エピソード シノ 2,<PLEASE_TRANSLATE>,シノ 2,<PLEASE_TRANSLATE>
date203,H.32/09/25- エピソード アカネ 2,<PLEASE_TRANSLATE>,アカネ 2,<PLEASE_TRANSLATE>
date204,H.32/09/20- エピソード ミナモ 2,<PLEASE_TRANSLATE>,ミナモ 2,<PLEASE_TRANSLATE>
date205,H.32/09/23- エピソード ヒナセ 2,<PLEASE_TRANSLATE>,ヒナセ 2,<PLEASE_TRANSLATE>
date206,H.32/09/30- エピソード イツカ 2,<PLEASE_TRANSLATE>,イツカ 2,<PLEASE_TRANSLATE>
date207,H.32/09/25- エピソード メグル 2,<PLEASE_TRANSLATE>,メグル 2,<PLEASE_TRANSLATE>
-,,,,
date9999,夏の彼方,<PLEASE_TRANSLATE>,End,End
-,,,,
